P_level,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_8
1,0,829,433,171,38,21,38,0
2,0,710,399,162,94,79,85,0
3,0,722,423,139,105,60,81,0
4,0,674,430,157,140,70,58,0
5,0,681,493,125,73,72,83,2
