model,runs,mean_mean,mean_std,p50_mean,p50_std,p75_mean,p75_std,p90_mean,p90_std,p95_mean,p95_std,p99_mean,p99_std,max_mean,max_std,std_mean,std_std,tail_gap_mean,tail_gap_std
GCN,10,0.018136363575308363,0.0014111211467817775,0.0022347974823787808,0.00023035669209615174,0.0036714209243655207,0.00023031041786095472,0.00833503669127822,0.00022008489060672297,0.10680303059518323,0.01597770487184512,0.40854698008298873,0.022049642454506323,0.8614090800285339,0.012500159539704087,0.07477601951044423,0.004088276760465973,0.3017439494878055,0.018039204202272965
Weighted-GCN,10,0.017832451461852885,0.0012556585868616435,0.00377730205655098,0.00015516060253549586,0.00466551159042865,0.00017342606949835083,0.008151672361418606,0.00046131655377738145,0.08736661911010735,0.013139658011224006,0.39573504489660255,0.02694379031984447,0.860172587633133,0.012170851629833378,0.07057882449926003,0.004424816584573113,0.30836842578649526,0.02618652409835197
Edge-GAT,10,0.018380232645136895,0.0007311206034837158,0.0023104415042325853,0.00019514212854829967,0.0037506909924559296,0.0001714633400007661,0.008417530357837677,0.00017287960005531438,0.10905881538987154,0.01217637883834198,0.4175388201475142,0.012231338240298893,0.8612513780593872,0.010637357608276924,0.07569185948320915,0.002170092685425987,0.3084800047576427,0.020955927259496517
TEG-low,10,0.01818696267564905,0.0008705562712170388,0.003755906573496759,0.00011535406962502667,0.004726993525400758,0.00021457142633467415,0.008423089515417814,0.00010864225777029539,0.09173114389181135,0.007904745591584578,0.4029063669443129,0.027025047149013527,0.863260132074356,0.022536567250532817,0.0721970728374682,0.003911068729472615,0.3111752230525016,0.028591190730264063
Stable-Tail GNN,10,0.01604259413266889,0.0014541724859276925,0.0016065308242104947,0.00014277368750058018,0.0035850495216436682,0.000447925328373054,0.008232023986056446,0.0004004314225330375,0.06255985859781493,0.005832645762081249,0.4136847386956214,0.022660400879402628,0.8688851296901703,0.019259665428006445,0.0736934279383905,0.006247560614737632,0.3511248800978065,0.0202644659984882
Fusion-rho0.25,10,0.017988765016099972,0.0011895098528638375,0.002464202913025115,0.00019324011398660855,0.0037223695070356362,0.00021816534003911165,0.008326845929460468,0.00018103563895693344,0.10330271652791947,0.01272890213002195,0.40485870842184574,0.025057348961763502,0.8597766347377481,0.008569234413186192,0.07356856328970991,0.0037347697507596777,0.30155599189392623,0.02139653070055332
Fusion-rho0.5,10,0.017957280278089256,0.0010047053622069383,0.0028196719852728925,0.00016404110442281173,0.003888592439366565,0.0001839057618476927,0.008355685839100868,0.0001716626286541714,0.10201813577944496,0.00990424899516024,0.40049299754522416,0.024935462169862893,0.8585226637424805,0.00493882279781151,0.07272458076622454,0.003596653939489646,0.2984748617657792,0.022230080117683643
Fusion-rho0.75,10,0.018027713137641142,0.0008932971050032431,0.0032700617567912754,0.0001347486104542885,0.004224726389673099,0.00019001117332061347,0.008391424018433942,0.00011630026754950426,0.09791473205060233,0.008460620144885259,0.4018482670085805,0.028678267225632416,0.8605874707062602,0.012330402750864044,0.07227278830536642,0.0036797135081182556,0.3039335349579782,0.027063986107505315
Ensemble-4,10,0.01790301128132051,0.0007563529330590556,0.0028237922637101053,9.177737509082312e-05,0.0038783525827289895,0.0001528781131786375,0.008313850151656803,0.00021566296333136342,0.10106836178674419,0.006516079795245535,0.4013473605635989,0.02095307784898458,0.8581317139569629,0.006903725489783873,0.07235817201625314,0.0031467326102978233,0.3002789987768547,0.019536670663184267
