risk_source,customer_set,beta,lambda_concentration,runs,load_global_risk_mean,load_global_risk_std,load_cvar90_mean,load_cvar90_std,load_max_vehicle_risk_mean,load_max_vehicle_risk_std,load_vehicle_gini_mean,load_vehicle_gini_std,load_edge_burden_gini_used_mean,load_edge_burden_gini_used_std,load_top10_burden_share_mean,load_top10_burden_share_std,load_max_edge_burden_mean,load_max_edge_burden_std
ST-v1_seed0,A,1.5,1.0,10,1.169623328960669,0.12488459822487431,0.027283409961494524,0.003903757836781433,0.4341844470517032,0.06486747443518062,0.29911605857323653,0.030897113265121078,0.7439375394153919,0.018381330176989105,0.6827764662326367,0.02352426873253553,0.31295233622011076,0.05735217478423713
ST-v1_seed0,B,1.5,1.0,10,1.485829032280098,0.2335816883734411,0.03426293925032068,0.007392617629190106,0.5911290768230961,0.08023633189397486,0.32574374290609076,0.044084779690251874,0.7696715935271846,0.03016557302793501,0.7184543720671369,0.042428549006377644,0.3701234349752894,0.0920925403377317
ST-v1_seed1,A,1.5,1.0,10,1.1593374384024946,0.10006178686932696,0.026997302216299934,0.0033536184181389805,0.3981445553743055,0.061536650961174846,0.25492086775403083,0.033409435051789504,0.7311449666899097,0.020508970257527258,0.6671053586442975,0.025510159863455315,0.24919525096302894,0.032905085656851824
ST-v1_seed1,B,1.5,1.0,10,1.7101369797918842,0.20133591970687947,0.04251483054544341,0.006806459646292084,0.6076922486046931,0.0579771219917453,0.27846913943151697,0.05056479247461843,0.7931276530453969,0.02062183441291648,0.7538712976994589,0.02556792145367135,0.36621111150332747,0.10527358892677366
ST-v1_seed2,A,1.5,1.0,10,1.1670297583082188,0.157080399907902,0.026511003352730322,0.005366977941874762,0.4706199050224543,0.019392368899889906,0.30507184188795733,0.028525068159076128,0.739295647795436,0.03166832415580649,0.6808051064172002,0.042754987608710236,0.2739912684882507,0.023233302182886356
ST-v1_seed2,B,1.5,1.0,10,1.5447492120796855,0.25245207121082086,0.03605754668500601,0.008399494306050916,0.6573116303629972,0.08251914969593875,0.36479016693192473,0.04314619813956382,0.7787806170404838,0.03506086692327993,0.7270500050130183,0.04940668303380879,0.37585135013314247,0.08295337817247526
ST-v1_seed3,A,1.5,1.0,10,1.1384278109222703,0.13607854159126434,0.026027022680202204,0.004408288369286203,0.39540591756261606,0.06273580128302722,0.27910035294598734,0.033929733181043455,0.7376698682739528,0.03028365415680727,0.6745981408510761,0.03741838989971655,0.27420070427185494,0.05569065550879959
ST-v1_seed3,B,1.5,1.0,10,1.5327853747998894,0.2425369909313283,0.03569501940354454,0.007210298513866759,0.5689371446737466,0.10980497418152181,0.30493991356860867,0.08454766553306481,0.7804124566390894,0.029292180416710868,0.7290769528421608,0.04136688772197645,0.3599060492341011,0.10303553139981476
ST-v1_seed4,A,1.5,1.0,10,1.1386903455078634,0.1283242389034734,0.025789416459783332,0.0041591356111938295,0.4975047953465084,0.08480132761474746,0.32821249795249396,0.03597657546627253,0.7314025100351168,0.0233048122446604,0.6675327261688981,0.030231305658716522,0.3058698111167916,0.083516873580051
ST-v1_seed4,B,1.5,1.0,10,1.600984474886237,0.22438734777417083,0.037332627977495994,0.0064194082044726495,0.5757804612938149,0.10301452259987104,0.27831376096777205,0.07747772712914114,0.7886841570921855,0.02258741104875938,0.7395266155202187,0.029502786174990244,0.3998884052094368,0.09839933848295743
ST-v1_seed5,A,1.5,1.0,10,1.2922981936333446,0.10160276331617416,0.032155745067497354,0.0035529717054900573,0.4299640059436049,0.0682171437163358,0.2600288556770826,0.029025251102468435,0.7599130470147829,0.018350286022102494,0.7031376314234573,0.023603200284059205,0.2810737935915698,0.033460156346215186
