P_level,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_8
1,0,733,524,136,56,22,43,16
2,0,784,341,135,105,43,57,64
3,0,678,370,208,117,41,78,38
4,0,702,316,175,112,75,85,64
5,0,659,428,153,76,57,95,61
