beta,runs,pyvrp_cost_mean,pyvrp_cost_std,global_risk_mean,global_risk_std,global_cvar90_mean,global_cvar90_std,max_vehicle_risk_mean,max_vehicle_risk_std,max_vehicle_cvar90_mean,max_vehicle_cvar90_std,vehicle_risk_gini_mean,vehicle_risk_gini_std,risk_variance_mean,risk_variance_std,edge_burden_gini_used_mean,edge_burden_gini_used_std,top10_burden_share_mean,top10_burden_share_std,max_edge_burden_mean,max_edge_burden_std,cost_increase_pct,risk_reduction_pct
0.0,5,143250.0,279.5084971874737,8.629876989871264,0.3800727490686221,0.19286515280370173,0.14916963426612076,2.442271788418293,0.24520510818225708,0.3692805585407075,0.03308203245773294,0.18517406016440777,0.040043888107742266,0.361078992572024,0.15366303942769163,0.9217843581584013,0.004202403593700088,0.9828490490389831,0.012441989944605667,0.8581991791725159,0.00270118651986052,0.0,0.0
0.25,5,150813.4,206.5812188946517,4.96445332467556,0.864032769719803,0.017288048719943785,0.003113389574213885,1.7159805834293365,0.34847984614246386,0.27576886720600585,0.05350705880226129,0.3326566344631686,0.04117407946837415,0.36050689955919146,0.09094384580486697,0.9450583979638099,0.0097662669236146,0.9999999999997937,3.427745041686394e-14,0.6008400321006775,0.0,0.052798603839441495,0.42473649039231065
0.5,5,155058.2,383.0824976424791,3.0620404079556467,0.3841123492013261,0.010483079244788434,0.0013481260357531423,1.1746591493487357,0.32528303324711105,0.24073222783256748,0.12821292318610175,0.35613494109743504,0.11890289629321328,0.18619458416705176,0.14149515180866634,0.9678377898214257,0.005403143952325452,0.9999999999996689,4.5583646945103876e-14,0.6008400321006775,0.0,0.0824307155322863,0.6451814537391256
1.0,5,160792.2,519.6827878619803,1.9984259754419327,0.2472361074700922,0.00670938788399294,0.000863439059258683,0.6661260604858399,0.14598399745020382,0.01333308898083636,0.004946694297511265,0.26682052212635854,0.11890901360809189,0.04157942868894875,0.035046460100474366,0.9810976170522338,0.002964151078616679,0.9999999999994937,5.926545314120885e-14,0.6008400321006775,0.0,0.12245863874345558,0.7684293787978416
2.0,5,169081.2,557.4627341805011,1.6872392371296883,0.17615098918908403,0.005600496535148358,0.0006121634207401325,0.76860531270504,0.21264903749626451,0.012583705019172869,0.0026982186613830465,0.4639344518726743,0.16130529406636018,0.09056250329509963,0.05645659440902658,0.984790587486972,0.0023159438494224894,0.9999999999994019,6.40879546622563e-14,0.6008400321006775,0.0,0.18032251308900532,0.8044886110067645
