Set,Method,eta,beta,lambda,model_seeds,Cost inc. mean,Cost inc. std,Risk Reduction mean,Risk Reduction std,Global Risk mean,Global Risk std,CVaR90 mean,CVaR90 std,Max Vehicle Risk mean,Max Vehicle Risk std,Edge Gini mean,Edge Gini std,Top10 Share mean,Top10 Share std,Delta Cost pp vs Stable-Tail,Delta Global Risk vs Stable-Tail,Delta CVaR90 vs Stable-Tail,Delta Edge Gini vs Stable-Tail,Delta Top10 Share vs Stable-Tail
A,Stable-Tail-TC-lite,0.7,1.5,1.0,10,0.30721945766192826,0.04244398847485182,0.6850895122061751,0.022344551863033506,2.454970754839833,0.17419305955184888,0.04395685111042971,0.005629485412509373,0.8820460869954758,0.07027836001696786,0.6886033373477111,0.01918509177580664,0.6687920125494383,0.024405096447513767,,,,,
B,Stable-Tail-TC-lite,0.7,1.5,1.0,10,0.3627563110428683,0.04986865674253026,0.623973812499149,0.01870048089806765,3.1579047135854585,0.1570484682644814,0.0689295142619133,0.005296592830108849,1.1103705593555713,0.10126693381570487,0.7363361698219776,0.012319886406056831,0.7219116612674763,0.015867940000810443,,,,,
A,Stable-Tail-UA-GNN-TC-lite,0.7,1.5,1.0,10,0.38067208676219266,0.022030672116357,0.7112698554535981,0.008002170859076237,2.256381530029034,0.06381689617734171,0.0384427711213966,0.001728115280219412,0.8638075217013588,0.06185221448438645,0.666061536058772,0.008503481670779906,0.640036551166103,0.010142263556677768,0.0734526291002644,-0.198589224810799,-0.0055140799890331105,-0.022541801288939012,-0.02875546138333529
B,Stable-Tail-UA-GNN-TC-lite,0.7,1.5,1.0,10,0.4867019741997524,0.029632383396545208,0.6451768170327598,0.0010767691617408358,2.9796434428934733,0.008123251947804826,0.06259151614554641,0.0006458124427142718,1.164077166935642,0.09323280086976825,0.7236502727942182,0.0011213268966906332,0.7041581912069653,0.0008588234648862187,0.1239456631568841,-0.17826127069198527,-0.006337998116366886,-0.012685897027759352,-0.01775347006051098
A,Stable-Tail-TC,0.7,2.0,1.0,10,0.34826350439454246,0.04915935740176624,0.7006528875763925,0.01627114338419563,2.352557534187986,0.11458135431187823,0.04061964978205107,0.0028766225014397045,0.8703299835069989,0.0575062860022738,0.6765443793863085,0.01322590981098692,0.6537270625106795,0.017037005953224826,,,,,
B,Stable-Tail-TC,0.7,2.0,1.0,10,0.4160736635404627,0.05978823052436859,0.6257024589391944,0.019739489881128922,3.1423009281469403,0.16703480169588392,0.06704571675496007,0.005478484467145441,1.1143952069178638,0.10354217353459849,0.735754235675719,0.01242490062938025,0.7205325052615499,0.016139404143409863,,,,,
A,Stable-Tail-UA-GNN-TC,0.7,2.0,1.0,10,0.43661868135399756,0.027756580908930715,0.7105846613538354,0.006907390070753911,2.261725535158931,0.0550209678994675,0.038594787237415475,0.001554408004841523,0.8764231474794812,0.06390332791960303,0.6660917426334806,0.006973447095288564,0.6398474859943027,0.008393875802482655,0.0883551769594551,-0.0908319990290547,-0.002024862544635596,-0.010452636752827926,-0.013879576516376724
B,Stable-Tail-UA-GNN-TC,0.7,2.0,1.0,10,0.5618927247726524,0.03760530336264374,0.6445721112117865,0.0008267422453424969,2.9847192403148655,0.004189658397091299,0.062049411277070865,0.001113278541802244,1.1347998655855676,0.040637185249871755,0.724376241357545,0.0009627430808750077,0.7044078602988785,0.0008956064423698011,0.14581906123218968,-0.15758168783207482,-0.004996305477889207,-0.01137799431817399,-0.01612464496267141
