Set,Model,model_seeds,Global Risk mean,Global Risk std,Global Risk mean?std,CVaR90 mean,CVaR90 std,CVaR90 mean?std,Max Vehicle Risk mean,Max Vehicle Risk std,Max Vehicle Risk mean?std,Edge Gini mean,Edge Gini std,Edge Gini mean?std,Top10 Share mean,Top10 Share std,Top10 Share mean?std
A,GCN,10,3.1467310334577228,0.06929477430503461,3.1467 ? 0.0693,0.07926089198688516,0.006058631864887606,0.0793 ? 0.0061,1.058746555824331,0.11163628137609109,1.0587 ? 0.1116,0.7485995567326662,0.004090040199400693,0.7486 ? 0.0041,0.7474842220102025,0.005677592685667095,74.75% ? 0.57%
A,TEG-low,10,3.1799235301349738,0.14274898350295423,3.1799 ? 0.1427,0.07712379717079247,0.005457405563867271,0.0771 ? 0.0055,0.9613952584284451,0.045310391018023,0.9614 ? 0.0453,0.7500296630123686,0.008685282245437216,0.7500 ? 0.0087,0.749336092692178,0.011832257678119755,74.93% ? 1.18%
A,Stable-Tail GNN,10,3.2667927876217346,0.1417143058583261,3.2668 ? 0.1417,0.08281735082378062,0.0054001585103517075,0.0828 ? 0.0054,1.0345766470250635,0.07897537189887426,1.0346 ? 0.0790,0.7546247047776554,0.006947074993598292,0.7546 ? 0.0069,0.7560025242117605,0.009615117673933303,75.60% ? 0.96%
A,Stable-Tail UA-GNN tau=0.25,10,3.0480046226975936,0.035332037075496675,3.0480 ? 0.0353,0.07263556744316152,0.0033174050436810486,0.0726 ? 0.0033,1.0671684426459216,0.09606695892171573,1.0672 ? 0.0961,0.7444872017408479,0.002760588959664042,0.7445 ? 0.0028,0.7406989490978207,0.0034344577719511394,74.07% ? 0.34%
B,GCN,10,4.07812223510326,0.19231400164885276,4.0781 ? 0.1923,0.09797896872303768,0.007272642891611445,0.0980 ? 0.0073,1.3761416372011315,0.048905588752840554,1.3761 ? 0.0489,0.7824649755563929,0.008211871302049558,0.7825 ? 0.0082,0.7861671602355037,0.010405265597917258,78.62% ? 1.04%
B,TEG-low,10,4.079297053044772,0.20168372302497722,4.0793 ? 0.2017,0.09683503458230278,0.005686489495871696,0.0968 ? 0.0057,1.3986051356382732,0.11249288175464979,1.3986 ? 0.1125,0.7794203416751955,0.008926121605149257,0.7794 ? 0.0089,0.7847977502345322,0.011566460189730473,78.48% ? 1.16%
B,Stable-Tail GNN,10,4.035312261830692,0.20351638482424242,4.0353 ? 0.2035,0.09464388846024044,0.004556445978343513,0.0946 ? 0.0046,1.3827071985067065,0.07736712417883396,1.3827 ? 0.0774,0.7776724761533845,0.007451309675299747,0.7777 ? 0.0075,0.7821544124420742,0.010059628144265042,78.22% ? 1.01%
B,Stable-Tail UA-GNN tau=0.25,10,3.855102948975939,0.1634941008513836,3.8551 ? 0.1635,0.09271214414775922,0.005467656939194217,0.0927 ? 0.0055,1.3423397146137095,0.09719002662963827,1.3423 ? 0.0972,0.773195557596714,0.006704440959793339,0.7732 ? 0.0067,0.7746159575777172,0.00954910346497247,77.46% ? 0.95%
