Risk Matrix,Mean mean,Mean std,Mean mean?std,P50 mean,P50 std,P50 mean?std,P75 mean,P75 std,P75 mean?std,P90 mean,P90 std,P90 mean?std,P95 mean,P95 std,P95 mean?std,P99 mean,P99 std,P99 mean?std,TailGap mean,TailGap std,TailGap mean?std,Max mean,Max std,Max mean?std,Std mean,Std std,Std mean?std
Stable-Tail GNN,0.01604259413266889,0.0014541724859276923,0.0160 ? 0.0015,0.0016065308242104947,0.00014277368750058018,0.0016 ? 0.0001,0.0035850495216436682,0.000447925328373054,0.0036 ? 0.0004,0.008232023986056446,0.0004004314225330375,0.0082 ? 0.0004,0.06255985859781493,0.00583264576208125,0.0626 ? 0.0058,0.4136847386956214,0.022660400879402638,0.4137 ? 0.0227,0.3511248800978065,0.020264465998488208,0.3511 ? 0.0203,0.8688851296901703,0.019259665428006452,0.8689 ? 0.0193,0.07368860932734547,0.006247152103891759,0.0737 ? 0.0062
Stable-Tail UA-GNN tau=0,0.017477786916455372,0.001171047700319676,0.0175 ? 0.0012,0.0017609712900593876,0.00011486675854182849,0.0018 ? 0.0001,0.0038009985932148994,0.0003715501417160201,0.0038 ? 0.0004,0.0076271094288677494,0.0006340879721902118,0.0076 ? 0.0006,0.08479087121784672,0.007332957171734631,0.0848 ? 0.0073,0.4162612764239311,0.012955321072820505,0.4163 ? 0.0130,0.33147040520608434,0.013893989097820272,0.3315 ? 0.0139,0.8518711030483246,0.023623574324590974,0.8519 ? 0.0236,0.07454929980296683,0.004532510580274638,0.0745 ? 0.0045
Stable-Tail UA-GNN tau=0.25,0.027399464441565713,0.0026964842739389617,0.0274 ? 0.0027,0.003396179643459618,0.00039355085206669823,0.0034 ? 0.0004,0.00579961589537561,0.0006757947392415527,0.0058 ? 0.0007,0.009822994526475674,0.00027233201550718654,0.0098 ? 0.0003,0.16861277550458903,0.024754226403202382,0.1686 ? 0.0248,0.5417433283329006,0.04819945393859259,0.5417 ? 0.0482,0.3731305528283116,0.03782151126942891,0.3731 ? 0.0378,0.9999998807907104,0.0,1.0000 ? 0.0000,0.10450446902821149,0.007858950716805547,0.1045 ? 0.0079
