P_level,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_8
1,1,704,343,138,29,15,77,14
2,3,663,245,125,79,45,152,9
3,10,612,326,142,80,36,106,8
4,3,655,284,125,70,48,98,38
5,10,640,326,123,52,29,128,12
