P_level,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_8
1,1,324,696,380,53,26,50,0
2,0,387,541,314,134,40,111,2
3,1,308,601,318,133,70,94,5
4,0,299,565,292,152,79,119,23
5,0,271,584,394,88,68,117,7
