P_level,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_8
1,0,975,317,143,31,22,5,37
2,1,743,327,173,91,70,51,73
3,0,663,396,244,75,60,33,59
4,0,657,423,226,79,65,35,44
5,0,718,409,173,68,41,66,54
