P_level,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_8
1,0,866,162,74,44,30,62,83
2,0,713,109,57,64,91,135,152
3,0,716,152,58,62,71,174,87
4,0,672,144,73,71,73,170,118
5,0,790,134,83,51,43,106,113
