model,split,seed,epochs,experiment_tag,alpha_ord,alpha_hr,alpha_topk,lambda_nll,lambda_var,gamma_unc,topk_frac,stage1_epochs,eval_split,macro_f1,weighted_f1,mae,qwk,recall_6_8,precision_6_8,pr_auc_high,high_fn_rate,brier,ece,ordinal_nll,uncertainty_mean,correct_uncertainty,error_uncertainty,error_uncertainty_corr,high_fn_uncertainty
stable_tail_ua_gnn,A,0,50,,0.3,0.5,0.1,0.2,0.01,0.5,0.2,0,data_2020_train,0.35975656007555634,0.7351999841944272,0.5871710797231003,0.7306622296173044,0.8064516129032258,0.7575757575757576,0.8763166355700136,0.1935483870967742,0.27212586998939514,0.07048095491395068,0.8401252008847822,2.0654146671295166,2.1321184635162354,1.8173887729644775,-0.2516122447349541,1.48684823513031
stable_tail_ua_gnn,A,0,50,,0.3,0.5,0.1,0.2,0.01,0.5,0.2,0,data_2020_val,0.22373949579831934,0.60578231292517,1.288629414374137,0.229041095890411,0.2222222222222222,0.4,0.343374111433685,0.7777777777777778,0.49632707238197327,0.14565747727950415,1.1925089985742667,1.965822458267212,2.0082647800445557,1.8809373378753662,-0.13573163019122467,2.2347443103790283
stable_tail_ua_gnn,A,0,50,,0.3,0.5,0.1,0.2,0.01,0.5,0.2,0,data_2021_test,0.2696168618051121,0.6166130545139593,1.2149925851412386,0.2637631507208348,0.27450980392156865,0.4375,0.33724107653298097,0.7254901960784313,0.5022844672203064,0.09947225713837496,1.1854209517709096,1.9794927835464478,2.0089468955993652,1.9177000522613525,-0.0894979400688446,1.877828598022461
stable_tail_ua_gnn,A,1,50,,0.3,0.5,0.1,0.2,0.01,0.5,0.2,0,data_2020_train,0.33128372523533817,0.6846094706662833,0.7046141579493999,0.6387080550976503,0.6774193548387096,0.75,0.8431854363875527,0.3225806451612903,0.32911184430122375,0.08503131234823766,1.04257124258343,2.5889644622802734,2.6156668663024902,2.5078916549682617,-0.16776776120959927,2.167346477508545
stable_tail_ua_gnn,A,1,50,,0.3,0.5,0.1,0.2,0.01,0.5,0.2,0,data_2020_val,0.27767227982745224,0.6445277264242781,1.2123643662792976,0.46153846153846156,0.4444444444444444,0.5,0.5493711525290472,0.5555555555555556,0.49238696694374084,0.11790496323789869,1.1629323737438855,2.543618679046631,2.531935691833496,2.5711920261383057,0.05562562861118379,2.5558114051818848
stable_tail_ua_gnn,A,1,50,,0.3,0.5,0.1,0.2,0.01,0.5,0.2,0,data_2021_test,0.26543715846994537,0.6050056125029296,1.2042499674742673,0.3755269381136418,0.35294117647058826,0.5454545454545454,0.4371037746991982,0.6470588235294118,0.49853453040122986,0.06835765450452844,1.1846833942068893,2.5669612884521484,2.568840742111206,2.563058853149414,-0.009024529622603817,2.536134958267212
stable_tail_ua_gnn,A,2,50,,0.3,0.5,0.1,0.2,0.01,0.5,0.2,0,data_2020_train,0.33823277686533726,0.6823647326515725,0.8067180533251327,0.6172918432865898,0.6451612903225806,0.7142857142857143,0.7514980274170138,0.3548387096774194,0.3484031856060028,0.10107666325213303,0.831696631046562,1.981485366821289,1.9714597463607788,2.0119247436523438,0.027836214604712525,1.7698191404342651
stable_tail_ua_gnn,A,2,50,,0.3,0.5,0.1,0.2,0.01,0.5,0.2,0,data_2020_val,0.20318761384335154,0.5866467169745858,1.2330923941319725,0.32438606510565393,0.2222222222222222,0.5,0.44158198885709155,0.7777777777777778,0.5258889198303223,0.12326067118417647,0.9644004626711551,1.9026683568954468,1.8447113037109375,2.018582820892334,0.13925121650854372,2.3621156215667725
stable_tail_ua_gnn,A,2,50,,0.3,0.5,0.1,0.2,0.01,0.5,0.2,0,data_2021_test,0.2186348357173905,0.5731613534340155,1.2173971115804982,0.2634823749469245,0.23529411764705882,0.5217391304347826,0.3630051863786282,0.7647058823529411,0.5089462399482727,0.059487671568216105,1.0398277259496664,1.8261277675628662,1.7569936513900757,1.9558664560317993,0.15070300368899245,2.0283234119415283
stable_tail_ua_gnn,A,3,50,,0.3,0.5,0.1,0.2,0.01,0.5,0.2,0,data_2020_train,0.3085281773484495,0.6810263322807248,0.7453752764985079,0.6215576032068302,0.7096774193548387,0.6285714285714286,0.7113587017981086,0.2903225806451613,0.32686030864715576,0.0909958061887257,0.7936391528211234,1.8609802722930908,1.8889707326889038,1.7786550521850586,-0.09197015173627554,1.5595601797103882
