set,seed,customer_count,high_risk_ratio,high_exposure_ratio,mean_risk,risk_p90,risk_p95,mean_exposure,Q1_count,Q2_count,Q3_count,Q4_count,Q5_count,risk_source,instance_meta
A,0,50,0.44,0.4,0.1583663787972182,0.37371638417243963,0.49469694793224334,0.013132673923027091,6,8,7,7,22,D:\PyVRP-main\hazmat_risk_experiments\outputs\risk_matrices\gcn_teg_concat_splitB_seed0_epochs50_floor_0p01,D:\PyVRP-main\hazmat_risk_experiments\outputs\pyvrp_cvrp\pyvrp50_setA_floor001_teg_e50_s0_4\pyvrp_cvrp_meta.json
B,0,50,0.3,0.36,0.1359900737278167,0.338710305094719,0.4568304687738416,0.00944158470538256,8,6,10,11,15,D:\PyVRP-main\hazmat_risk_experiments\outputs\risk_matrices\gcn_teg_concat_splitB_seed0_epochs50_floor_0p01,D:\PyVRP-main\hazmat_risk_experiments\outputs\pyvrp_cvrp\pyvrp50_setB_floor001_teg_e50_s0_4\pyvrp_cvrp_meta.json
A,1,50,0.38,0.4,0.15413914549746552,0.5082150042057038,0.6036731332540511,0.013132673923027091,7,7,10,7,19,D:\PyVRP-main\hazmat_risk_experiments\outputs\risk_matrices\gcn_teg_concat_splitB_seed1_epochs50_floor_0p01,D:\PyVRP-main\hazmat_risk_experiments\outputs\pyvrp_cvrp\pyvrp50_setA_floor001_teg_e50_s0_4\pyvrp_cvrp_meta.json
B,1,50,0.26,0.36,0.11848604519778747,0.2574189856648448,0.52958105802536,0.00944158470538256,10,7,11,9,13,D:\PyVRP-main\hazmat_risk_experiments\outputs\risk_matrices\gcn_teg_concat_splitB_seed1_epochs50_floor_0p01,D:\PyVRP-main\hazmat_risk_experiments\outputs\pyvrp_cvrp\pyvrp50_setB_floor001_teg_e50_s0_4\pyvrp_cvrp_meta.json
A,2,50,0.44,0.4,0.19118593564722686,0.458663496375084,0.5697296679019926,0.013132673923027091,5,6,5,12,22,D:\PyVRP-main\hazmat_risk_experiments\outputs\risk_matrices\gcn_teg_concat_splitB_seed2_epochs50_floor_0p01,D:\PyVRP-main\hazmat_risk_experiments\outputs\pyvrp_cvrp\pyvrp50_setA_floor001_teg_e50_s0_4\pyvrp_cvrp_meta.json
B,2,50,0.3,0.36,0.15456415236752946,0.3337830305099489,0.5697296679019926,0.00944158470538256,9,5,7,14,15,D:\PyVRP-main\hazmat_risk_experiments\outputs\risk_matrices\gcn_teg_concat_splitB_seed2_epochs50_floor_0p01,D:\PyVRP-main\hazmat_risk_experiments\outputs\pyvrp_cvrp\pyvrp50_setB_floor001_teg_e50_s0_4\pyvrp_cvrp_meta.json
A,3,50,0.44,0.4,0.1702885309094563,0.33990755081176766,0.4383739888668059,0.013132673923027091,5,9,5,9,22,D:\PyVRP-main\hazmat_risk_experiments\outputs\risk_matrices\gcn_teg_concat_splitB_seed3_epochs50_floor_0p01,D:\PyVRP-main\hazmat_risk_experiments\outputs\pyvrp_cvrp\pyvrp50_setA_floor001_teg_e50_s0_4\pyvrp_cvrp_meta.json
B,3,50,0.34,0.36,0.14529962116779643,0.33990755081176766,0.4383739888668059,0.00944158470538256,9,8,6,10,17,D:\PyVRP-main\hazmat_risk_experiments\outputs\risk_matrices\gcn_teg_concat_splitB_seed3_epochs50_floor_0p01,D:\PyVRP-main\hazmat_risk_experiments\outputs\pyvrp_cvrp\pyvrp50_setB_floor001_teg_e50_s0_4\pyvrp_cvrp_meta.json
A,4,50,0.44,0.4,0.21061485460959375,0.5256808161735536,0.6522447228431699,0.013132673923027091,5,8,8,7,22,D:\PyVRP-main\hazmat_risk_experiments\outputs\risk_matrices\gcn_teg_concat_splitB_seed4_epochs50_floor_0p01,D:\PyVRP-main\hazmat_risk_experiments\outputs\pyvrp_cvrp\pyvrp50_setA_floor001_teg_e50_s0_4\pyvrp_cvrp_meta.json
B,4,50,0.3,0.36,0.16870055323593988,0.36314166188240077,0.5950728803873062,0.00944158470538256,9,6,10,10,15,D:\PyVRP-main\hazmat_risk_experiments\outputs\risk_matrices\gcn_teg_concat_splitB_seed4_epochs50_floor_0p01,D:\PyVRP-main\hazmat_risk_experiments\outputs\pyvrp_cvrp\pyvrp50_setB_floor001_teg_e50_s0_4\pyvrp_cvrp_meta.json
