set,seeds,seed_count,customer_count,high_risk_customer_ratio_mean,high_risk_customer_ratio_std,high_risk_customer_ratio_display,high_exposure_customer_ratio_mean,high_exposure_customer_ratio_std,high_exposure_customer_ratio_display,mean_customer_risk_S_norm_mean,mean_customer_risk_S_norm_std,mean_customer_risk_S_norm_display,risk_p90_S_norm_mean,risk_p90_S_norm_std,risk_p90_S_norm_display,risk_p95_S_norm_mean,risk_p95_S_norm_std,risk_p95_S_norm_display,mean_customer_exposure_norm_mean,mean_customer_exposure_norm_std,mean_customer_exposure_norm_display,Q1_count_display,Q2_count_display,Q3_count_display,Q4_count_display,Q5_count_display,Q1_Q5_distribution
A,"0,1,2,3,4,5,6,7,8,9",10,50,0.42000000000000004,0.0410960933531265,42.0% +/- 4.1%,0.4,0.0,40.0% +/- 0.0%,0.19012903934015776,0.023641455130774945,0.190129 +/- 0.023641,0.458529125750065,0.06471428076107925,0.458529 +/- 0.064714,0.596954888999462,0.08026984069045662,0.596955 +/- 0.080270,0.013132673923027091,0.0,0.013133 +/- 0.000000,5.900000 +/- 0.994429,6.900000 +/- 1.197219,6.700000 +/- 1.766981,9.500000 +/- 2.173067,21.000000 +/- 2.054805,Q1:5.9 +/- 1.0 / Q2:6.9 +/- 1.2 / Q3:6.7 +/- 1.8 / Q4:9.5 +/- 2.2 / Q5:21.0 +/- 2.1
B,"0,1,2,3,4,5,6,7,8,9",10,50,0.29400000000000004,0.036575644598253874,29.4% +/- 3.7%,0.36,0.0,36.0% +/- 0.0%,0.1544006728620816,0.017662667460828868,0.154401 +/- 0.017663,0.3576480166614058,0.06180232749165636,0.357648 +/- 0.061802,0.5593288126587865,0.0721319469887824,0.559329 +/- 0.072132,0.00944158470538256,0.0,0.009442 +/- 0.000000,9.000000 +/- 1.154701,6.500000 +/- 0.849837,8.600000 +/- 2.221111,11.200000 +/- 2.440401,14.700000 +/- 1.828782,Q1:9.0 +/- 1.2 / Q2:6.5 +/- 0.8 / Q3:8.6 +/- 2.2 / Q4:11.2 +/- 2.4 / Q5:14.7 +/- 1.8
