set,num_customers,high_risk_customer_ratio,high_risk_customer_ratio_pct,high_exposure_customer_ratio,high_exposure_customer_ratio_pct,mean_customer_risk_S_norm,risk_p90_S_norm,mean_customer_exposure_norm,Q1_count,Q2_count,Q3_count,Q4_count,Q5_count,Q1_Q5_distribution,high_risk_threshold_top20_global,high_exposure_threshold_top20_global,risk_quintile_thresholds_global,risk_source,instance_meta
A,50,0.44,44.0%,0.4,40.0%,0.1583663787972182,0.37371638417243963,0.013132673923027091,6,8,7,7,22,Q1:6 (12.0%) / Q2:8 (16.0%) / Q3:7 (14.0%) / Q4:7 (14.0%) / Q5:22 (44.0%),0.1557178795337677,0.0015841585194966386,"[0.008098585531115532, 0.029962318018078804, 0.07479633390903473, 0.1557178795337677]",D:\PyVRP-main\hazmat_risk_experiments\outputs\risk_matrices\gcn_teg_concat_splitB_seed0_epochs50_floor_0p01,D:\PyVRP-main\hazmat_risk_experiments\outputs\pyvrp_cvrp\pyvrp50_setA_floor001_teg_e50_s0_4\pyvrp_cvrp_meta.json
B,50,0.3,30.0%,0.36,36.0%,0.1359900737278167,0.338710305094719,0.00944158470538256,8,6,10,11,15,Q1:8 (16.0%) / Q2:6 (12.0%) / Q3:10 (20.0%) / Q4:11 (22.0%) / Q5:15 (30.0%),0.1557178795337677,0.0015841585194966386,"[0.008098585531115532, 0.029962318018078804, 0.07479633390903473, 0.1557178795337677]",D:\PyVRP-main\hazmat_risk_experiments\outputs\risk_matrices\gcn_teg_concat_splitB_seed0_epochs50_floor_0p01,D:\PyVRP-main\hazmat_risk_experiments\outputs\pyvrp_cvrp\pyvrp50_setB_floor001_teg_e50_s0_4\pyvrp_cvrp_meta.json
