customer_set,model,model_seed_runs,cost_increase_mean,cost_increase_std,cost_increase_mean_std,global_risk_mean,global_risk_std,global_risk_mean_std,risk_reduction_mean,risk_reduction_std,risk_reduction_mean_std,cvar90_mean,cvar90_std,cvar90_mean_std,max_vehicle_risk_mean,max_vehicle_risk_std,max_vehicle_risk_mean_std,edge_burden_gini_mean,edge_burden_gini_std,edge_burden_gini_mean_std,top10_share_mean,top10_share_std,top10_share_mean_std
A,GCN,5,0.1838990905793695,0.015177629724804789,18.390% +/- 1.518%,3.0735301481233184,0.42955252020114937,3.073530 +/- 0.429553,0.5893661637245305,0.023001979826312968,58.937% +/- 2.300%,0.07567917715884508,0.01826370231911055,0.075679 +/- 0.018264,1.005983050793875,0.18067971490476292,1.005983 +/- 0.180680,0.783679112135966,0.021373305326718443,0.783679 +/- 0.021373,0.7705255607653381,0.021412943601909644,77.053% +/- 2.141%
A,Stable-Tail GNN,5,0.170894659150103,0.016261929382752442,17.089% +/- 1.626%,2.842329556697223,0.5190768865371813,2.842330 +/- 0.519077,0.6250510204419263,0.031346984162830986,62.505% +/- 3.135%,0.06612203902526703,0.015388586603595612,0.066122 +/- 0.015389,0.988793954307912,0.2253779768289746,0.988794 +/- 0.225378,0.7992047181841936,0.0200937470130589,0.799205 +/- 0.020094,0.769488002217014,0.02391990977423416,76.949% +/- 2.392%
A,TEG-low,5,0.1914541625434524,0.012293483963051579,19.145% +/- 1.229%,3.3368583941983525,0.34274944482163144,3.336858 +/- 0.342749,0.583772108320484,0.017283275050457608,58.377% +/- 1.728%,0.07156595538734035,0.008611107627049166,0.071566 +/- 0.008611,1.1158670597011224,0.1094775734161089,1.115867 +/- 0.109478,0.7177312675768686,0.026271918250983448,0.717731 +/- 0.026272,0.7106489803396484,0.02778975999196976,71.065% +/- 2.779%
B,GCN,5,0.22454740014413302,0.010733398956622616,22.455% +/- 1.073%,4.193624224493366,0.5935267065206232,4.193624 +/- 0.593527,0.4962223961004921,0.03429132153567495,49.622% +/- 3.429%,0.10404716904691898,0.020934897150075956,0.104047 +/- 0.020935,1.478769097834177,0.33009651278048735,1.478769 +/- 0.330097,0.8203664335533746,0.01327758542617026,0.820366 +/- 0.013278,0.8152801287463978,0.016619595109272526,81.528% +/- 1.662%
B,Stable-Tail GNN,5,0.2004960035814897,0.01496664793107151,20.050% +/- 1.497%,3.567730043466147,0.6774514640766588,3.567730 +/- 0.677451,0.5691656504324079,0.03745102263713094,56.917% +/- 3.745%,0.08694340105079937,0.024027637887621633,0.086943 +/- 0.024028,1.2982484695551102,0.2790159253568753,1.298248 +/- 0.279016,0.823448882135055,0.015682586361823316,0.823449 +/- 0.015683,0.7979099140495923,0.02178988561355284,79.791% +/- 2.179%
B,TEG-low,5,0.2177330152213316,0.013807524934157003,21.773% +/- 1.381%,4.252649637325667,0.5122613509069415,4.252650 +/- 0.512261,0.4993251221925264,0.031676776359940956,49.933% +/- 3.168%,0.08952161875289909,0.013975755127760753,0.089522 +/- 0.013976,1.3643266845098696,0.2963483442027649,1.364327 +/- 0.296348,0.7451879236342047,0.023163425661566754,0.745188 +/- 0.023163,0.7487275537552448,0.026468026637058828,74.873% +/- 2.647%
