customer_set,route_source,self_global_risk,common_global_risk,self_cvar90,common_cvar90,self_max_vehicle_risk,common_max_vehicle_risk,self_edge_gini,common_edge_gini,self_top10_share,common_top10_share
A,GCN_seed0,2.6018714495774473,3.096481229512281,0.056984381444056306,0.06773440901125914,0.8337675246875733,0.941033676945891,0.7631999734463328,0.7466954453187494,0.7470548763057303,0.743755046756698
B,GCN_seed0,3.64866411394882,3.9951074493865106,0.09065882908061437,0.09708210020384038,1.2532225894476288,1.4110653084511238,0.8104922376999179,0.7823083473956798,0.804924943956453,0.7838925180717691
A,GCN_seed1,2.8701334939250955,3.2421939516985305,0.07276454162261878,0.08360280359422718,0.9005712437065085,0.8954917583698206,0.7820434072546927,0.7530767659915061,0.7627122992793274,0.7551703971627841
B,GCN_seed1,3.8426822065079884,4.132409966807739,0.09322831005882573,0.09568682859416933,1.3094456284109286,1.3654386231201137,0.8201388278694232,0.7826602481327896,0.8069508665052718,0.7871038854035218
A,GCN_seed2,3.696051307549351,3.174404697149144,0.10615924211199242,0.08526956333689335,1.2093144437123555,1.1217591843610335,0.8118677255241777,0.7499266927078416,0.8006813527586794,0.7490571078301194
B,GCN_seed2,4.997997640714058,4.200374724638897,0.13948282318195954,0.10233413065907508,1.9102722196781543,1.397642034850407,0.8400481867784679,0.7908497241225416,0.8394254186608716,0.7958772376653596
A,GCN_seed3,2.7021329397939553,3.0861673175659123,0.0626873301921337,0.07213341354084643,0.9172342286270577,0.9383827421091944,0.7557391739568755,0.7448855462115811,0.7429863217854155,0.7426594043141247
B,GCN_seed3,4.0267563870740375,4.43089186524933,0.10134340668063961,0.11069734645312335,1.2618566033879595,1.4413031807594907,0.8113389544763416,0.7964750248082255,0.8126254529575598,0.8041248573763383
A,GCN_seed4,3.3163776225661423,3.036974250481823,0.07305872152169693,0.07838073703872608,1.1665205602592323,1.116347188727091,0.7960055296249581,0.741955577065605,0.7827726341067242,0.7394326207325298
B,GCN_seed4,4.402333025757919,4.11843486677408,0.09357365767679046,0.0982734231588372,1.5861363257397898,1.314883076693492,0.8226545367429935,0.7849463356995547,0.8176799229182581,0.7869029785650026
A,GCN_seed5,2.5731607750509284,3.239777417131016,0.06749374656839464,0.08497315816336805,0.9439178378612268,1.1716223404580124,0.7707888559206415,0.7547271211447867,0.7494776115739985,0.7553493858118765
B,GCN_seed5,3.174338425365525,3.76226496719501,0.08072250202298165,0.08717825877541632,1.0808726851770103,1.3323033874526489,0.8018733642542581,0.7702001572007858,0.7806080507446699,0.7691161422904675
A,GCN_seed6,3.263349509562249,3.1158776585096897,0.07995319382227185,0.07992823309293504,1.1550317604735028,1.1057127000464861,0.80715311643983,0.7488395840164814,0.792937127805374,0.7466931390522398
B,GCN_seed6,4.669360005598674,4.017409139643391,0.11051109925431726,0.09218374654077756,1.6292293017701014,1.3312216407728659,0.8401837793110332,0.7771303562361803,0.8369512460053457,0.781004478259187
A,GCN_seed7,3.9050874459848273,3.1151315517316442,0.10594046385042541,0.07425592438260227,1.338074982666876,1.0169572353274914,0.7869462497938884,0.7465740083300929,0.784313644871218,0.7434122606677367
B,GCN_seed7,5.343058741962887,4.256203810360529,0.15021161303694908,0.10789892202239693,1.700914359698072,1.3241890678661954,0.8197597795031154,0.7889621025157446,0.8301332062271756,0.7959252504327148
A,GCN_seed8,3.3004136541916522,3.2137326739867262,0.07538122883872725,0.08425092186138379,1.1725424614327493,1.2399704327135617,0.8092017982319115,0.7530663398346835,0.795245634178638,0.7540179609901945
B,GCN_seed8,3.7456277809855543,3.882414551271135,0.0832033530269753,0.09174155531753381,1.5311714384180959,1.4434062008596704,0.8170825636924606,0.7725906396156094,0.8029309231860561,0.7748789901779882
A,GCN_seed9,2.8024847413238603,3.1465695868104575,0.0734437266563828,0.0820797558466107,0.91561923379777,1.040188299184728,0.7605826238864912,0.7462484867053342,0.7507215436235478,0.7452948967837217
B,GCN_seed9,4.090627758369548,3.9857110097059767,0.11092128797965714,0.09671337550520724,1.4630620254759479,1.399963851185309,0.8159072171057531,0.7785268198368183,0.8152622694473655,0.7828452641126883
A,Weighted-GCN_seed0,3.055585117728333,3.310129006071508,0.07366516915329249,0.07983557851204515,0.9633499638992362,0.9169155755348013,0.6975018316326012,0.7568633127024206,0.6925291574653136,0.7596961602416079
B,Weighted-GCN_seed0,3.4845052763354034,3.8802449455440224,0.07926573171110082,0.09128845203238908,1.0831073209177702,1.4085891221640245,0.6980947776553094,0.7714892942425047,0.6990148717687104,0.7730209858355288
A,Weighted-GCN_seed1,3.1198989706106657,3.259053534722171,0.06307397481085372,0.07845230455625236,0.9471814092365094,0.8967759046882392,0.7072046325663806,0.7565129757626345,0.7027477568368978,0.7598821470725268
B,Weighted-GCN_seed1,3.8860075949662134,4.187084743895999,0.07411700975318967,0.09758330611980984,1.1327074968838133,1.2687093091828945,0.7309070206177468,0.7820335958086153,0.7319544635537089,0.7885966847574096
A,Weighted-GCN_seed2,3.745033576525748,3.0899728588785687,0.09350822878821899,0.07793480236380305,1.1772679429152049,0.9189312566232946,0.7543004467052077,0.7439311102618904,0.7482812006329096,0.7413548422061145
B,Weighted-GCN_seed2,4.832009743258823,4.112620312406569,0.11902174417131266,0.09900111610192146,1.6985672649461776,1.3814545124127546,0.7800898500496979,0.7821986383772328,0.7881877721529461,0.7888994812139715
A,Weighted-GCN_seed3,3.1276902555946435,3.284990787109095,0.06815365120564013,0.0768661678989085,0.9575447390147019,0.9553604315512935,0.7143789581056231,0.7541788411695007,0.7061153639119169,0.756125563309514
B,Weighted-GCN_seed3,4.055888708657585,4.550619926221043,0.09595093631355377,0.11455350387081573,1.309024235396646,1.4481739086909942,0.7461691965412379,0.797397426526466,0.7496034808491177,0.8083091855217621
A,Weighted-GCN_seed4,4.089031083733426,3.2792198737114093,0.10768138633959898,0.08392330901506113,1.5780950466636567,1.2010255533452736,0.7618759129682859,0.7552111300516209,0.7589772653860074,0.7572721516224895
B,Weighted-GCN_seed4,4.321883522497956,4.266925220330395,0.10090687772926599,0.10080426295489102,1.3560896661889275,1.3964794052373404,0.7400753186639142,0.7846064628407878,0.7414678436473336,0.7932701425046859
A,Weighted-GCN_seed5,2.6038367848523194,3.2899622574550778,0.0564350187558567,0.08423823685468819,0.9582606973126531,1.2047984222119204,0.6852264610888962,0.7587922770604749,0.6649964163548797,0.759917500072339
B,Weighted-GCN_seed5,3.0595016197010407,4.415668160079331,0.06007843464986077,0.10186592353153641,0.9611598462826805,1.4994969520493602,0.6888558683080751,0.789440067637663,0.6780155409511389,0.7998458714126466
