customer_set,solver_seed,route_sources,unique_beta0_costs,unique_beta0_route_hashes,cost_min,cost_max,shared_cost_baseline,shared_route_baseline
A,0,70,1,1,133997.0,133997.0,True,True
A,1,70,1,1,133997.0,133997.0,True,True
A,2,70,1,1,133998.0,133998.0,True,True
A,3,70,2,2,133997.0,133998.0,False,False
A,4,70,1,1,133997.0,133997.0,True,True
A,5,70,1,1,133999.0,133999.0,True,True
A,6,70,1,1,133997.0,133997.0,True,True
A,7,70,1,1,133998.0,133998.0,True,True
A,8,70,1,1,133998.0,133998.0,True,True
A,9,70,1,1,133997.0,133997.0,True,True
B,0,70,1,1,145999.0,145999.0,True,True
B,1,70,1,1,145999.0,145999.0,True,True
B,2,70,1,1,146664.0,146664.0,True,True
B,3,70,1,1,146664.0,146664.0,True,True
B,4,70,1,1,147330.0,147330.0,True,True
B,5,70,1,1,147330.0,147330.0,True,True
B,6,70,1,1,147330.0,147330.0,True,True
B,7,70,1,1,146664.0,146664.0,True,True
B,8,70,1,1,147330.0,147330.0,True,True
B,9,70,1,1,145999.0,145999.0,True,True
