set,seed,customer_hash,depot,customer_count,demand_sum,capacity,num_vehicles,construction_risk_dir,fixed_instance_meta_source
A,0,28bdcba39d32,3477,50,50,10,5,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\gcn_teg_concat_splitB_seed0_epochs50_10seed_floor_0p01,D:\PyVRP-main\hazmat_risk_experiments\outputs\pyvrp_cvrp\pyvrp50_setA_floor001_teg_e50_s0_4\pyvrp_cvrp_meta.json
A,1,28bdcba39d32,3477,50,50,10,5,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\gcn_teg_concat_splitB_seed0_epochs50_10seed_floor_0p01,D:\PyVRP-main\hazmat_risk_experiments\outputs\pyvrp_cvrp\pyvrp50_setA_floor001_teg_e50_s0_4\pyvrp_cvrp_meta.json
A,2,28bdcba39d32,3477,50,50,10,5,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\gcn_teg_concat_splitB_seed0_epochs50_10seed_floor_0p01,D:\PyVRP-main\hazmat_risk_experiments\outputs\pyvrp_cvrp\pyvrp50_setA_floor001_teg_e50_s0_4\pyvrp_cvrp_meta.json
A,3,28bdcba39d32,3477,50,50,10,5,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\gcn_teg_concat_splitB_seed0_epochs50_10seed_floor_0p01,D:\PyVRP-main\hazmat_risk_experiments\outputs\pyvrp_cvrp\pyvrp50_setA_floor001_teg_e50_s0_4\pyvrp_cvrp_meta.json
A,4,28bdcba39d32,3477,50,50,10,5,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\gcn_teg_concat_splitB_seed0_epochs50_10seed_floor_0p01,D:\PyVRP-main\hazmat_risk_experiments\outputs\pyvrp_cvrp\pyvrp50_setA_floor001_teg_e50_s0_4\pyvrp_cvrp_meta.json
A,5,28bdcba39d32,3477,50,50,10,5,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\gcn_teg_concat_splitB_seed0_epochs50_10seed_floor_0p01,D:\PyVRP-main\hazmat_risk_experiments\outputs\pyvrp_cvrp\pyvrp50_setA_floor001_teg_e50_s0_4\pyvrp_cvrp_meta.json
A,6,28bdcba39d32,3477,50,50,10,5,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\gcn_teg_concat_splitB_seed0_epochs50_10seed_floor_0p01,D:\PyVRP-main\hazmat_risk_experiments\outputs\pyvrp_cvrp\pyvrp50_setA_floor001_teg_e50_s0_4\pyvrp_cvrp_meta.json
A,7,28bdcba39d32,3477,50,50,10,5,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\gcn_teg_concat_splitB_seed0_epochs50_10seed_floor_0p01,D:\PyVRP-main\hazmat_risk_experiments\outputs\pyvrp_cvrp\pyvrp50_setA_floor001_teg_e50_s0_4\pyvrp_cvrp_meta.json
A,8,28bdcba39d32,3477,50,50,10,5,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\gcn_teg_concat_splitB_seed0_epochs50_10seed_floor_0p01,D:\PyVRP-main\hazmat_risk_experiments\outputs\pyvrp_cvrp\pyvrp50_setA_floor001_teg_e50_s0_4\pyvrp_cvrp_meta.json
A,9,28bdcba39d32,3477,50,50,10,5,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\gcn_teg_concat_splitB_seed0_epochs50_10seed_floor_0p01,D:\PyVRP-main\hazmat_risk_experiments\outputs\pyvrp_cvrp\pyvrp50_setA_floor001_teg_e50_s0_4\pyvrp_cvrp_meta.json
B,0,91dec3b14860,3477,50,50,10,5,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\gcn_teg_concat_splitB_seed0_epochs50_10seed_floor_0p01,D:\PyVRP-main\hazmat_risk_experiments\outputs\pyvrp_cvrp\pyvrp50_setB_floor001_teg_e50_s0_4\pyvrp_cvrp_meta.json
B,1,91dec3b14860,3477,50,50,10,5,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\gcn_teg_concat_splitB_seed0_epochs50_10seed_floor_0p01,D:\PyVRP-main\hazmat_risk_experiments\outputs\pyvrp_cvrp\pyvrp50_setB_floor001_teg_e50_s0_4\pyvrp_cvrp_meta.json
B,2,91dec3b14860,3477,50,50,10,5,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\gcn_teg_concat_splitB_seed0_epochs50_10seed_floor_0p01,D:\PyVRP-main\hazmat_risk_experiments\outputs\pyvrp_cvrp\pyvrp50_setB_floor001_teg_e50_s0_4\pyvrp_cvrp_meta.json
B,3,91dec3b14860,3477,50,50,10,5,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\gcn_teg_concat_splitB_seed0_epochs50_10seed_floor_0p01,D:\PyVRP-main\hazmat_risk_experiments\outputs\pyvrp_cvrp\pyvrp50_setB_floor001_teg_e50_s0_4\pyvrp_cvrp_meta.json
B,4,91dec3b14860,3477,50,50,10,5,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\gcn_teg_concat_splitB_seed0_epochs50_10seed_floor_0p01,D:\PyVRP-main\hazmat_risk_experiments\outputs\pyvrp_cvrp\pyvrp50_setB_floor001_teg_e50_s0_4\pyvrp_cvrp_meta.json
B,5,91dec3b14860,3477,50,50,10,5,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\gcn_teg_concat_splitB_seed0_epochs50_10seed_floor_0p01,D:\PyVRP-main\hazmat_risk_experiments\outputs\pyvrp_cvrp\pyvrp50_setB_floor001_teg_e50_s0_4\pyvrp_cvrp_meta.json
B,6,91dec3b14860,3477,50,50,10,5,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\gcn_teg_concat_splitB_seed0_epochs50_10seed_floor_0p01,D:\PyVRP-main\hazmat_risk_experiments\outputs\pyvrp_cvrp\pyvrp50_setB_floor001_teg_e50_s0_4\pyvrp_cvrp_meta.json
B,7,91dec3b14860,3477,50,50,10,5,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\gcn_teg_concat_splitB_seed0_epochs50_10seed_floor_0p01,D:\PyVRP-main\hazmat_risk_experiments\outputs\pyvrp_cvrp\pyvrp50_setB_floor001_teg_e50_s0_4\pyvrp_cvrp_meta.json
B,8,91dec3b14860,3477,50,50,10,5,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\gcn_teg_concat_splitB_seed0_epochs50_10seed_floor_0p01,D:\PyVRP-main\hazmat_risk_experiments\outputs\pyvrp_cvrp\pyvrp50_setB_floor001_teg_e50_s0_4\pyvrp_cvrp_meta.json
