customer_set,route_source,solver_seed,beta0_total_cost,beta0_route_hash,run_dir
A,Edge-GAT_seed2_A_Edge-GAT_seed2,7,133998.0,c0d395e70fb3,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Edge-GAT_seed2_A_Edge-GAT_seed2
A,Edge-GAT_seed2_A_Edge-GAT_seed2,8,133998.0,e12645b7ed4d,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Edge-GAT_seed2_A_Edge-GAT_seed2
A,Edge-GAT_seed2_A_Edge-GAT_seed2,9,133997.0,6c52e1484e86,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Edge-GAT_seed2_A_Edge-GAT_seed2
B,Edge-GAT_seed2_B_Edge-GAT_seed2,0,145999.0,7e29d8c2a90f,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Edge-GAT_seed2_B_Edge-GAT_seed2
B,Edge-GAT_seed2_B_Edge-GAT_seed2,1,145999.0,2acffbc9a080,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Edge-GAT_seed2_B_Edge-GAT_seed2
B,Edge-GAT_seed2_B_Edge-GAT_seed2,2,146664.0,5a9fc160cc56,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Edge-GAT_seed2_B_Edge-GAT_seed2
B,Edge-GAT_seed2_B_Edge-GAT_seed2,3,146664.0,902e29c6af0b,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Edge-GAT_seed2_B_Edge-GAT_seed2
B,Edge-GAT_seed2_B_Edge-GAT_seed2,4,147330.0,3a21d8a6cc14,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Edge-GAT_seed2_B_Edge-GAT_seed2
B,Edge-GAT_seed2_B_Edge-GAT_seed2,5,147330.0,1c45aeeef59f,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Edge-GAT_seed2_B_Edge-GAT_seed2
B,Edge-GAT_seed2_B_Edge-GAT_seed2,6,147330.0,223d0260af9c,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Edge-GAT_seed2_B_Edge-GAT_seed2
B,Edge-GAT_seed2_B_Edge-GAT_seed2,7,146664.0,77db182350b4,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Edge-GAT_seed2_B_Edge-GAT_seed2
B,Edge-GAT_seed2_B_Edge-GAT_seed2,8,147330.0,05c8176215f5,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Edge-GAT_seed2_B_Edge-GAT_seed2
B,Edge-GAT_seed2_B_Edge-GAT_seed2,9,145999.0,8519b2a1e7ff,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Edge-GAT_seed2_B_Edge-GAT_seed2
A,Edge-GAT_seed3_A_Edge-GAT_seed3,0,133997.0,ca37217a6a54,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Edge-GAT_seed3_A_Edge-GAT_seed3
A,Edge-GAT_seed3_A_Edge-GAT_seed3,1,133997.0,9f971bef686b,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Edge-GAT_seed3_A_Edge-GAT_seed3
A,Edge-GAT_seed3_A_Edge-GAT_seed3,2,133998.0,16207583c4c7,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Edge-GAT_seed3_A_Edge-GAT_seed3
A,Edge-GAT_seed3_A_Edge-GAT_seed3,3,133998.0,cd749ca3002c,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Edge-GAT_seed3_A_Edge-GAT_seed3
A,Edge-GAT_seed3_A_Edge-GAT_seed3,4,133997.0,d2f2d3ddb377,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Edge-GAT_seed3_A_Edge-GAT_seed3
A,Edge-GAT_seed3_A_Edge-GAT_seed3,5,133999.0,1407a63515dc,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Edge-GAT_seed3_A_Edge-GAT_seed3
A,Edge-GAT_seed3_A_Edge-GAT_seed3,6,133997.0,1507d6f3543a,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Edge-GAT_seed3_A_Edge-GAT_seed3
A,Edge-GAT_seed3_A_Edge-GAT_seed3,7,133998.0,c0d395e70fb3,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Edge-GAT_seed3_A_Edge-GAT_seed3
A,Edge-GAT_seed3_A_Edge-GAT_seed3,8,133998.0,e12645b7ed4d,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Edge-GAT_seed3_A_Edge-GAT_seed3
A,Edge-GAT_seed3_A_Edge-GAT_seed3,9,133997.0,6c52e1484e86,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Edge-GAT_seed3_A_Edge-GAT_seed3
B,Edge-GAT_seed3_B_Edge-GAT_seed3,0,145999.0,7e29d8c2a90f,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Edge-GAT_seed3_B_Edge-GAT_seed3
B,Edge-GAT_seed3_B_Edge-GAT_seed3,1,145999.0,2acffbc9a080,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Edge-GAT_seed3_B_Edge-GAT_seed3
B,Edge-GAT_seed3_B_Edge-GAT_seed3,2,146664.0,5a9fc160cc56,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Edge-GAT_seed3_B_Edge-GAT_seed3
B,Edge-GAT_seed3_B_Edge-GAT_seed3,3,146664.0,902e29c6af0b,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Edge-GAT_seed3_B_Edge-GAT_seed3
B,Edge-GAT_seed3_B_Edge-GAT_seed3,4,147330.0,3a21d8a6cc14,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Edge-GAT_seed3_B_Edge-GAT_seed3
B,Edge-GAT_seed3_B_Edge-GAT_seed3,5,147330.0,1c45aeeef59f,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Edge-GAT_seed3_B_Edge-GAT_seed3
B,Edge-GAT_seed3_B_Edge-GAT_seed3,6,147330.0,223d0260af9c,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Edge-GAT_seed3_B_Edge-GAT_seed3
B,Edge-GAT_seed3_B_Edge-GAT_seed3,7,146664.0,77db182350b4,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Edge-GAT_seed3_B_Edge-GAT_seed3
B,Edge-GAT_seed3_B_Edge-GAT_seed3,8,147330.0,05c8176215f5,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Edge-GAT_seed3_B_Edge-GAT_seed3
B,Edge-GAT_seed3_B_Edge-GAT_seed3,9,145999.0,8519b2a1e7ff,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Edge-GAT_seed3_B_Edge-GAT_seed3
A,Edge-GAT_seed4_A_Edge-GAT_seed4,0,133997.0,ca37217a6a54,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Edge-GAT_seed4_A_Edge-GAT_seed4
A,Edge-GAT_seed4_A_Edge-GAT_seed4,1,133997.0,9f971bef686b,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Edge-GAT_seed4_A_Edge-GAT_seed4
A,Edge-GAT_seed4_A_Edge-GAT_seed4,2,133998.0,16207583c4c7,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Edge-GAT_seed4_A_Edge-GAT_seed4
A,Edge-GAT_seed4_A_Edge-GAT_seed4,3,133998.0,cd749ca3002c,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Edge-GAT_seed4_A_Edge-GAT_seed4
A,Edge-GAT_seed4_A_Edge-GAT_seed4,4,133997.0,d2f2d3ddb377,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Edge-GAT_seed4_A_Edge-GAT_seed4
A,Edge-GAT_seed4_A_Edge-GAT_seed4,5,133999.0,1407a63515dc,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Edge-GAT_seed4_A_Edge-GAT_seed4
A,Edge-GAT_seed4_A_Edge-GAT_seed4,6,133997.0,1507d6f3543a,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Edge-GAT_seed4_A_Edge-GAT_seed4
A,Edge-GAT_seed4_A_Edge-GAT_seed4,7,133998.0,c0d395e70fb3,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Edge-GAT_seed4_A_Edge-GAT_seed4
A,Edge-GAT_seed4_A_Edge-GAT_seed4,8,133998.0,e12645b7ed4d,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Edge-GAT_seed4_A_Edge-GAT_seed4
A,Edge-GAT_seed4_A_Edge-GAT_seed4,9,133997.0,6c52e1484e86,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Edge-GAT_seed4_A_Edge-GAT_seed4
B,Edge-GAT_seed4_B_Edge-GAT_seed4,0,145999.0,7e29d8c2a90f,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Edge-GAT_seed4_B_Edge-GAT_seed4
B,Edge-GAT_seed4_B_Edge-GAT_seed4,1,145999.0,2acffbc9a080,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Edge-GAT_seed4_B_Edge-GAT_seed4
B,Edge-GAT_seed4_B_Edge-GAT_seed4,2,146664.0,5a9fc160cc56,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Edge-GAT_seed4_B_Edge-GAT_seed4
B,Edge-GAT_seed4_B_Edge-GAT_seed4,3,146664.0,902e29c6af0b,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Edge-GAT_seed4_B_Edge-GAT_seed4
B,Edge-GAT_seed4_B_Edge-GAT_seed4,4,147330.0,3a21d8a6cc14,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Edge-GAT_seed4_B_Edge-GAT_seed4
B,Edge-GAT_seed4_B_Edge-GAT_seed4,5,147330.0,1c45aeeef59f,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Edge-GAT_seed4_B_Edge-GAT_seed4
B,Edge-GAT_seed4_B_Edge-GAT_seed4,6,147330.0,223d0260af9c,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Edge-GAT_seed4_B_Edge-GAT_seed4
B,Edge-GAT_seed4_B_Edge-GAT_seed4,7,146664.0,77db182350b4,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Edge-GAT_seed4_B_Edge-GAT_seed4
B,Edge-GAT_seed4_B_Edge-GAT_seed4,8,147330.0,05c8176215f5,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Edge-GAT_seed4_B_Edge-GAT_seed4
B,Edge-GAT_seed4_B_Edge-GAT_seed4,9,145999.0,8519b2a1e7ff,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Edge-GAT_seed4_B_Edge-GAT_seed4
A,Edge-GAT_seed5_A_Edge-GAT_seed5,0,133997.0,ca37217a6a54,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Edge-GAT_seed5_A_Edge-GAT_seed5
A,Edge-GAT_seed5_A_Edge-GAT_seed5,1,133997.0,9f971bef686b,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Edge-GAT_seed5_A_Edge-GAT_seed5
A,Edge-GAT_seed5_A_Edge-GAT_seed5,2,133998.0,16207583c4c7,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Edge-GAT_seed5_A_Edge-GAT_seed5
A,Edge-GAT_seed5_A_Edge-GAT_seed5,3,133998.0,cd749ca3002c,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Edge-GAT_seed5_A_Edge-GAT_seed5
A,Edge-GAT_seed5_A_Edge-GAT_seed5,4,133997.0,d2f2d3ddb377,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Edge-GAT_seed5_A_Edge-GAT_seed5
A,Edge-GAT_seed5_A_Edge-GAT_seed5,5,133999.0,1407a63515dc,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Edge-GAT_seed5_A_Edge-GAT_seed5
A,Edge-GAT_seed5_A_Edge-GAT_seed5,6,133997.0,1507d6f3543a,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\model_pyvrp50_beta1_10seed__Edge-GAT_seed5_A_Edge-GAT_seed5
