edge_id,src,dst,risk_matrix_Rij,OD_graph_Rij,PyVRP_graph_Rij,common_eval_Rij,matrix_OD_abs_diff,matrix_PyVRP_abs_diff,sample_risk_dir,common_risk_dir
0,3494,3574,0.0034978832118213177,0.0034978832118213177,0.0034978832118213177,0.0025869192978413844,0.0,0.0,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\gcn_teg_concat_splitB_seed0_epochs50_10seed_floor_0p01,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\common_ensemble4_10seed_floor_0p01
1,0,3494,0.0005492987111210823,0.0005492987111210823,0.0005492987111210823,0.0020194630964350084,0.0,0.0,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\gcn_teg_concat_splitB_seed0_epochs50_10seed_floor_0p01,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\common_ensemble4_10seed_floor_0p01
2,0,3780,0.004785208031535149,0.004785208031535149,0.004785208031535149,0.002955786865328013,0.0,0.0,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\gcn_teg_concat_splitB_seed0_epochs50_10seed_floor_0p01,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\common_ensemble4_10seed_floor_0p01
3,1,3780,0.004785208031535149,0.004785208031535149,0.004785208031535149,0.002955786865328013,0.0,0.0,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\gcn_teg_concat_splitB_seed0_epochs50_10seed_floor_0p01,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\common_ensemble4_10seed_floor_0p01
4,1,3494,0.0010844815988093615,0.0010844815988093615,0.0010844815988093615,0.0024219607733436976,0.0,0.0,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\gcn_teg_concat_splitB_seed0_epochs50_10seed_floor_0p01,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\common_ensemble4_10seed_floor_0p01
5,3494,3780,0.4785207509994507,0.4785207509994507,0.4785207509994507,0.2955786579037739,0.0,0.0,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\gcn_teg_concat_splitB_seed0_epochs50_10seed_floor_0p01,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\common_ensemble4_10seed_floor_0p01
6,2,3573,0.004185267258435488,0.004185267258435488,0.004185267258435488,0.0028039802479732402,0.0,0.0,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\gcn_teg_concat_splitB_seed0_epochs50_10seed_floor_0p01,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\common_ensemble4_10seed_floor_0p01
7,2,3494,0.00112459238152951,0.00112459238152951,0.00112459238152951,0.0026438548802341427,0.0,0.0,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\gcn_teg_concat_splitB_seed0_epochs50_10seed_floor_0p01,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\common_ensemble4_10seed_floor_0p01
8,3,4,0.0014161885483190417,0.0014161885483190417,0.0014161885483190417,0.001075176086124279,0.0,0.0,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\gcn_teg_concat_splitB_seed0_epochs50_10seed_floor_0p01,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\common_ensemble4_10seed_floor_0p01
9,4,5,0.0014161885483190417,0.0014161885483190417,0.0014161885483190417,0.0012162049801349012,0.0,0.0,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\gcn_teg_concat_splitB_seed0_epochs50_10seed_floor_0p01,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\common_ensemble4_10seed_floor_0p01
