model,model_family,avg_risk_at_b_ab_mean,common_aubrc_ab_mean,cvar90_aubrc_ab_mean,cvar95_aubrc_ab_mean,load_cvar90_aubrc_ab_mean,max_vehicle_cvar90_aubrc_ab_mean,rank_by_core_risk,method,alpha,rho,p_high_mode,p_high_gate_threshold,core_score,runs,macro_f1_mean,weighted_f1_mean,mae_mean,qwk_mean,recall_6_8_mean,precision_6_8_mean,pr_auc_high_mean,high_fn_rate_mean,brier_mean,ece_mean,od_hop_increase_mean,od_total_risk_reduction_mean,od_cvar90_reduction_mean,od_maxrisk_reduction_mean,od_re_reduction_mean
Stable-Tail-EdgeTailGate05-a005,gate05_calibration,4.032696421982705,1.1806121907113205,0.0286317727251367,0.0522410115000376,0.0168324131558922,0.0505782873227794,,edge_tail_correction,0.05,0.2,gate,0.5,13.0,,,,,,,,,,,,0.1022824360824227,0.8489029050013077,0.9013391528232412,0.9083306419550972,0.9199403202835772
Stable-Tail-EdgeTailGate05-a010,gate05_calibration,4.035509501255325,1.1817537012627222,0.0285043029215942,0.0518145866762391,0.0169465772845797,0.0503881151436406,,edge_tail_correction,0.1,0.2,gate,0.5,10.0,,,,,,,,,,,,0.1022824360824227,0.8498743856211464,0.9018125970630104,0.9087501801955926,0.920313911343417
Stable-Tail-EdgeTailGate05-a020,gate05_calibration,4.030498592634965,1.1770944992168308,0.0283409332921388,0.0520805387796945,0.017077217831108,0.0514276251834154,,edge_tail_correction,0.2,0.2,gate,0.5,6.75,,,,,,,,,,,,0.1022824360824227,0.8515341031853095,0.9026458025076748,0.9094666495525416,0.9209756515160386
Stable-Tail-EdgeTailGate05-a030,gate05_calibration,4.04260316637704,1.1805368025259086,0.0284724565594881,0.0519232172030273,0.0170583537568665,0.0515952083735421,,edge_tail_correction,0.3,0.2,gate,0.5,10.75,,,,,,,,,,,,0.1022824360824227,0.8528898599951352,0.9032370083996456,0.909952187424972,0.9214726520975396
Stable-Tail-MatrixEnsGate05-r005,gate05_calibration,4.040374699464959,1.1802893594423265,0.0287067340209879,0.0518191138584229,0.016986034959825,0.0511167744380838,,risk_matrix_ensemble,0.1,0.05,gate,0.5,12.0,,,,,,,,,,,,0.1022824360824227,0.8479416266359586,0.9008956835689426,0.907923300009332,0.9195869316153964
Stable-Tail-MatrixEnsGate05-r010,gate05_calibration,4.005969526444026,1.171320239960568,0.0284546750665411,0.0513230757731927,0.0166494875201892,0.0506084743688462,,risk_matrix_ensemble,0.1,0.1,gate,0.5,1.75,,,,,,,,,,,,0.1022824360824227,0.8481602093049155,0.9009708048019904,0.9079989423241372,0.9196536482015274
Stable-Tail-MatrixEnsGate05-r020,gate05_calibration,4.0238393162882815,1.1768281580689182,0.0286466910634946,0.0518861975385467,0.0169558516491147,0.0513008670113481,,risk_matrix_ensemble,0.1,0.2,gate,0.5,8.25,,,,,,,,,,,,0.1022824360824227,0.8486753733581573,0.9011491184407752,0.908178219966054,0.9198107716411208
Stable-Tail-MatrixEnsGate05-r030,gate05_calibration,4.041571511070737,1.1813825808151934,0.0286513256373582,0.0519299855661342,0.016890598832794,0.0512133973207761,,risk_matrix_ensemble,0.1,0.3,gate,0.5,14.0,,,,,,,,,,,,0.1022824360824227,0.8493296381281493,0.9013754353049084,0.9084061031849336,0.9200100891466378
Stable-Tail-MatrixEnsGate05-r040,gate05_calibration,4.031400679302759,1.1771692966026637,0.0284793769033383,0.0515951870947701,0.0168870892173954,0.0507469396480586,,risk_matrix_ensemble,0.1,0.4,gate,0.5,6.25,,,,,,,,,,,,0.1022824360824227,0.8501881429036383,0.9016735136254868,0.908710513255406,0.9202712313320768
Stable-Tail-NodeCalibGate05-a005,gate05_calibration,4.031242671572421,1.1806535305308352,0.0286466111204581,0.0520688271798794,0.0170514317237165,0.051092810315466,,node_calibration,0.05,0.2,gate,0.5,12.0,,,,,,,,,,,,0.1025569069818936,0.8479189543828769,0.9009554945642686,0.90793191629177,0.919533823835208
Stable-Tail-NodeCalibGate05-a010,gate05_calibration,4.014759360108673,1.1725373607019136,0.0285265227465411,0.0518360775139137,0.0170654988151324,0.0506381557358253,,node_calibration,0.1,0.2,gate,0.5,5.0,,,,,,,,,,,,0.1027473831723697,0.8481623077149624,0.9010393084497956,0.9080102080905564,0.919567544420268
Stable-Tail-NodeCalibGate05-a020,gate05_calibration,4.033292056911934,1.1786316491475364,0.0286679685884008,0.0521876305469805,0.0167833026090392,0.0511924016679846,,node_calibration,0.2,0.2,gate,0.5,12.5,,,,,,,,,,,,0.1024862720612587,0.8484270755760032,0.9012618554934484,0.908156167347308,0.9195100267904354
Stable-Tail-NodeCalibGate05-a030,gate05_calibration,4.016903356163095,1.1730207289275911,0.0284128245351551,0.0515415615009848,0.0168172815008232,0.0508042403892189,,node_calibration,0.3,0.2,gate,0.5,2.75,,,,,,,,,,,,0.1024862720612587,0.848704538047499,0.9013746231425944,0.9082552710683084,0.9194483611453008
Stable-Tail-TailOnlyGate05-a005,gate05_calibration,4.038945281308566,1.179915171975364,0.0285236211990522,0.051859802309091,0.0171961442109414,0.05035934697033,,tail_only_correction,0.05,0.2,gate,0.5,9.75,,,,,,,,,,,,0.1022824360824227,0.8498426846229302,0.9017281191675492,0.9086528615375932,0.9202738090085508
Stable-Tail-TailOnlyGate05-a010,gate05_calibration,4.04444173906486,1.1819065594923988,0.0286212798620234,0.0520093558915944,0.0169310101588395,0.0505645477434249,,tail_only_correction,0.1,0.2,gate,0.5,14.25,,,,,,,,,,,,0.1022824360824227,0.8516685255441212,0.90255938120117,0.9093686340992596,0.920952754752343
