model,model_family,avg_risk_at_b_ab_mean,common_aubrc_ab_mean,cvar90_aubrc_ab_mean,cvar95_aubrc_ab_mean,load_cvar90_aubrc_ab_mean,max_vehicle_cvar90_aubrc_ab_mean,rank_by_core_risk,method,alpha,rho,p_high_mode,p_high_gate_threshold,core_score,runs,macro_f1_mean,weighted_f1_mean,mae_mean,qwk_mean,recall_6_8_mean,precision_6_8_mean,pr_auc_high_mean,high_fn_rate_mean,brier_mean,ece_mean,od_hop_increase_mean,od_total_risk_reduction_mean,od_cvar90_reduction_mean,od_maxrisk_reduction_mean,od_re_reduction_mean
Stable-Tail-TailOnlyGate05-a020,gate05_calibration,4.020861424026589,1.176597787679277,0.0283554154601286,0.0517750659575483,0.0169579440652168,0.0512061175501235,,tail_only_correction,0.2,0.2,gate,0.5,3.5,,,,,,,,,,,,0.1022824360824227,0.8547498211804989,0.9038874993331364,0.9104712088075876,0.9220720022067654
Stable-Tail-TailOnlyGate05-a030,gate05_calibration,4.030656289572285,1.1795088118166728,0.028552892759165,0.0522190518442973,0.0172908030866831,0.0509773980286819,,tail_only_correction,0.3,0.2,gate,0.5,10.5,,,,,,,,,,,,0.1022824360824227,0.8574343471302507,0.9050696736991212,0.9114511204796978,0.9230719813570756
Stable-Tail-EdgeTailRaw-a005,raw_p_high_calibration,4.011940316539731,1.17272443164115,0.0282476744333568,0.0511970939879541,0.0169806964818424,0.0506552767877313,,edge_tail_correction,0.05,0.2,raw,0.5,3.5,,,,,,,,,,,,0.1023565101564968,0.849220698505837,0.9014829606654644,0.908472203768038,0.9200249405910832
Stable-Tail-EdgeTailRaw-a010,raw_p_high_calibration,4.024252335606839,1.1737415405295757,0.0283756197446358,0.051403752139793,0.01688829140265,0.0505367541615408,,edge_tail_correction,0.1,0.2,raw,0.5,6.75,,,,,,,,,,,,0.1023565101564968,0.8505003954939223,0.902090535274558,0.9090153369583948,0.920455903313286
Stable-Tail-EdgeTailRaw-a020,raw_p_high_calibration,4.013557408454956,1.1739190056377753,0.0283760019097617,0.051494912437975,0.0170318354585789,0.0502767146454289,,edge_tail_correction,0.2,0.2,raw,0.5,7.0,,,,,,,,,,,,0.1023565101564968,0.8527427592980688,0.9031712749350088,0.9099570429097258,0.9212227741084198
Stable-Tail-EdgeTailRaw-a030,raw_p_high_calibration,4.008142614130303,1.1729753584550284,0.0282663757643961,0.0514073620907644,0.0167659510917181,0.0495112843706637,,edge_tail_correction,0.3,0.2,raw,0.5,4.5,,,,,,,,,,,,0.1023565101564968,0.8546438799111369,0.9039934513369272,0.9106577961998494,0.9218151125607342
Stable-Tail-MatrixEnsRaw-r005,raw_p_high_calibration,4.033189409568232,1.1802591745846576,0.028739687521434,0.0521992209039142,0.0170552578948611,0.0514766769714224,,risk_matrix_ensemble,0.1,0.05,raw,0.5,13.25,,,,,,,,,,,,0.1023565101564968,0.8481408037940972,0.9009649228486694,0.907979732284038,0.9196394717273988
Stable-Tail-MatrixEnsRaw-r010,raw_p_high_calibration,4.0374623674040135,1.1795080254263737,0.0285059030173774,0.0520219307770467,0.016927037830656,0.051682572897864,,risk_matrix_ensemble,0.1,0.1,raw,0.5,11.25,,,,,,,,,,,,0.1023565101564968,0.8485822541643517,0.9011156882985466,0.9081169646631976,0.9197381647838258
Stable-Tail-MatrixEnsRaw-r020,raw_p_high_calibration,4.019339183371686,1.1751250878530572,0.0285778590430602,0.0519639654240268,0.0167582179149018,0.0508593600299989,,risk_matrix_ensemble,0.1,0.2,raw,0.5,9.75,,,,,,,,,,,,0.1023565101564968,0.8496135260627344,0.9014671363003136,0.9084369717342464,0.9199683348184864
Stable-Tail-MatrixEnsRaw-r030,raw_p_high_calibration,4.044366177381564,1.1833849476863678,0.0285847016508222,0.0523343221967398,0.0171367116711804,0.0508675082423227,,risk_matrix_ensemble,0.1,0.3,raw,0.5,14.5,,,,,,,,,,,,0.1023565101564968,0.8509050529702081,0.901906600918728,0.908837236645362,0.9202558348855304
Stable-Tail-MatrixEnsRaw-r040,raw_p_high_calibration,4.005047368151725,1.170687282865585,0.0282498610291701,0.0513170951666777,0.0168259268853682,0.0505777002925972,,risk_matrix_ensemble,0.1,0.4,raw,0.5,2.75,,,,,,,,,,,,0.1023565101564968,0.8525696421142557,0.9024705956374544,0.90935126105867,0.9206251450447526
Stable-Tail-NodeCalibRaw-a005,raw_p_high_calibration,4.011614315142665,1.1723033603105288,0.0282948906336399,0.0514502023233183,0.0167462092275458,0.0508301326156485,,node_calibration,0.05,0.2,raw,0.5,4.75,,,,,,,,,,,,0.1025569069818936,0.8480038114231168,0.900988368815751,0.9079519447015812,0.9195534408280138
Stable-Tail-NodeCalibRaw-a010,raw_p_high_calibration,4.044396037561533,1.182604900074516,0.0286053532632982,0.051880662899652,0.0169556788698625,0.051189667781461,,node_calibration,0.1,0.2,raw,0.5,13.0,,,,,,,,,,,,0.1027473831723697,0.8483308920320847,0.9011044218168826,0.9080497881884746,0.9196096998667664
Stable-Tail-NodeCalibRaw-a020,raw_p_high_calibration,4.047430109093659,1.1854879434223966,0.0287943011970173,0.0521660392558498,0.0170316271317333,0.0507340137215545,,node_calibration,0.2,0.2,raw,0.5,16.0,,,,,,,,,,,,0.1023659016908883,0.8487694578658678,0.901388531644505,0.9082328987441972,0.919610453637432
Stable-Tail-NodeCalibRaw-a030,raw_p_high_calibration,4.040014298640182,1.1813007866235554,0.0286594143694859,0.0520367496176733,0.0169855583867455,0.0518045511350573,,node_calibration,0.3,0.2,raw,0.5,13.25,,,,,,,,,,,,0.1023733090982957,0.8491569011143772,0.9015625237074132,0.9083692162291772,0.9196936505844416
Stable-Tail-TailOnlyRaw-a005,raw_p_high_calibration,4.0478907872905605,1.1851521027188658,0.0287546326856747,0.0522508096852945,0.0171717209001687,0.0508780535775349,,tail_only_correction,0.05,0.2,raw,0.5,16.25,,,,,,,,,,,,0.1023565101564968,0.8506518016220997,0.9020131248574108,0.9088390483622844,0.9202877711444866
Stable-Tail-TailOnlyRaw-a010,raw_p_high_calibration,4.022325620096269,1.1761229653785614,0.0284992190717408,0.0515777415330301,0.0168475246834467,0.0504971108842574,,tail_only_correction,0.1,0.2,raw,0.5,9.25,,,,,,,,,,,,0.1023565101564968,0.8532120094648009,0.9030885401097076,0.909697045634804,0.9209438482028812
Stable-Tail-TailOnlyRaw-a020,raw_p_high_calibration,4.018922811092546,1.1749516322247344,0.0281617922710274,0.0515364255453473,0.0169271592113598,0.0503723169339582,,tail_only_correction,0.2,0.2,raw,0.5,6.25,,,,,,,,,,,,0.1023565101564968,0.8575775503201141,0.904837221875988,0.9110459497246868,0.9219898378152872
Stable-Tail-TailOnlyRaw-a030,raw_p_high_calibration,3.972190397760407,1.1622222847024295,0.0280125526066052,0.0510116991462926,0.0167393160187209,0.049927879087513,,tail_only_correction,0.3,0.2,raw,0.5,1.0,,,,,,,,,,,,0.1023565101564968,0.8613599404058324,0.9063632259855272,0.9122329753135288,0.922899119139183
GAT,trained_base_model,4.452978973805301,1.3161886099287712,0.0330312210415265,0.0607542142957715,0.0194568021225915,0.0596043404301549,13.0,,,,,,,10.0,0.2545779781005384,0.6011269182356388,1.374410611290068,0.2031658915730504,0.1769230769230769,0.3888888888888889,0.3058600229278074,0.8230769230769232,0.5156511783599853,0.1171993923281227,0.0958110759610635,0.8401926485520127,0.8980495197911749,0.903998918809256,0.9181933516609508
GCN,trained_base_model,4.217385646397487,1.2433492008264029,0.0307731643626901,0.0564453834345862,0.0180081763723729,0.0552975369145013,11.0,,,,,,,10.0,0.2881168046730741,0.6212380258096176,1.3738777471671684,0.2561873791584753,0.2153846153846153,0.4692511655011655,0.3495390510499675,0.7846153846153847,0.5047212243080139,0.1163371977371138,0.1002385725385593,0.8416789131850788,0.9004317347185871,0.9050000925775312,0.9202769054277852
Gradformer-adapted,trained_base_model,4.373108890197978,1.2898781418206875,0.0321111897250135,0.0594100340550877,0.0188864624482783,0.0573728206129801,12.0,,,,,,,10.0,0.2612383418344794,0.5626306405455277,1.4124936877673218,0.2555794631098044,0.2346153846153846,0.4180689245395127,0.3241952187728211,0.7653846153846153,0.5779349267482757,0.1378151945434175,0.0946444037443915,0.8428726206167477,0.906308776046569,0.9120565629720616,0.9250455695830482
GraphSAGE,trained_base_model,4.145789274116472,1.21696912642455,0.0298115049382852,0.0544613209329873,0.0179046032779232,0.0530276888662585,7.0,,,,,,,10.0,0.2959810631896636,0.6163034382593353,1.2773099922684612,0.2992195268958378,0.2807692307692307,0.4863895657482613,0.3762794589788979,0.7192307692307692,0.5069829046726226,0.1057469357442748,0.1038846949346813,0.8431308108011935,0.898447324746891,0.9051279757492704,0.918472594311151
GraphSAGE-TEG-Concat,trained_base_model,4.11871215552734,1.210495227449658,0.0295456316300977,0.0541163109905145,0.0175683686608064,0.052602305742826,5.333333333333333,,,,,,,10.0,0.2335348938198852,0.585648967201441,1.2632729745771651,0.3205077567184161,0.3538461538461538,0.3690123465514848,0.350334103333087,0.6461538461538462,0.527655565738678,0.0947098668832499,0.0951439162689039,0.8502862600530351,0.8985371743021899,0.9068915586495676,0.9177453130903624
GraphSAGE-TEG-Gate,trained_base_model,4.031324628683298,1.185319387202186,0.0288787507664266,0.0521727011627844,0.0168376900556984,0.0518459854264024,1.6666666666666667,,,,,,,10.0,0.2420205874532753,0.6045126954361943,1.2325269720369183,0.2665253553943882,0.2807692307692307,0.3940596001940059,0.3675308406749176,0.7192307692307692,0.494035404920578,0.0853557890465667,0.0975231758981632,0.850206596454769,0.8994667517903693,0.9059123331698165,0.9174224036436592
SGFormer-TEG-Concat,trained_base_model,4.087150070581352,1.2000832006121973,0.0288796252068922,0.052989210525788,0.0169444485125825,0.0505938963928728,4.0,,,,,,,10.0,0.2667824804288723,0.593540548695412,1.2574573719786086,0.3514680855791764,0.3615384615384615,0.4003261972469134,0.3744251109641375,0.6384615384615385,0.5459330141544342,0.1263573234347073,0.1014272644022512,0.8443363842410135,0.9017667680010834,0.91091218503298,0.9232123097545502
SGFormer-TEG-Gate,trained_base_model,4.053302310541089,1.1855173892877178,0.0288317957525537,0.0528473842250676,0.0170193597837777,0.051940867867221,2.0,,,,,,,10.0,0.3002035291701165,0.5905856510150904,1.2776414356726755,0.353232693586218,0.3692307692307692,0.4093954593793303,0.3700741044909192,0.6307692307692307,0.5531556189060212,0.1254818094944631,0.1040746355496219,0.8369375709091235,0.9005016523597565,0.908869027077838,0.9223300005743752
SGFormer-adapted,trained_base_model,4.15112328357058,1.221796966332037,0.0298336699987894,0.0551200341807795,0.0175197870229723,0.0532923335628329,8.0,,,,,,,10.0,0.3216686400376857,0.5951540553861462,1.2508598896969647,0.3716822575481339,0.3692307692307692,0.4258666261436006,0.3556709942232958,0.6307692307692307,0.5712663412094117,0.1679650739439435,0.0975076765826641,0.8400139138321255,0.9033926296823412,0.9123935323438932,0.9221313754034516
Stable-Tail GNN,trained_base_model,4.057116423260639,1.1891961468472116,0.0288341050700215,0.0524692249179205,0.0172505262953065,0.0517983394221635,2.333333333333333,,,,,,,10.0,0.289627041049363,0.6194153473832509,1.2666215979517133,0.2904267232213511,0.2461538461538461,0.451344353530886,0.36592839424923,0.7538461538461538,0.5037719160318375,0.0932251578784203,0.1022824360824227,0.8477440469009674,0.9008277886921462,0.9078549311978412,0.9195266011235868
Stable-Tail w/o Tail Loss,trained_base_model,4.199642031118803,1.234990081986476,0.0304055083430983,0.0558490398950563,0.0183350294988342,0.0542061327490594,10.0,,,,,,,10.0,0.2323166674823429,0.5942050200320559,1.1871219224352756,0.1963863359048106,0.1538461538461538,0.4279365079365079,0.331866811829279,0.8461538461538461,0.5022592604160309,0.10212734845039,0.0956491536241412,0.8548111747579773,0.9007360905023578,0.9094512655991056,0.9198456630700056
Stable-Tail-Gate,trained_base_model,4.133504925947666,1.2106034935033665,0.02976608064467,0.0540424639868981,0.0174151444493715,0.0534289091946278,5.666666666666667,,,,,,,10.0,0.2990166728020017,0.6178789552048551,1.3559331842716504,0.2639027994344666,0.2423076923076923,0.4468573677784204,0.3556605725585146,0.7576923076923077,0.517818495631218,0.1214338405577986,0.1020143597143463,0.8395368565149054,0.8991234930938028,0.9042752576917158,0.920078559128652
TEG-only,trained_base_model,4.192704571695483,1.23539412253895,0.0302895126736077,0.0552318341873153,0.0181606341999601,0.0546199772136912,9.0,,,,,,,10.0,0.2878062787429081,0.5656743955539851,1.661671227208735,0.2992906377252919,0.3,0.4174409457071996,0.3454943058207316,0.7,0.5991768479347229,0.1469868009490472,0.1102739732489588,0.8061480316350422,0.8941501195359436,0.9036472783819068,0.9223469732691578
