customer_set,model,model_seed_runs,risk_improvement_mean,risk_improvement_std,risk_improvement_mean_std,cvar90_improvement_mean,cvar90_improvement_std,cvar90_improvement_mean_std,max_vehicle_risk_improvement_mean,max_vehicle_risk_improvement_std,max_vehicle_risk_improvement_mean_std,edge_gini_improvement_mean,edge_gini_improvement_std,edge_gini_improvement_mean_std,top10_share_improvement_mean,top10_share_improvement_std,top10_share_improvement_mean_std,extra_cost_percentage_points_mean,extra_cost_percentage_points_std,extra_cost_percentage_points_mean_std
A,Stable-Tail GNN,5,0.18749445124307637,0.09925294098122606,18.749% +/- 9.925%,0.2495502286310157,0.12941782391996767,24.955% +/- 12.942%,0.21175874429247366,0.19770196311821503,21.176% +/- 19.770%,0.050771311775240635,0.04373122076705888,5.077% +/- 4.373%,0.07737512072506429,0.06387524691858643,7.738% +/- 6.388%,0.07228379058101125,0.015556312869093656,7.228% +/- 1.556%
B,Stable-Tail GNN,5,0.19719979934173287,0.0424853843459914,19.720% +/- 4.249%,0.28478042108253165,0.09474633408219034,28.478% +/- 9.475%,0.11944916275397054,0.10464543868488352,11.945% +/- 10.465%,0.03120309604061685,0.011778599342130203,3.120% +/- 1.178%,0.05484539599188212,0.018178605203323792,5.485% +/- 1.818%,0.08637286803083576,0.011709097188347414,8.637% +/- 1.171%
