model,model_seed,customer_set,risk_improvement,cvar90_improvement,max_vehicle_risk_improvement,edge_gini_improvement,top10_share_improvement,extra_cost_percentage_points
Stable-Tail GNN,0,A,0.3211727386768423,0.4692415874699504,0.5123664839449564,0.1237253020082108,0.1831767263554317,0.057247379426765
Stable-Tail GNN,0,B,0.1726107373200184,0.15616366604670204,0.040152981961566254,0.030679150061738488,0.056303631174174786,0.07933736978882308
Stable-Tail GNN,1,A,0.20345796273358277,0.19506656667953579,0.2906875180882717,0.041520941999061,0.07026410354812855,0.05931010601698239
Stable-Tail GNN,1,B,0.14754518505455588,0.2643854410664859,0.03499863715142485,0.019702597816141643,0.03518141470202985,0.0747390316874495
Stable-Tail GNN,2,A,0.05423030575300889,0.14259036947823567,0.03735528245749729,0.009106978963714438,0.01604196118639086,0.0920868613868627
Stable-Tail GNN,2,B,0.18383635441644788,0.2576239899393769,0.10775097681706329,0.020753875665689547,0.04030671429425974,0.10401334323338635
Stable-Tail GNN,3,A,0.1381569872207389,0.1841888067163292,0.04479831939909216,0.02828338737931335,0.04114509364113072,0.06779236015027157
Stable-Tail GNN,3,B,0.24918086982581086,0.40956711484714925,0.2933562743497656,0.047948404744222815,0.08085026521088352,0.08179554934375755
Stable-Tail GNN,4,A,0.22045426183120898,0.2566638128110274,0.17358611757255074,0.0512199485259036,0.07624771889423965,0.08498224592417458
Stable-Tail GNN,4,B,0.23282585009183138,0.336161893512944,0.12098694349003272,0.036931451915291756,0.06158495457806272,0.0919790461007623
