node_id,label,pred_label,S_i,S_i_norm,P_high,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8
0,0,1,2.7178614139556885,0.2454087734222412,0.14204922318458557,0.40725553035736084,0.12041165679693222,0.22875173389911652,0.05349487438797951,0.04803689569234848,0.08713239431381226,0.03276565298438072,0.022151175886392593
1,0,1,2.328460216522217,0.18978002667427063,0.10291381925344467,0.4878678023815155,0.1617424339056015,0.17935524880886078,0.04197848215699196,0.026142073795199394,0.05429333448410034,0.03430634364485741,0.014314135536551476
2,0,1,2.20194149017334,0.1717059314250946,0.09219562262296677,0.5727536678314209,0.11375986784696579,0.1224309653043747,0.05793675035238266,0.040923111140728,0.059253692626953125,0.021044984459877014,0.011896943673491478
3,0,1,1.2374253273010254,0.033917903900146484,9.018053242471069e-05,0.766579270362854,0.22976793348789215,0.0035611153580248356,8.192434961529216e-07,6.516776807075075e-07,1.1416371307859663e-05,7.833037670934573e-05,4.3378602754273743e-07
4,0,2,1.9377318620681763,0.13396169245243073,5.471588156069629e-05,0.06485142558813095,0.9327448606491089,0.002340939361602068,3.6191488561598817e-06,4.432886726135621e-06,5.19107561558485e-05,2.680389343368006e-06,1.2473464039430837e-07
5,0,1,1.6139111518859863,0.08770159631967545,0.03668535500764847,0.584058403968811,0.369793564081192,0.008335762657225132,0.0007674110820516944,0.0003595109737943858,0.005084365606307983,0.022922944277524948,0.008678045123815536
6,0,1,1.1367074251174927,0.01952963136136532,0.002442528959363699,0.9009006023406982,0.0717560350894928,0.02346331812441349,0.0010202628327533603,0.0004173117340542376,0.001442099455744028,0.0009188816766254604,8.154784154612571e-05
7,0,1,3.2632884979248047,0.3233269155025482,0.22941729426383972,0.2541614770889282,0.1736798882484436,0.20524440705776215,0.11704220622777939,0.020454848185181618,0.14988887310028076,0.059969451278448105,0.019558973610401154
8,0,1,1.0497221946716309,0.007103170733898878,1.3081854488561362e-09,0.9751390218734741,5.399447218223941e-07,0.024859357625246048,9.443612611903518e-07,6.366555282966146e-08,1.2506417013113946e-09,4.433152456240208e-11,1.3212242064297719e-11
9,0,1,1.026417851448059,0.003773978678509593,0.00014734375872649252,0.9852641820907593,0.0036991105880588293,0.010703552514314651,0.00017217642744071782,1.3616996511700563e-05,0.00014385262329597026,3.0001967843418242e-06,4.909409767606121e-07
10,0,1,1.6057889461517334,0.08654128015041351,0.029770147055387497,0.71003258228302,0.10369794815778732,0.13580724596977234,0.009830398485064507,0.010861741378903389,0.02237803302705288,0.006096741650253534,0.0012953721452504396
11,0,1,1.6985108852386475,0.09978727251291275,0.05237235873937607,0.739524781703949,0.065758615732193,0.10791050642728806,0.020860791206359863,0.01357297133654356,0.02456863410770893,0.017412394285202026,0.01039133407175541
12,0,1,1.5735702514648438,0.08193860948085785,0.02081385999917984,0.7176595330238342,0.11201782524585724,0.11614545434713364,0.02357656881213188,0.009786797687411308,0.009678028523921967,0.006956450641155243,0.004179381299763918
13,0,1,1.8689602613449097,0.12413717806339264,0.05276774242520332,0.6520355939865112,0.11606162041425705,0.09379728883504868,0.06942663341760635,0.01591104082763195,0.029749644920229912,0.01649482361972332,0.00652327248826623
14,0,1,1.928617238998413,0.13265959918498993,0.0361955463886261,0.5754961967468262,0.07629892975091934,0.2838755249977112,0.02005700021982193,0.00807688944041729,0.027122747153043747,0.007034690584987402,0.002038110513240099
15,0,1,1.4328352212905884,0.06183360144495964,0.014268617145717144,0.8014030456542969,0.062039200216531754,0.08697683364152908,0.025393549352884293,0.00991884246468544,0.0069487690925598145,0.0049965051002800465,0.0023233434185385704
16,0,1,1.479123592376709,0.06844622641801834,0.023050697520375252,0.8246455788612366,0.020699393004179,0.05918731912970543,0.0688125342130661,0.003604511497542262,0.020402105525135994,0.001356780412606895,0.0012918111169710755
17,0,1,1.1721038818359375,0.02458626963198185,0.005052200518548489,0.8962905406951904,0.0603756457567215,0.030844105407595634,0.006293064448982477,0.001144451554864645,0.003961453214287758,0.0008595419931225479,0.00023120561672840267
18,0,1,1.7275030612945557,0.10392900556325912,0.05280325189232826,0.6919782161712646,0.10311824083328247,0.13295184075832367,0.010474143549799919,0.00867438968271017,0.02959218993782997,0.018077341839671135,0.005133721046149731
19,0,1,1.0559544563293457,0.007993494160473347,0.002093551680445671,0.974516749382019,0.005141371861100197,0.015545045025646687,0.0017325384542346,0.0009705956908874214,0.0019411829998716712,0.00012924439215566963,2.312420474481769e-05
20,0,1,1.0114070177078247,0.001629573991522193,9.666496771387756e-05,0.9936291575431824,0.002051443560048938,0.003927284386008978,0.00018644977535586804,0.00010913900041487068,8.093468932202086e-05,9.751369361765683e-06,5.978906756354263e-06
21,0,1,1.0727617740631104,0.010394538752734661,0.0009235538309440017,0.9541993737220764,0.023023292422294617,0.020791660994291306,0.0008342174114659429,0.00022788050409872085,0.000830100616440177,6.370933260768652e-05,2.9743889172095805e-05
22,0,1,1.1559488773345947,0.02227841131389141,0.005823163315653801,0.900585412979126,0.07710018008947372,0.010448587127029896,0.001074151019565761,0.004968552850186825,0.0014424048131331801,0.0030224935617297888,0.0013582652900367975
23,0,1,1.2267277240753174,0.032389674335718155,0.00395752489566803,0.8390612602233887,0.1149926483631134,0.03685075417160988,0.003701749723404646,0.0014359279302880168,0.002755454508587718,0.001007000682875514,0.0001950698933796957
24,0,1,1.0006338357925415,9.054796828422695e-05,9.470395667676712e-08,0.9996743202209473,2.128084270225372e-05,0.0003022882738150656,9.784575922822114e-07,1.0887567896133987e-06,2.6349560755534185e-08,1.4158726635571384e-08,5.419567017383997e-08
25,0,1,1.018561601638794,0.0026516574434936047,4.791622268385254e-05,0.9863205552101135,0.009126280434429646,0.004360871855169535,0.00011406588600948453,3.0279697966761887e-05,3.878003190038726e-05,7.573809398309095e-06,1.5623821809640503e-06
26,0,1,1.0423392057418823,0.0060484581626951694,0.0001746623165672645,0.9713143706321716,0.016175562515854836,0.0119608910754323,0.00023866211995482445,0.00013586593559011817,0.00010764816397568211,2.4910346837714314e-05,4.210379483993165e-05
27,0,1,1.7288322448730469,0.10411889106035233,0.036692120134830475,0.6395037174224854,0.17207898199558258,0.12010876089334488,0.021678946912288666,0.009937488473951817,0.015689736232161522,0.01371636800467968,0.007286014501005411
28,0,1,1.233837366104126,0.03340533748269081,0.0023797419853508472,0.9214872717857361,0.002630227478221059,0.03669752925634384,0.0035644699819386005,0.03324078395962715,0.000654391071293503,0.0011938875541090965,0.0005314634181559086
29,0,1,2.5585732460021973,0.2226533144712448,0.1481434404850006,0.4844907224178314,0.16343604028224945,0.14093799889087677,0.03173661604523659,0.03125516697764397,0.04580032452940941,0.05237269774079323,0.04997041076421738
30,0,1,1.0979318618774414,0.013990266248583794,0.0027717179618775845,0.9357499480247498,0.04441447556018829,0.014650976285338402,0.0010672309435904026,0.0013457408640533686,0.0014232282992452383,0.0009248784626834095,0.0004236110835336149
31,0,1,1.1781985759735107,0.02545693889260292,0.0004410261462908238,0.916643500328064,0.0007343924953602254,0.07420103251934052,0.005313267465680838,0.0026667730417102575,0.00026946631260216236,9.303985279984772e-05,7.851997361285612e-05
32,0,1,1.7914988994598389,0.1130712702870369,0.04621380195021629,0.6895028948783875,0.06600838899612427,0.14819501340389252,0.03053448162972927,0.01954544521868229,0.025404641404747963,0.013372162356972694,0.007436996791511774
33,0,1,1.0175917148590088,0.0025131020229309797,0.00040691124740988016,0.9928280711174011,4.173224442638457e-05,0.005870243068784475,0.0003077915753237903,0.0005450122407637537,3.7347244870034046e-06,0.00013464500079862773,0.00026853152667172253
34,0,1,1.18241286277771,0.0260589811950922,0.0013936180621385574,0.8936282396316528,0.04444493353366852,0.052240725606679916,0.007189404685050249,0.0011029805755242705,0.0009500128799118102,0.0003488071379251778,9.479802247369662e-05
35,0,1,1.4815411567687988,0.06879159063100815,0.016144128516316414,0.78460693359375,0.021339330822229385,0.16365830600261688,0.010971167124807835,0.0032800741028040648,0.011833547614514828,0.0024903682060539722,0.0018202121136710048
36,0,1,1.297020673751831,0.04243152588605881,0.013312332332134247,0.8305966854095459,0.1001114547252655,0.049448516219854355,0.002698826603591442,0.0038321225438266993,0.006763982120901346,0.005071090534329414,0.001477260491810739
37,0,1,1.0158767700195312,0.0022681099362671375,8.522393909515813e-05,0.9922680258750916,0.0004578634107019752,0.006813796237111092,0.00016262091230601072,0.00021234032465144992,6.736840441590175e-05,7.577970336569706e-06,1.0277566616423428e-05
38,0,1,1.0700454711914062,0.010006495751440525,0.00137683458160609,0.9430347084999084,0.04897664859890938,0.005878722760826349,0.000635810021776706,9.727526776259765e-05,0.0012698059435933828,8.344551315531135e-05,2.3583015718031675e-05
39,0,1,1.501879334449768,0.07169704884290695,0.009236281737685204,0.6682220697402954,0.20556294918060303,0.11444880068302155,0.0009767861338332295,0.0015530908713117242,0.0031049808021634817,0.0001679461420280859,0.005963354371488094
40,0,1,1.091569423675537,0.01308134663850069,0.0005583145539276302,0.9468502998352051,0.020709872245788574,0.028836723417043686,0.0021119851153343916,0.0009328033193014562,0.0002734792360570282,0.0002422411198494956,4.259420165908523e-05
41,0,1,1.5205308198928833,0.07436154782772064,0.06176073104143143,0.8314456343650818,0.045988570898771286,0.030763600021600723,0.02389318309724331,0.006148219108581543,0.055213261395692825,0.005155856721103191,0.0013916107127442956
42,0,1,1.875112771987915,0.12501610815525055,0.0651610791683197,0.6551387906074524,0.06344736367464066,0.18917007744312286,0.013371825218200684,0.01371093187481165,0.054881855845451355,0.007997814565896988,0.0022814148105680943
43,0,1,1.7390475273132324,0.1055782213807106,0.03610768914222717,0.676130473613739,0.0447811521589756,0.2247370034456253,0.013041838072240353,0.005201992113143206,0.03253396600484848,0.0028271873015910387,0.0007465365342795849
44,0,1,1.0579514503479004,0.00827877875417471,0.0010639482643455267,0.9618533849716187,0.025045236572623253,0.009998182766139507,0.0011140494607388973,0.000925155240111053,0.0007149808807298541,0.00015057262498885393,0.0001983947295229882
45,0,1,1.3362526893615723,0.04803609848022461,0.009793521836400032,0.8452670574188232,0.032409828156232834,0.09037856757640839,0.017955003306269646,0.004195961635559797,0.007036640774458647,0.0020444239489734173,0.000712457112967968
46,0,1,1.251010537147522,0.035858649760484695,0.01653866656124592,0.8794044852256775,0.05616449564695358,0.04085860401391983,0.005118264816701412,0.001915349392220378,0.011316603980958462,0.003024700563400984,0.00219736248254776
