P_level,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_8
1,1,666,373,113,76,33,58,1
2,0,607,316,150,92,33,122,1
3,0,543,334,192,136,47,67,1
4,0,556,339,171,102,65,78,10
5,0,580,357,157,89,42,95,0
