P_level,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_8
1,1,708,304,139,39,38,78,14
2,3,752,200,114,60,28,155,9
3,10,660,269,148,60,65,100,8
4,3,676,291,121,49,33,110,38
5,10,631,324,133,47,30,134,11
