P_level,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_8
1,0,902,383,140,44,19,38,4
2,1,725,371,131,127,69,105,0
3,0,671,422,198,107,55,71,6
4,0,655,442,184,121,66,50,11
5,0,655,485,149,93,58,84,5
