P_level,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_8
1,0,62,183,665,286,34,67,24
2,0,85,295,463,261,64,81,72
3,0,74,293,516,252,99,57,29
4,0,56,278,531,240,100,65,51
5,0,116,277,509,213,76,96,33
