P_level,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_8
1,0,52,216,773,397,28,60,4
2,0,76,337,617,281,75,98,45
3,0,73,363,612,308,46,107,21
4,0,44,303,650,297,70,138,27
5,0,132,347,571,250,72,138,19
