P_level,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_8
1,0,76,289,880,214,26,11,34
2,0,85,380,619,262,60,98,25
3,0,70,366,705,235,64,67,23
4,0,66,279,716,317,77,57,17
5,0,137,422,594,202,55,89,30
