model,customer_set,wins,comparisons,win_rate,average_common_risk_at_b
GCN,A,7,70,0.1,3.6560102014012994
GCN,B,10,70,0.14285714285714285,5.046319067778706
GAT,A,3,70,0.04285714285714286,3.770936178948534
GAT,B,2,70,0.02857142857142857,5.4248880735075415
GraphSAGE,A,15,70,0.21428571428571427,3.596483009298728
GraphSAGE,B,10,70,0.14285714285714285,4.948894057250943
SGFormer-adapted,A,13,70,0.18571428571428572,3.6234546308786615
SGFormer-adapted,B,16,70,0.22857142857142856,4.917628133194377
Gradformer-adapted,A,13,70,0.18571428571428572,3.856602146418308
Gradformer-adapted,B,11,70,0.15714285714285714,5.133960202176605
TEG-only,A,4,70,0.05714285714285714,3.670404200014508
TEG-only,B,5,70,0.07142857142857142,4.947770195657323
Stable-Tail w/o Tail Loss,A,5,70,0.07142857142857142,3.6900735359498014
Stable-Tail w/o Tail Loss,B,5,70,0.07142857142857142,4.978856183733089
Stable-Tail GNN,A,10,70,0.14285714285714285,3.5685852547333377
Stable-Tail GNN,B,11,70,0.15714285714285714,4.7900836552658514
