customer_set,budget,baseline,comparison,baseline_minus_stable_mean,relative_risk_reduction,bootstrap_ci_low,bootstrap_ci_high,wilcoxon_p,effect_size_dz,holm_p,significant_0p05
A,0.1,GCN,Stable-Tail GNN,0.4028780481318358,0.06760444317806312,0.09779537267803022,0.7096251113429841,0.02734375,0.7667892086155853,0.19140625,False
A,0.1,GAT,Stable-Tail GNN,0.35343305683728365,0.05980358230123073,-0.07302481607345461,0.7652734435877049,0.130859375,0.49410202849202606,0.5234375,False
A,0.1,GraphSAGE,Stable-Tail GNN,0.11526301843630363,0.020322382204724994,-0.45106871184766345,0.6294166065585574,0.4921875,0.12585724951463723,0.86328125,False
A,0.1,SGFormer-adapted,Stable-Tail GNN,-0.20468484957424593,-0.03824612658413374,-0.5431436957546715,0.10233055216294522,0.431640625,-0.3726351471493414,0.86328125,False
A,0.1,Gradformer-adapted,Stable-Tail GNN,0.4245106125541211,0.07097682074176931,0.040428615184199074,0.8010591545946116,0.064453125,0.6569278384729222,0.322265625,False
A,0.1,TEG-only,Stable-Tail GNN,0.21331909071326222,0.03697176505833346,-0.12531930630031146,0.5303564208957041,0.232421875,0.38433315510133814,0.697265625,False
A,0.1,Stable-Tail w/o Tail Loss,Stable-Tail GNN,0.43204391610136705,0.07214549462395241,0.13482206314643744,0.7636969524693792,0.02734375,0.8065384003541441,0.19140625,False
A,0.15,GCN,Stable-Tail GNN,0.1293797949568157,0.02776525791203037,0.011604553759607353,0.2518269751479954,0.064453125,0.6334292190496553,0.38671875,False
A,0.15,GAT,Stable-Tail GNN,0.3055828068252861,0.0631894814269546,0.12799150806480158,0.4824730639259949,0.013671875,1.0111078948174181,0.095703125,False
A,0.15,GraphSAGE,Stable-Tail GNN,0.047230730734586945,0.010317739717777021,-0.0597946139391197,0.16052905236192833,0.431640625,0.2500282356353386,1.0,False
A,0.15,SGFormer-adapted,Stable-Tail GNN,-0.09561033865803008,-0.02155919349371665,-0.40350006610469014,0.1568866637434646,0.845703125,-0.19666045160743098,1.0,False
A,0.15,Gradformer-adapted,Stable-Tail GNN,-0.02171930374799036,-0.004817226739417136,-0.19215627778880195,0.13924363841889226,0.845703125,-0.07797366798750852,1.0,False
A,0.15,TEG-only,Stable-Tail GNN,0.01370389547227795,0.003015757723768494,-0.06728313647401594,0.09607761592275386,0.845703125,0.0980222327943038,1.0,False
A,0.15,Stable-Tail w/o Tail Loss,Stable-Tail GNN,0.043435845300818524,0.009496604761383264,-0.07784433411894297,0.1515196748112054,0.4921875,0.21877396119816675,1.0,False
A,0.2,GCN,Stable-Tail GNN,0.21444145542502083,0.061497429356947825,-0.07901207304359124,0.5994309968152564,0.921875,0.37477963163009165,1.0,False
A,0.2,GAT,Stable-Tail GNN,0.2808252775408383,0.07903041026851293,0.07513923795895146,0.557760163210424,0.01953125,0.6741287939289253,0.1171875,False
A,0.2,GraphSAGE,Stable-Tail GNN,0.09026368723820029,0.026841657470283203,-0.09856385545294183,0.3655740503699461,0.845703125,0.22106759751008492,1.0,False
A,0.2,SGFormer-adapted,Stable-Tail GNN,0.30054129624047515,0.08411223309296152,0.03496374659339904,0.5957670137185214,0.16015625,0.6373732847157628,0.640625,False
A,0.2,Gradformer-adapted,Stable-Tail GNN,0.7289947015792282,0.18217799337526683,0.4122343924476167,1.0473454567409535,0.00390625,1.3518260733787977,0.02734375,True
A,0.2,TEG-only,Stable-Tail GNN,0.2413444879346239,0.06868276553973512,-0.04971390666868918,0.6125021681960293,0.625,0.4348578574925434,1.0,False
A,0.2,Stable-Tail w/o Tail Loss,Stable-Tail GNN,0.22621543974832575,0.0646556552812904,0.04673718532400005,0.4979753340955363,0.048828125,0.563641414336414,0.244140625,False
A,0.25,GCN,Stable-Tail GNN,-0.07311534266330418,-0.022852530285176163,-0.15077586160317683,0.006029457310349877,0.130859375,-0.5439549614741797,0.654296875,False
A,0.25,GAT,Stable-Tail GNN,0.08967217717844837,0.02667045173761382,-0.0281154509327676,0.21128159112625147,0.193359375,0.43600616797148556,0.7734375,False
A,0.25,GraphSAGE,Stable-Tail GNN,-0.16183930014818987,-0.05202635009437352,-0.26952201361584793,-0.053790523175853665,0.048828125,-0.8769480759895729,0.29296875,False
A,0.25,SGFormer-adapted,Stable-Tail GNN,-0.010156136693300821,-0.0031130864653825126,-0.24213085954587765,0.2020228485781653,1.0,-0.026595555446557933,1.0,False
A,0.25,Gradformer-adapted,Stable-Tail GNN,0.31412054634425945,0.08757980665928475,0.20744200617633202,0.4151392681064089,0.00390625,1.7700641901323457,0.02734375,True
A,0.25,TEG-only,Stable-Tail GNN,-0.025228768504838416,-0.007769084276909905,-0.10935678199946251,0.0662217104615359,0.4921875,-0.1666383852774113,0.984375,False
A,0.25,Stable-Tail w/o Tail Loss,Stable-Tail GNN,0.07922565252540066,0.023636868873543323,-0.008754498973027802,0.16593853110824447,0.193359375,0.5264704549731553,0.7734375,False
A,0.3,GCN,Stable-Tail GNN,0.06648978640908672,0.023044258083619956,-0.08727346216498692,0.21031727994143332,0.431640625,0.26501233362656407,0.966796875,False
A,0.3,GAT,Stable-Tail GNN,0.28585648358305166,0.0920729205661525,0.07872954337965127,0.46283623860856854,0.02734375,0.8718470680126382,0.13671875,False
A,0.3,GraphSAGE,Stable-Tail GNN,0.10115981300612523,0.034644030112896095,-0.006229816523488996,0.22379391216801192,0.322265625,0.5188018534272283,0.966796875,False
A,0.3,SGFormer-adapted,Stable-Tail GNN,0.139476643982713,0.04714764487373559,-0.030210176764675516,0.3096715207620559,0.16015625,0.48051050530507927,0.640625,False
A,0.3,Gradformer-adapted,Stable-Tail GNN,0.576593074026647,0.16981537557242302,0.2626430077378464,0.8262993784899277,0.009765625,1.178773085270934,0.068359375,False
