model,model_seed,customer_set,max_budget,common_risk_aubrc,cvar90_aubrc,load_risk_aubrc,max_vehicle_risk_aubrc
GAT,0,A,0.4,4.527888770023464,0.12197618298433462,2.359400820998041,1.449662757069708
GAT,0,B,0.4,6.148867671635549,0.1625358028574149,3.00238289165218,1.9544205648554636
GAT,1,A,0.4,4.664879147982939,0.12665610073596262,2.392212578912596,1.4398001832329816
GAT,1,B,0.4,5.847421224408592,0.15036371047033303,2.9571357060979513,1.8593771043665515
GAT,2,A,0.4,4.651720328303089,0.12693967102399667,2.393295724806468,1.447619031509523
GAT,2,B,0.4,6.3294404940753735,0.16923486414348654,3.0664444204095536,2.0301496341654826
GAT,3,A,0.4,4.523704979289962,0.12124671143154651,2.4139618227906716,1.3822062044683359
GAT,3,B,0.4,5.7852415478043895,0.14690641759438147,2.824799739628793,1.8088097884138967
GAT,4,A,0.4,4.747773756392246,0.12702314206262688,2.4420634379956865,1.4672610739865222
GAT,4,B,0.4,6.213093926232399,0.1583928345119654,3.1762305984579577,1.9525422870934412
GAT,5,A,0.4,4.562629937059555,0.12327775627294918,2.356498176982302,1.4452109699040077
GAT,5,B,0.4,6.095086235916183,0.155772900500028,3.05276931226499,1.9199188725816332
GAT,6,A,0.4,4.426897605971297,0.11756396868549286,2.3505941892978943,1.4174314552828189
GAT,6,B,0.4,6.12023550971677,0.16207478796929847,3.0153611663582,2.0346153744885824
GAT,7,A,0.4,4.685552057551394,0.12634274987414035,2.411303455304249,1.458494990825704
GAT,7,B,0.4,5.958378195313534,0.1511324103955866,2.983103693203125,1.9512509498526893
GAT,8,A,0.4,4.619301037225563,0.12479013872561445,2.4449813117416164,1.4612392994108143
GAT,8,B,0.4,5.90209572095409,0.1518990889184922,2.9416540806328992,1.9747595063489112
GAT,9,A,0.4,4.642368970197894,0.12888868927623442,2.3607870242878253,1.4547708517567575
GAT,9,B,0.4,6.0019273006587,0.15225121348075557,2.9611361807344703,1.9554245824110201
GCN,0,A,0.4,4.433851023390768,0.11727099216090554,2.3087170472411676,1.4065067315981457
GCN,0,B,0.4,5.6821064078843735,0.1456593122503793,2.8187443440174462,1.9200344966291476
GCN,1,A,0.4,4.270968745320886,0.11272749868760877,2.2618137028935563,1.3624237022612524
GCN,1,B,0.4,5.3679606112709415,0.13624839337657563,2.6200224033592834,1.8207845037876247
GCN,2,A,0.4,4.597041139476221,0.12376964040336007,2.43957626111968,1.4767318549870079
GCN,2,B,0.4,5.796476754064608,0.14966499643322675,2.781635112541086,1.8685905730761188
GCN,3,A,0.4,4.433807856163706,0.11784034846159534,2.396920038011258,1.3568614347972308
GCN,3,B,0.4,5.83961155152759,0.15193395231164883,2.856375995656959,1.8959732192784131
GCN,4,A,0.4,4.757935008819796,0.13151334267132117,2.4203282478682304,1.5209417585942366
GCN,4,B,0.4,6.023967776431292,0.15676319433199673,2.978257800760887,2.013904861047357
GCN,5,A,0.4,4.352708854507702,0.11593325656819173,2.238923019237272,1.3610793450316065
GCN,5,B,0.4,5.484632084664312,0.14142767188685307,2.7576260167085107,1.7872460010191749
GCN,6,A,0.4,4.553855869569377,0.12260544885551297,2.3633567756044442,1.4092769488314676
GCN,6,B,0.4,5.958182705315684,0.15378222689749188,2.9866444303484396,1.9564365752649753
GCN,7,A,0.4,4.583793368473091,0.1249021375305336,2.338100181898862,1.4480540632707
GCN,7,B,0.4,5.958560859952596,0.1550827735850426,2.9217835347117047,1.9949169705898646
GCN,8,A,0.4,4.5441257028623765,0.1240934669839298,2.3749673717382547,1.448810463799022
GCN,8,B,0.4,5.678342580753821,0.1470227578091683,2.813031807632325,1.9513270683707633
GCN,9,A,0.4,4.545163398478562,0.12381136725462812,2.3835011721359445,1.408332753078137
GCN,9,B,0.4,5.684560490932931,0.14521941964324409,2.740356515444976,1.8879727738447383
Gradformer-adapted,0,A,0.4,4.730769366783562,0.12682653211859704,2.3073171290966457,1.4384194114982614
Gradformer-adapted,0,B,0.4,5.825078675888982,0.14871691101292114,2.903445414861028,1.7282577383570958
Gradformer-adapted,1,A,0.4,4.622559652442358,0.12486200183287306,2.4214229692018385,1.4000767884631833
Gradformer-adapted,1,B,0.4,5.783363523220109,0.15475560139927508,2.8425005932458394,1.9181815958510586
Gradformer-adapted,2,A,0.4,4.924896800000373,0.1338725223426386,2.4583746737978664,1.566135238707923
Gradformer-adapted,2,B,0.4,6.039612247615645,0.16367796592820194,3.0247998836740484,1.8601381318012473
Gradformer-adapted,3,A,0.4,4.636852398062984,0.12358368709446688,2.348378297310113,1.4598202747895128
Gradformer-adapted,3,B,0.4,5.849907617396888,0.15369243746498956,2.9187966891102213,1.9044769316783499
Gradformer-adapted,4,A,0.4,4.667906325392969,0.12650195579280749,2.412424221936205,1.428584245119164
Gradformer-adapted,4,B,0.4,5.6520268118569295,0.1454091322665535,2.8039394771822934,1.9275255848699242
Gradformer-adapted,5,A,0.4,4.552209188009844,0.12262491672641243,2.326515454731045,1.4176028234569693
Gradformer-adapted,5,B,0.4,5.475130340548405,0.13884809722307462,2.723724215711818,1.758321185434849
Gradformer-adapted,6,A,0.4,4.7025182532482,0.1279035276654289,2.4994214449389927,1.379135314692658
Gradformer-adapted,6,B,0.4,6.178534111231572,0.16046290798339274,3.0147803703057208,2.0368038682718956
Gradformer-adapted,7,A,0.4,4.82160623519881,0.1314920037939996,2.5662929190170725,1.4470057601092667
Gradformer-adapted,7,B,0.4,6.073820514982901,0.15935559520695122,3.0224185612567287,1.9698617687233815
Gradformer-adapted,8,A,0.4,4.636508701470571,0.1249451833587191,2.4077948450372864,1.4079691606112554
Gradformer-adapted,8,B,0.4,5.578596795612062,0.14447246278809023,2.747727472921865,1.8509748406112563
Gradformer-adapted,9,A,0.4,4.926659700456198,0.13554979722210347,2.5878344935623474,1.570913928473819
Gradformer-adapted,9,B,0.4,6.365309294083252,0.16870965294938817,3.1293582550903523,1.9901158425075864
GraphSAGE,0,A,0.4,4.373801479267184,0.11476509887016546,2.2650807580347823,1.357667774143943
GraphSAGE,0,B,0.4,5.215090916547115,0.13403160939545328,2.6077047572039618,1.7363064677759579
GraphSAGE,1,A,0.4,4.3068727897123305,0.11450035078511785,2.2396417388247647,1.39345527015384
GraphSAGE,1,B,0.4,5.230020296577129,0.1337811917605327,2.5288228449959926,1.7658436181580108
GraphSAGE,2,A,0.4,4.521453870914149,0.12100438998083532,2.356857683791637,1.4467280388062627
GraphSAGE,2,B,0.4,5.819645152174182,0.15354708709106782,2.9294657449841943,1.928509871375296
GraphSAGE,3,A,0.4,4.511992869643279,0.12088550251859634,2.3312477846266173,1.3865754517875817
GraphSAGE,3,B,0.4,5.879712561879217,0.15043760484494026,3.078184449743344,1.9401293291600303
