P_level,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_8
1,0,69,214,721,415,59,47,5
2,0,89,295,562,332,110,140,1
3,0,82,277,614,353,100,103,1
4,0,70,208,611,430,103,93,14
5,0,169,326,502,315,92,124,1
