set,budget,metric,method,baseline,n_model_seeds,baseline_mean,method_mean,mean_delta,relative_improve_pct,ci95_low,ci95_high,p_wilcoxon,p_ttest,cohen_dz,wins,ties,p_wilcoxon_adj
A,25,common_risk,J-reranking,Stable-Tail-GNN,10,2.8801846846113497,2.81388901400469,0.06629567060665931,2.3017854015012653,0.02642528948698816,0.11184244212150579,0.01953125,0.02058918306850771,0.8865949635501047,8,1,0.09375
A,25,common_risk,J-reranking,GCN,10,3.0033114439631796,2.81388901400469,0.1894224299584893,6.3071191081177655,0.11784788718286507,0.26427618695568134,0.001953125,0.0009849207952504627,1.5152995320096316,10,0,0.09375
A,25,common_risk,J-reranking,TEG-low,10,3.0593783782110897,2.81388901400469,0.2454893642063996,8.024158304666603,0.17604020050934605,0.31650915890697967,0.001953125,0.00012473449454752762,2.0250165491882948,10,0,0.09375
A,25,cvar90,J-reranking,Stable-Tail-GNN,10,0.05982062560429361,0.05656820519752172,0.0032524204067719033,5.436954852806591,0.00070121455997198,0.006288300446465968,0.07421875,0.05711689751453769,0.68957210465293,7,1,0.1484375
A,25,cvar90,J-reranking,GCN,10,0.07207402723865769,0.05656820519752172,0.01550582204113598,21.513744458585304,0.010987814011637937,0.020534736536727792,0.001953125,0.00021211017213451029,1.8854342359666114,10,0,0.09375
A,25,cvar90,J-reranking,TEG-low,10,0.07127495006047561,0.05656820519752172,0.014706744862953897,20.63381994722615,0.010035191940966902,0.019805267914256762,0.001953125,0.0003637572249056855,1.7500681394156548,10,0,0.09375
A,25,load_risk,J-reranking,Stable-Tail-GNN,10,1.3965852904147176,1.3659586956147398,0.030626594799977647,2.192962722017718,0.004522046913718377,0.05885116874664745,0.12890625,0.06406887143379243,0.667243332668538,6,1,0.1484375
A,25,load_risk,J-reranking,GCN,10,1.5415942086091463,1.3659586956147398,0.1756355129944065,11.393109289951731,0.11684782344763733,0.23488672436200148,0.001953125,0.00037961616253169415,1.7396193025923725,10,0,0.09375
A,25,load_risk,J-reranking,TEG-low,10,1.5863640201780285,1.3659586956147398,0.2204053245632887,13.893742026407905,0.13976756739547874,0.29876125650152074,0.001953125,0.0006422893741987215,1.6138033501860276,10,0,0.09375
A,25,top10share,J-reranking,Stable-Tail-GNN,10,0.7247873071018239,0.7193124073526481,0.005474899749175854,0.7553801916134683,0.001890818747730659,0.009703925600253169,0.02734375,0.030513044225925233,0.8106396526435127,7,1,0.09375
A,25,top10share,J-reranking,GCN,10,0.7358736619799371,0.7193124073526481,0.016561254627288913,2.250556784805873,0.011218632418249677,0.02187215565458789,0.001953125,0.0003018524037916955,1.796185320917839,10,0,0.09375
A,25,top10share,J-reranking,TEG-low,10,0.7391665814381847,0.7193124073526481,0.01985417408553668,2.6860216065107716,0.0131307022599446,0.027425756175534947,0.001953125,0.000708173642294873,1.5910170461962245,10,0,0.09375
A,30,common_risk,J-reranking,Stable-Tail-GNN,10,2.735280055888528,2.6013645896522593,0.13391546623626877,4.8958594184158475,0.05921858076639866,0.2308888819845749,0.00390625,0.018324660426655922,0.9091768012006237,9,0,0.09375
A,30,common_risk,J-reranking,GCN,10,2.7422053820465466,2.6013645896522593,0.1408407923942875,5.136040987899165,0.08309071336334947,0.21684473282633523,0.001953125,0.004790585421170188,1.1755133247448117,10,0,0.09375
A,30,common_risk,J-reranking,TEG-low,10,2.754245514241292,2.6013645896522593,0.15288092458903257,5.550736991257168,0.07376778425684961,0.24413405607785174,0.009765625,0.009045836187980815,1.0475473230776216,8,0,0.09375
A,30,cvar90,J-reranking,Stable-Tail-GNN,10,0.05313425949173767,0.04872317442045823,0.004411085071279438,8.301771989436228,0.0016503212878096372,0.00842239915298123,0.001953125,0.04802685115142195,0.7231437505224124,10,0,0.09375
A,30,cvar90,J-reranking,GCN,10,0.05546369579282234,0.04872317442045823,0.0067405213723641085,12.153033215713714,0.004546082659135845,0.009710854272578506,0.001953125,0.0012658018323226721,1.4589493116883665,10,0,0.09375
A,30,cvar90,J-reranking,TEG-low,10,0.057789195944376884,0.04872317442045823,0.009066021523918643,15.688090785420943,0.004910427472755237,0.01398012447238673,0.001953125,0.00551147665709446,1.1469520985842856,10,0,0.09375
A,30,load_risk,J-reranking,Stable-Tail-GNN,10,1.3283851151938642,1.2724514400775078,0.055933675116356274,4.210652052375137,0.026923465512725953,0.08731841336454102,0.009765625,0.007508825632848936,1.0846457098393412,9,0,0.09375
A,30,load_risk,J-reranking,GCN,10,1.3826017734934564,1.2724514400775078,0.11015033341594878,7.9668879013245455,0.070825537176865,0.14876975507408174,0.00390625,0.0005272521586545428,1.6603965759552073,9,0,0.09375
A,30,load_risk,J-reranking,TEG-low,10,1.3890089238161363,1.2724514400775078,0.11655748373862843,8.39141360002214,0.05298570178313113,0.1863010719501052,0.001953125,0.01043991524817961,1.0191862279870736,10,0,0.09375
A,30,top10share,J-reranking,Stable-Tail-GNN,10,0.7096240319849116,0.6933934671008908,0.01623056488402086,2.2872062039136183,0.007029987996990069,0.027329806252070817,0.005859375,0.01750140433283193,0.9181005733815142,9,0,0.09375
A,30,top10share,J-reranking,GCN,10,0.7101209330961781,0.6933934671008908,0.016727465995287228,2.355579904165658,0.008476722495540346,0.028123980012582216,0.001953125,0.013292824691402435,0.9717176712186348,10,0,0.09375
A,30,top10share,J-reranking,TEG-low,10,0.7071593089704016,0.6933934671008908,0.013765841869510775,1.9466394198435066,0.006196837407463497,0.022115391938457726,0.009765625,0.010705918533382004,1.0142237978203528,8,0,0.09375
