set,budget,method,model_seed,solver_seed,cost_inc,common_risk,cvar90,load_risk,top10share,j_score,risk_source
A,20,GCN,0,0,16.742912154749735,2.8284050276732016,0.05446624061808245,1.4915657424774338,0.7241721676830248,,A_GCN_seed0
A,25,GCN,0,0,16.742912154749735,2.8284050276732016,0.05446624061808245,1.4915657424774338,0.7241721676830248,,A_GCN_seed0
A,30,GCN,0,0,16.742912154749735,2.8284050276732016,0.05446624061808245,1.4915657424774338,0.7241721676830248,,A_GCN_seed0
A,20,GCN,0,1,17.19814622715434,3.1668612025470306,0.07215834397110793,1.4004420132162836,0.7493929582559088,,A_GCN_seed0
A,25,GCN,0,1,22.10198735792592,2.913026609823233,0.056340587144527186,1.4538565223097477,0.7312141998970525,,A_GCN_seed0
A,30,GCN,0,1,27.226728956618434,2.885591749696553,0.061978005750246874,1.3135634982702689,0.7285870036718634,,A_GCN_seed0
A,20,GCN,0,2,17.32040776728011,2.991282308894286,0.06679805925482722,1.4558615311151721,0.7379306049404358,,A_GCN_seed0
A,25,GCN,0,2,22.40928969089091,2.8855917496965526,0.061978005750246874,1.5387966057589884,0.7285870036718634,,A_GCN_seed0
A,30,GCN,0,2,26.74666786071434,2.6266444011429213,0.047566268164606296,1.2715700597036763,0.691564805181469,,A_GCN_seed0
A,20,GCN,0,3,17.39367299267894,3.297315018531381,0.07408797559003465,1.3493864914934197,0.7603741645966036,,A_GCN_seed0
A,25,GCN,0,3,22.422143779338345,2.6133622929935827,0.04828407024988278,1.5732309936019944,0.6897872826737572,,A_GCN_seed0
A,30,GCN,0,3,22.422143779338345,2.6133622929935827,0.04828407024988278,1.5732309936019944,0.6897872826737572,,A_GCN_seed0
A,20,GCN,0,4,17.19814622715434,3.167347005396593,0.07215834397110793,1.5575196355665608,0.7492780175077237,,A_GCN_seed0
A,25,GCN,0,4,22.410203213504783,2.8851059468469904,0.06197800575024689,1.4926817680557223,0.7287096853511703,,A_GCN_seed0
A,30,GCN,0,4,26.922244527862567,2.7082569066818794,0.05253413856569379,1.5189330286101281,0.7150805320977835,,A_GCN_seed0
A,20,GCN,0,5,17.196396988037225,3.1673470053965924,0.07215834397110793,1.7662032922438085,0.7492780175077237,,A_GCN_seed0
A,25,GCN,0,5,22.177031171874418,2.9237143828050067,0.07345919723794478,1.5230308717166876,0.7301320141005534,,A_GCN_seed0
A,30,GCN,0,5,22.177031171874418,2.9237143828050067,0.07345919723794478,1.5230308717166876,0.7301320141005534,,A_GCN_seed0
A,20,GCN,0,6,17.271282192884915,2.917213937234666,0.05634058714452719,1.5233946142485792,0.7251019677060687,,A_GCN_seed0
A,25,GCN,0,6,21.775860653596723,2.7364413624360147,0.06887697548522558,1.7785520911815529,0.706575674856994,,A_GCN_seed0
A,30,GCN,0,6,21.775860653596723,2.7364413624360147,0.06887697548522558,1.7785520911815529,0.706575674856994,,A_GCN_seed0
A,20,GCN,0,7,17.677129509395662,2.9008756591477383,0.05900270148611702,1.417409773297415,0.7276953798246747,,A_GCN_seed0
A,25,GCN,0,7,17.677129509395662,2.9008756591477383,0.05900270148611702,1.417409773297415,0.7276953798246747,,A_GCN_seed0
A,30,GCN,0,7,26.713085269929405,2.736441362436015,0.06887697548522558,0.9702866445836279,0.7065756748569941,,A_GCN_seed0
A,20,GCN,0,8,17.19727160106867,3.1668612025470306,0.07215834397110793,1.1684860526435124,0.7493929582559089,,A_GCN_seed0
A,25,GCN,0,8,22.19286855027687,2.7298370604878026,0.05027560733466689,1.0078390668112913,0.708233626550158,,A_GCN_seed0
A,30,GCN,0,8,26.4011403155271,2.406526629893738,0.04382624631270507,1.2367509933183531,0.6718872947589982,,A_GCN_seed0
