set,budget,method,model_seed,common_risk,cvar90,load_risk,top10share,cost_inc
A,20,GCN,0,3.096481229512281,0.06773440901125909,1.4444862492613542,0.743755046756698,17.240993016557944
A,20,GCN,1,3.20587055420338,0.08258876530782136,1.523644944090209,0.7526054805024143,17.294650790585145
A,20,GCN,2,3.231046505990048,0.08644815680247972,1.5215885542485803,0.7528870299375217,19.505439056082132
A,20,GCN,3,3.0687649891664663,0.07335914916638193,1.6055360548146713,0.7401650469480704,17.328757141161976
A,20,GCN,4,4.778116935278415,0.13200314032899024,2.482830362055955,0.8363254469592742,12.623295170113888
A,20,GCN,5,3.239777417131017,0.084973158163368,1.6194832631204057,0.7553493858118765,16.91956888578097
A,20,GCN,6,3.11587765850969,0.079928233092935,1.5785936122444493,0.7466931390522398,18.753707915212935
A,20,GCN,7,4.252314581293262,0.11639684667781094,2.161007529189225,0.8066715017397513,13.67712109219696
A,20,GCN,8,3.2137326739867262,0.08425092186138375,1.618965063506628,0.7540179609901944,19.586932991839983
A,20,GCN,9,3.134207354799869,0.08192872992048879,1.6369667352318384,0.7443275439317482,17.188753164121003
A,20,J-reranking,0,2.9868893971099197,0.06579380404025059,1.4221194473970442,0.7351870618345346,17.305994391615975
A,20,J-reranking,1,2.8038075901396597,0.05644611926130431,1.3680915414993704,0.7204978881745633,18.868486418837833
A,20,J-reranking,2,3.007895402560226,0.0760205407624747,1.4601573799692655,0.7374848984230915,18.766992807777246
A,20,J-reranking,3,3.041118283896899,0.06661344639006206,1.52758400497282,0.7357087570646226,16.765835974766123
A,20,J-reranking,4,3.127943189366833,0.078696905167296,1.6434521955252777,0.7472581810027051,19.445586901892757
A,20,J-reranking,5,3.202849694736082,0.07700855998517034,1.5579431920183782,0.7517322147903749,17.176592800599458
A,20,J-reranking,6,3.0461726361135066,0.06752199477937862,1.5829493889318367,0.7403412384358976,19.072520011014497
A,20,J-reranking,7,3.1221655248075444,0.07929383821165036,1.4872235283887536,0.7455458776650007,18.44526958418417
A,20,J-reranking,8,3.2616031254195597,0.07577220428477097,1.7314762978864877,0.7576136093423087,18.0403426177233
A,20,J-reranking,9,3.053141767865294,0.0704550114054833,1.4628966287839087,0.7399348420611627,17.03472181191716
A,20,Stable-Tail-GNN,0,3.1032603155499645,0.07341564573821902,1.5225264262134592,0.7450257265239122,17.030690122724888
A,20,Stable-Tail-GNN,1,2.871205485988162,0.06205785519317999,1.4346945579078352,0.7274668217794586,18.606766595340872
A,20,Stable-Tail-GNN,2,3.1485253829789714,0.08045285708951747,1.586456469106897,0.746092581887037,17.967275354772365
A,20,Stable-Tail-GNN,3,3.2942109546260014,0.0802555691201512,1.640647656370393,0.7563264328386397,17.626443047174842
A,20,Stable-Tail-GNN,4,3.127943189366833,0.078696905167296,1.6434521955252777,0.7472581810027051,19.445586901892757
A,20,Stable-Tail-GNN,5,3.403547229380822,0.0922492665701881,1.7456510167517734,0.7645885718645735,16.073210385816783
A,20,Stable-Tail-GNN,6,3.3490520671909314,0.08615890898040503,1.72501035875973,0.7639486451612699,18.657661386998836
A,20,Stable-Tail-GNN,7,3.131620418616633,0.07975425753295858,1.5126625250838237,0.7476611769300473,18.284668973722745
A,20,Stable-Tail-GNN,8,3.450253273738661,0.08188197391139,1.8707694349662103,0.7701162395535726,17.910706881253176
A,20,Stable-Tail-GNN,9,3.096012106897201,0.07902188609541902,1.4824537527226227,0.7424127016696073,17.67786399569253
A,20,TEG-low,0,3.1712302418659655,0.07119875681879005,1.6843622407168954,0.7504632852089703,19.317300439923592
