set,budget,metric,method,baseline,n_model_seeds,baseline_mean,method_mean,mean_delta,relative_improve_pct,ci95_low,ci95_high,p_wilcoxon,p_ttest,cohen_dz,wins,ties,p_wilcoxon_adj
A,25,common_risk,Stable-Tail-GNN,GCN,10,3.0033114439631796,2.8801846846113497,0.12312675935182997,4.0997000027859745,0.026400241901293704,0.21844824523687956,0.083984375,0.03959425656981468,0.7604199939166845,7,0,0.419921875
A,25,common_risk,Stable-Tail-GNN,TEG-low,10,3.0593783782110897,2.8801846846113497,0.1791936935997403,5.857192914611636,0.07912127791983088,0.2758570231236328,0.02734375,0.007875191670760319,1.0751271715063087,7,0,0.19140625
A,30,common_risk,Stable-Tail-GNN,GCN,10,2.7422053820465466,2.735280055888528,0.006925326158018752,0.2525458597433823,-0.10472517871030833,0.10746793476008555,0.76953125,0.9039680362041171,0.039242029880357035,6,0,1.0
A,30,common_risk,Stable-Tail-GNN,TEG-low,10,2.754245514241292,2.735280055888528,0.01896545835276382,0.6885899697285414,-0.134321893523104,0.17257517655142776,0.845703125,0.821953727660506,0.07326978509018155,6,0,1.0
B,25,common_risk,Stable-Tail-GNN,GCN,10,4.069314957638759,3.861828224460582,0.20748673317817684,5.098812339130714,0.045110212986909544,0.37218628791375885,0.083984375,0.043981175403365665,0.740144548694172,7,0,0.419921875
B,25,common_risk,Stable-Tail-GNN,TEG-low,10,4.076951928324981,3.861828224460582,0.21512370386439877,5.276581810293322,0.1142712841085328,0.32409861056205025,0.00390625,0.003604620586739786,1.2341390127205816,9,0,0.03125
B,30,common_risk,Stable-Tail-GNN,GCN,10,3.6856432854948493,3.4635546952610996,0.2220885902337495,6.0257755032289015,0.03788131401979033,0.4183913279643818,0.064453125,0.05659668171950084,0.6913476033314655,7,0,0.38671875
B,30,common_risk,Stable-Tail-GNN,TEG-low,10,3.607713832202703,3.4635546952610996,0.14415913694160426,3.99585842022252,-0.018937645749227596,0.3670658726188511,0.275390625,0.20538083467128807,0.4316704813707693,6,0,0.826171875
