P_level,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_8
1,0,625,423,225,72,67,116,2
2,1,661,329,143,93,101,198,3
3,0,577,408,150,97,98,197,3
4,0,569,392,201,102,72,185,8
5,0,475,496,218,71,77,191,1
