model,method,model_seed_runs,hop_increase_mean,hop_increase_std,hop_increase_mean_std,total_risk_reduction_mean,total_risk_reduction_std,total_risk_reduction_mean_std,cvar90_reduction_mean,cvar90_reduction_std,cvar90_reduction_mean_std,maxrisk_reduction_mean,maxrisk_reduction_std,maxrisk_reduction_mean_std,re_reduction_mean,re_reduction_std,re_reduction_mean_std
Stable-Tail-EdgeTailRaw-a005,CVaR-risk,10,0.10235651015649683,0.005976101679034483,10.236% +/- 0.598%,0.849220698505837,0.006643622641565694,84.922% +/- 0.664%,0.9014829606654645,0.006383399892300205,90.148% +/- 0.638%,0.9084722037680381,0.0059227975177318605,90.847% +/- 0.592%,0.9200249405910832,0.005864110148331408,92.002% +/- 0.586%
Stable-Tail-EdgeTailRaw-a005,Hop-shortest,10,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%
Stable-Tail-EdgeTailRaw-a010,CVaR-risk,10,0.10235651015649683,0.005976101679034483,10.236% +/- 0.598%,0.8505003954939223,0.006508678650075354,85.050% +/- 0.651%,0.9020905352745581,0.00625844681085261,90.209% +/- 0.626%,0.9090153369583949,0.00579621898852946,90.902% +/- 0.580%,0.9204559033132859,0.0057384205605379756,92.046% +/- 0.574%
Stable-Tail-EdgeTailRaw-a010,Hop-shortest,10,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%
Stable-Tail-EdgeTailRaw-a020,CVaR-risk,10,0.10235651015649683,0.005976101679034483,10.236% +/- 0.598%,0.8527427592980688,0.006183856265255056,85.274% +/- 0.618%,0.9031712749350089,0.005939609603621267,90.317% +/- 0.594%,0.9099570429097258,0.0055698453920458675,90.996% +/- 0.557%,0.9212227741084198,0.005430190919601213,92.122% +/- 0.543%
Stable-Tail-EdgeTailRaw-a020,Hop-shortest,10,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%
Stable-Tail-EdgeTailRaw-a030,CVaR-risk,10,0.10235651015649683,0.005976101679034483,10.236% +/- 0.598%,0.8546438799111369,0.005982978336363482,85.464% +/- 0.598%,0.9039934513369271,0.005723643749734704,90.399% +/- 0.572%,0.9106577961998494,0.005428884838488097,91.066% +/- 0.543%,0.9218151125607342,0.005223382164293884,92.182% +/- 0.522%
Stable-Tail-EdgeTailRaw-a030,Hop-shortest,10,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%
Stable-Tail-MatrixEnsRaw-r005,CVaR-risk,10,0.10235651015649683,0.005976101679034483,10.236% +/- 0.598%,0.8481408037940972,0.006687451535283662,84.814% +/- 0.669%,0.9009649228486694,0.0064456360204223654,90.096% +/- 0.645%,0.907979732284038,0.006015788754709124,90.798% +/- 0.602%,0.9196394717273988,0.005924605789154138,91.964% +/- 0.592%
Stable-Tail-MatrixEnsRaw-r005,Hop-shortest,10,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%
Stable-Tail-MatrixEnsRaw-r010,CVaR-risk,10,0.10235651015649683,0.005976101679034483,10.236% +/- 0.598%,0.8485822541643517,0.006635211815385498,84.858% +/- 0.664%,0.9011156882985466,0.006442615604639522,90.112% +/- 0.644%,0.9081169646631976,0.006009320602124666,90.812% +/- 0.601%,0.9197381647838258,0.005908297371933454,91.974% +/- 0.591%
Stable-Tail-MatrixEnsRaw-r010,Hop-shortest,10,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%
Stable-Tail-MatrixEnsRaw-r020,CVaR-risk,10,0.10235651015649683,0.005976101679034483,10.236% +/- 0.598%,0.8496135260627344,0.006516660879835867,84.961% +/- 0.652%,0.9014671363003137,0.006436834210887501,90.147% +/- 0.644%,0.9084369717342465,0.0059953733468978984,90.844% +/- 0.600%,0.9199683348184863,0.005871103392187269,91.997% +/- 0.587%
Stable-Tail-MatrixEnsRaw-r020,Hop-shortest,10,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%
Stable-Tail-MatrixEnsRaw-r030,CVaR-risk,10,0.10235651015649683,0.005976101679034483,10.236% +/- 0.598%,0.8509050529702081,0.006375038114403057,85.091% +/- 0.638%,0.9019066009187281,0.006431913919020725,90.191% +/- 0.643%,0.9088372366453621,0.005980093600312622,90.884% +/- 0.598%,0.9202558348855305,0.005826306168984918,92.026% +/- 0.583%
Stable-Tail-MatrixEnsRaw-r030,Hop-shortest,10,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%
Stable-Tail-MatrixEnsRaw-r040,CVaR-risk,10,0.10235651015649683,0.005976101679034483,10.236% +/- 0.598%,0.8525696421142557,0.00620360947735067,85.257% +/- 0.620%,0.9024705956374545,0.0064294868621224905,90.247% +/- 0.643%,0.9093512610586701,0.0059640275920069845,90.935% +/- 0.596%,0.9206251450447526,0.005771481849554965,92.063% +/- 0.577%
Stable-Tail-MatrixEnsRaw-r040,Hop-shortest,10,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%
Stable-Tail-NodeCalibRaw-a005,CVaR-risk,10,0.10255690698189363,0.006598482910219858,10.256% +/- 0.660%,0.8480038114231168,0.006696038245939159,84.800% +/- 0.670%,0.900988368815751,0.006481860918385875,90.099% +/- 0.648%,0.9079519447015811,0.006027517133477665,90.795% +/- 0.603%,0.9195534408280138,0.0059870538824583555,91.955% +/- 0.599%
Stable-Tail-NodeCalibRaw-a005,Hop-shortest,10,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%
Stable-Tail-NodeCalibRaw-a010,CVaR-risk,10,0.10274738317236978,0.006512168382738705,10.275% +/- 0.651%,0.8483308920320847,0.006718385240753145,84.833% +/- 0.672%,0.9011044218168826,0.006489198230033139,90.110% +/- 0.649%,0.9080497881884746,0.006017580403948189,90.805% +/- 0.602%,0.9196096998667664,0.006008027139027416,91.961% +/- 0.601%
Stable-Tail-NodeCalibRaw-a010,Hop-shortest,10,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%
Stable-Tail-NodeCalibRaw-a020,CVaR-risk,10,0.10236590169088834,0.006889097438656704,10.237% +/- 0.689%,0.8487694578658678,0.00667440772408642,84.877% +/- 0.667%,0.901388531644505,0.0063668293368294975,90.139% +/- 0.637%,0.9082328987441973,0.005967342361988359,90.823% +/- 0.597%,0.9196104536374321,0.005985557024777081,91.961% +/- 0.599%
Stable-Tail-NodeCalibRaw-a020,Hop-shortest,10,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%
Stable-Tail-NodeCalibRaw-a030,CVaR-risk,10,0.10237330909829574,0.007021550094949276,10.237% +/- 0.702%,0.8491569011143772,0.006558778354377425,84.916% +/- 0.656%,0.9015625237074133,0.006275903105331574,90.156% +/- 0.628%,0.9083692162291773,0.005881458469218394,90.837% +/- 0.588%,0.9196936505844416,0.00601061793014034,91.969% +/- 0.601%
Stable-Tail-NodeCalibRaw-a030,Hop-shortest,10,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%
Stable-Tail-TailOnlyRaw-a005,CVaR-risk,10,0.10235651015649683,0.005976101679034483,10.236% +/- 0.598%,0.8506518016220997,0.006544015197779518,85.065% +/- 0.654%,0.9020131248574107,0.006303125672336818,90.201% +/- 0.630%,0.9088390483622845,0.005884124391027392,90.884% +/- 0.588%,0.9202877711444866,0.005788234348189099,92.029% +/- 0.579%
