model,method,model_seed_runs,hop_increase_mean,hop_increase_std,hop_increase_mean_std,total_risk_reduction_mean,total_risk_reduction_std,total_risk_reduction_mean_std,cvar90_reduction_mean,cvar90_reduction_std,cvar90_reduction_mean_std,maxrisk_reduction_mean,maxrisk_reduction_std,maxrisk_reduction_mean_std,re_reduction_mean,re_reduction_std,re_reduction_mean_std
Stable-Tail-EdgeTail-a005,CVaR-risk,10,0.10228243608242277,0.006089119228524655,10.228% +/- 0.609%,0.8489029050013077,0.006677184338016639,84.890% +/- 0.668%,0.9013391528232411,0.006461742116966276,90.134% +/- 0.646%,0.9083306419550973,0.005966703094451748,90.833% +/- 0.597%,0.9199403202835772,0.00590263210698759,91.994% +/- 0.590%
Stable-Tail-EdgeTail-a005,Hop-shortest,10,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%
Stable-Tail-EdgeTail-a010,CVaR-risk,10,0.10228243608242277,0.006089119228524655,10.228% +/- 0.609%,0.8498743856211464,0.006580865676425169,84.987% +/- 0.658%,0.9018125970630104,0.006419229735381342,90.181% +/- 0.642%,0.9087501801955926,0.005893258820810722,90.875% +/- 0.589%,0.920313911343417,0.0058078307617803965,92.031% +/- 0.581%
Stable-Tail-EdgeTail-a010,Hop-shortest,10,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%
Stable-Tail-EdgeTail-a020,CVaR-risk,10,0.10228243608242277,0.006089119228524655,10.228% +/- 0.609%,0.8515341031853095,0.006341366393968702,85.153% +/- 0.634%,0.9026458025076748,0.006277519420167059,90.265% +/- 0.628%,0.9094666495525416,0.005785503487196443,90.947% +/- 0.579%,0.9209756515160386,0.005561279539033643,92.098% +/- 0.556%
Stable-Tail-EdgeTail-a020,Hop-shortest,10,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%
Stable-Tail-EdgeTail-a030,CVaR-risk,10,0.10228243608242277,0.006089119228524655,10.228% +/- 0.609%,0.8528898599951352,0.006220518813260279,85.289% +/- 0.622%,0.9032370083996457,0.006243061248633148,90.324% +/- 0.624%,0.9099521874249721,0.005760626345672768,90.995% +/- 0.576%,0.9214726520975395,0.005417700438438063,92.147% +/- 0.542%
Stable-Tail-EdgeTail-a030,Hop-shortest,10,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%
Stable-Tail-MatrixEns-r005,CVaR-risk,10,0.10228243608242277,0.006089119228524655,10.228% +/- 0.609%,0.8479416266359586,0.0067315561500646765,84.794% +/- 0.673%,0.9008956835689426,0.00647044775042323,90.090% +/- 0.647%,0.9079233000093319,0.006030205505666847,90.792% +/- 0.603%,0.9195869316153963,0.005951939312705303,91.959% +/- 0.595%
Stable-Tail-MatrixEns-r005,Hop-shortest,10,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%,0.0,0.0,0.000% +/- 0.000%
