beta,lambda_concentration,runs,pyvrp_cost_mean,pyvrp_cost_std,global_risk_mean,global_risk_std,global_cvar90_mean,global_cvar90_std,max_vehicle_risk_mean,max_vehicle_risk_std,max_vehicle_cvar90_mean,max_vehicle_cvar90_std,vehicle_risk_gini_mean,vehicle_risk_gini_std,risk_variance_mean,risk_variance_std,edge_burden_gini_used_mean,edge_burden_gini_used_std,top10_burden_share_mean,top10_burden_share_std,max_edge_burden_mean,max_edge_burden_std,cost_increase_pct,risk_reduction_pct,risk_source,risk_dir,customer_set,run_name,model,model_seed
1.0,0.0,5,157005.4,339.58474641832777,2.6025140112149527,0.16362317303483884,0.05733475593556614,0.006716293848640028,0.7939438562490977,0.08793295157252655,0.09033623735996939,0.014723603017067084,0.18451581775523165,0.033962914347895924,0.032647530238600654,0.007579100470110566,0.7634230610968468,0.00745894579280169,0.7483660410143632,0.012303324844669119,0.30023813247680664,0.0,0.17170482412345314,0.6229590162121326,GCN_seed0,D:\PyVRP-main\hazmat_risk_experiments\outputs\risk_matrices\gcn_splitB_seed0_epochs50_floor_0p01,A,seed_robustness_pyvrp50_beta1_splitB_A_GCN_seed0,GCN,0
1.0,0.0,5,179734.0,602.6864856623217,3.561708803244401,0.474897254551818,0.08889940337183269,0.016934340960963776,1.1985479269875214,0.2104201474579987,0.14466320207224243,0.04221476646211309,0.2931647662770177,0.05067675826315575,0.1541417547819317,0.06112148794264721,0.80768227870749,0.022377845241466226,0.7986363145176733,0.030919068874229808,0.6088331460952758,0.012995976224335522,0.22659201589832054,0.5383035619711697,GCN_seed0,D:\PyVRP-main\hazmat_risk_experiments\outputs\risk_matrices\gcn_splitB_seed0_epochs50_floor_0p01,B,seed_robustness_pyvrp50_beta1_splitB_B_GCN_seed0,GCN,0
1.0,0.0,5,157110.4,354.3709920408272,2.974202413042076,0.10235900687710695,0.07770546173455614,0.004756750805288764,0.9231586204317864,0.07114313062076967,0.13324361473321916,0.007788064692137546,0.21410017842470014,0.054816513034182286,0.05693395408322127,0.02442703748754315,0.7878855137551853,0.012775687639770359,0.7707976063009198,0.01577311169990319,0.40435797572135923,0.013052569466827911,0.17248842141713197,0.5770974798061514,GCN_seed1,D:\PyVRP-main\hazmat_risk_experiments\outputs\risk_matrices\gcn_splitB_seed1_epochs50_floor_0p01,A,seed_robustness_pyvrp50_beta1_splitB_A_GCN_seed1,GCN,1
1.0,0.0,5,176885.2,361.80547259542664,3.8376400301265696,0.2694415548789708,0.09225107422513545,0.006656424503810361,1.2433894382627249,0.10868057988087564,0.1514910141272204,0.006897346336752489,0.2784483175312646,0.014759352229155075,0.155308676008816,0.031191553779141522,0.8178358646367834,0.00721903268037223,0.8041099406083461,0.012626217275098044,0.5138984680175781,0.009630602261148143,0.20715042257212113,0.5276041904888127,GCN_seed1,D:\PyVRP-main\hazmat_risk_experiments\outputs\risk_matrices\gcn_splitB_seed1_epochs50_floor_0p01,B,seed_robustness_pyvrp50_beta1_splitB_B_GCN_seed1,GCN,1
1.0,0.0,5,160114.2,320.3025132589502,3.677508638711879,0.17176982291225307,0.10540184556215844,0.005489481570751995,1.2276041635486763,0.12951596577758448,0.14953043828718365,0.029642097129091056,0.26736293660494115,0.04712614338654021,0.13271483041155244,0.04317384777452103,0.8111722423934232,0.004051431893539554,0.799828412591336,0.0059574114008017955,0.9047213792800903,0.0,0.19490527428144142,0.5634111774956168,GCN_seed2,D:\PyVRP-main\hazmat_risk_experiments\outputs\risk_matrices\gcn_splitB_seed2_epochs50_floor_0p01,A,seed_robustness_pyvrp50_beta1_splitB_A_GCN_seed2,GCN,2
1.0,0.0,5,180885.4,247.91187950560175,5.037652291881702,0.4778182382877646,0.14061195589345074,0.016086687985792266,1.952959588106023,0.2443329389011106,0.19718090662525758,0.037936561754573064,0.3174110053382805,0.09189876998358179,0.3557972002965859,0.1704638728508188,0.8401568409095141,0.00791587256367716,0.8397829373673751,0.011830646717917281,0.9047213792800903,0.0,0.23444972811251105,0.46699195730787346,GCN_seed2,D:\PyVRP-main\hazmat_risk_experiments\outputs\risk_matrices\gcn_splitB_seed2_epochs50_floor_0p01,B,seed_robustness_pyvrp50_beta1_splitB_B_GCN_seed2,GCN,2
1.0,0.0,5,157491.4,422.59945574976786,2.791209910984617,0.17809261646567368,0.06578709015771415,0.014115281050319749,0.9264966395683587,0.14342440431347492,0.11303654400010903,0.02771871068411082,0.21396720293142954,0.060521938444285515,0.05377423735090954,0.0346883547567205,0.7609585119630498,0.00891839808089761,0.751705174438801,0.010763049943312786,0.341482138633728,0.06548777828418137,0.1753317601684809,0.6004274405540599,GCN_seed3,D:\PyVRP-main\hazmat_risk_experiments\outputs\risk_matrices\gcn_splitB_seed3_epochs50_floor_0p01,A,seed_robustness_pyvrp50_beta1_splitB_A_GCN_seed3,GCN,3
1.0,0.0,5,179169.6,784.9040068696298,3.9824336403960565,0.11626020391387645,0.10001525185662949,0.005851218526446805,1.3042650044629949,0.15621896293878518,0.1934186434595003,0.011272918599177067,0.27221757935994995,0.07764516806843588,0.1672214350772881,0.09536405119160093,0.8098397546934496,0.002927654528810578,0.8099649122184986,0.004531571496765141,0.5845667839050293,0.0021461018197117517,0.22274027647354278,0.4816976062702297,GCN_seed3,D:\PyVRP-main\hazmat_risk_experiments\outputs\risk_matrices\gcn_splitB_seed3_epochs50_floor_0p01,B,seed_robustness_pyvrp50_beta1_splitB_B_GCN_seed3,GCN,3
1.0,0.0,5,161475.6,223.61305865266456,3.3222157666630663,0.0904438092377585,0.07216673240423052,0.004746061285474343,1.158711974171456,0.21915828914416358,0.13460538491074528,0.03557192593543463,0.30071227780598736,0.0634319550764462,0.1393142466251216,0.0633012477501334,0.7949562314713245,0.005300651816862817,0.7819305694812702,0.00689294753881605,0.8041404485702515,0.0,0.20506517290634008,0.5829357045546918,GCN_seed4,D:\PyVRP-main\hazmat_risk_experiments\outputs\risk_matrices\gcn_splitB_seed4_epochs50_floor_0p01,A,seed_robustness_pyvrp50_beta1_splitB_A_GCN_seed4,GCN,4
1.0,0.0,5,180497.8,568.190725021097,4.548686356818098,0.4958064227507,0.09845815988754654,0.015430087882682115,1.6946835313516204,0.23603451059127467,0.20860932442758764,0.022384976830869145,0.30568819842491457,0.021040976446451403,0.2605034933335573,0.06151166180667885,0.826317428819636,0.012096044915598842,0.8239065390200959,0.01780388519897147,0.8041404485702515,0.0,0.23180455766416963,0.46651466446437506,GCN_seed4,D:\PyVRP-main\hazmat_risk_experiments\outputs\risk_matrices\gcn_splitB_seed4_epochs50_floor_0p01,B,seed_robustness_pyvrp50_beta1_splitB_B_GCN_seed4,GCN,4
