model,seed,mean,p50,p75,p90,p95,p99,max,std,tail_gap
GCN,0,0.01718551775294543,0.002233172068372369,0.003438576590269804,0.007900670170783997,0.09902236014604561,0.3740052878856659,0.8528047204017639,0.07076350190505551,0.2749829277396203
GCN,1,0.017087645748752444,0.0021259428467601538,0.003612323198467493,0.008345306850969791,0.09987668693065621,0.3961964517831802,0.8544802665710449,0.07158777584468494,0.296319764852524
GCN,2,0.019261429165222905,0.0023916710633784533,0.003916214918717742,0.008522285148501396,0.11157820001244545,0.4289531409740448,0.895763635635376,0.07987363935106732,0.31737494096159935
GCN,3,0.017302386558923535,0.002185029909014702,0.0035124991554766893,0.008508308790624142,0.10333541631698603,0.3906648230552673,0.8570114970207214,0.07158427724922736,0.2873294067382812
GCN,4,0.018506995721117782,0.0022414650302380323,0.0036655166186392307,0.008398939855396748,0.10706720724701865,0.4317314547300338,0.8629637360572815,0.07701868240462886,0.32466424748301514
GCN,5,0.016501245576767878,0.001981279579922557,0.003455406753346324,0.007987624034285545,0.09285409897565812,0.3787201941013336,0.8609724044799805,0.06891696325054225,0.2858660951256755
GCN,6,0.018267138989413616,0.0020961121190339327,0.00375978066585958,0.008289235644042492,0.09882278367876964,0.4198940694332123,0.8542657494544983,0.0758274379645488,0.32107128575444266
GCN,7,0.02134428684549588,0.0027985626365989447,0.004182078875601292,0.008421479724347591,0.14914975315332407,0.4333844780921936,0.8581869602203369,0.08131061538203584,0.28423472493886953
GCN,8,0.01733284024875861,0.0020425557158887386,0.003633839776739478,0.008468659594655037,0.09699114561080929,0.4136025607585907,0.8607254028320312,0.07403414772828147,0.3166114151477814
GCN,9,0.018574149145685545,0.0022521838545799255,0.003537972690537572,0.008507857099175453,0.10933265388011924,0.4183173400163649,0.8569164276123047,0.07684315402436985,0.30898468613624563
Weighted-GCN,0,0.018119173638513293,0.003925387281924486,0.004715508781373501,0.00725418608635664,0.10398825183510765,0.36502596735954285,0.8541136384010315,0.06833029815882176,0.2610377155244352
Weighted-GCN,1,0.018064005831769796,0.003632528940215707,0.004457309376448393,0.008019717410206795,0.08819618076086044,0.39436276972293854,0.8551721572875977,0.07140616635998595,0.3061665889620781
Weighted-GCN,2,0.019810110846666874,0.0038325029890984297,0.004597790073603392,0.008456112816929817,0.1045591346919536,0.423954284787178,0.8941841125488281,0.0781792523261504,0.3193951500952244
Weighted-GCN,3,0.017329502430840842,0.0036212499253451824,0.00460012024268508,0.008504134602844715,0.09058616161346397,0.4019721627235408,0.8571307063102722,0.06962838320752907,0.31138600111007686
Weighted-GCN,4,0.019442127294143303,0.004050854127854109,0.004880154505372047,0.008170640096068382,0.10290535390377042,0.4126172959804535,0.8610150218009949,0.07599925259665577,0.30971194207668307
Weighted-GCN,5,0.015463845558400685,0.0036231118720024824,0.004394351504743099,0.007409457582980394,0.07027891725301741,0.33958709239959717,0.8556246161460876,0.062106381152577494,0.2693081751465798
Weighted-GCN,6,0.017438251113978624,0.0038908107671886683,0.004847006872296333,0.008292256854474545,0.0807422026991843,0.3848918688297271,0.8551790118217468,0.0686269162564129,0.3041496661305428
Weighted-GCN,7,0.018443084481319382,0.0036241619382053614,0.004895240068435669,0.008484622463583946,0.08188927620649337,0.42847341299057007,0.858802855014801,0.07245408613101499,0.3465841367840767
Weighted-GCN,8,0.017340239190132983,0.0037110885605216026,0.004699601558968425,0.008467740379273891,0.08119716495275497,0.40589193701744064,0.8573473691940308,0.07027226828451136,0.32469477206468567
Weighted-GCN,9,0.016874174232763085,0.0038613241631537676,0.004568032920360565,0.008457855321466923,0.06932354718446726,0.4005736571550369,0.8531563878059387,0.06878524051894067,0.33125010997056964
Edge-GAT,0,0.01748410226667187,0.0021891924552619457,0.0034519487526267767,0.008452125824987888,0.10208543092012397,0.4003911316394806,0.8581409454345703,0.07318688611388799,0.29830570071935664
Edge-GAT,1,0.01809425811699929,0.0022459523752331734,0.0038886864203959703,0.00854775495827198,0.10103248730301839,0.4194892644882202,0.8569504618644714,0.07539766402314041,0.3184567771852018
Edge-GAT,2,0.018262659315588195,0.0022597918286919594,0.003873686073347926,0.008445560932159424,0.10186039805412286,0.4265008568763733,0.8797801733016968,0.07705517569067641,0.32464045882225046
Edge-GAT,3,0.017804222654140382,0.0022360989823937416,0.0035700735170394182,0.008510776795446873,0.10276978462934494,0.4255366325378418,0.8567684292793274,0.07340562631554949,0.32276684790849686
Edge-GAT,4,0.018782547694065066,0.0022053036373108625,0.003648834419436753,0.008572543039917946,0.11522246077656736,0.4329134225845337,0.8817576766014099,0.07855013351171769,0.3176909618079663
Edge-GAT,5,0.019142832747284778,0.0027199103496968746,0.0037153949961066246,0.00805230438709259,0.13221740126609802,0.3946783244609833,0.852575957775116,0.07409449781806399,0.26246092319488523
Edge-GAT,6,0.019832441499904575,0.002613681135699153,0.00400554807856679,0.008188816718757153,0.1280280500650406,0.4135352373123169,0.8520545363426208,0.07917995986706423,0.2855071872472763
Edge-GAT,7,0.018049378154124194,0.0021651876159012318,0.003897490445524454,0.008513723500072956,0.09715830832719799,0.4285909545421599,0.8568118214607239,0.07438210994468424,0.33143264621496193
Edge-GAT,8,0.01765806973241816,0.0021555572748184204,0.003659176640212536,0.008343955501914024,0.10171876847743988,0.4151037633419037,0.8615821003913879,0.07436814151606178,0.3133849948644638
Edge-GAT,9,0.018691814270172444,0.002313739387318492,0.0037960705813020468,0.008547741919755936,0.1084950640797615,0.4186486136913293,0.8560916781425476,0.0772984000312453,0.31015354961156777
TEG-low,0,0.018833851820363373,0.003720018547028303,0.004847895819693804,0.008540156297385693,0.09427599310874935,0.4164038920402526,0.8571692109107971,0.07507234659602997,0.32212789893150323
TEG-low,1,0.01738683488680333,0.0036278548650443554,0.0045650796964764595,0.008470854721963406,0.08519744873046875,0.39172952711582165,0.8559458255767822,0.06893868057029608,0.3065320783853529
TEG-low,2,0.01985959995326303,0.003862704150378704,0.004763527307659388,0.008561220020055771,0.10602676868438721,0.4268917143344879,0.8597872257232666,0.07867759064157033,0.3208649456501007
TEG-low,3,0.017399926845002685,0.0036876066587865353,0.004559760447591543,0.008375946432352066,0.0914742529392242,0.36793789744377103,0.8566847443580627,0.068919386981054,0.27646364450454686
TEG-low,4,0.01897626962510007,0.0037589161656796932,0.004591024713590741,0.008316273801028728,0.09758242964744568,0.41997185349464417,0.8557283282279968,0.07544880834286327,0.3223894238471985
TEG-low,5,0.01725734244182258,0.0038583525456488132,0.004458994837477803,0.008338149636983871,0.09926848113536835,0.3463853794336319,0.8533262014389038,0.06502265234495659,0.24711689829826355
TEG-low,6,0.018000000575731333,0.003637049812823534,0.004945302382111549,0.008321459405124187,0.08645016998052593,0.4184932518005371,0.8538172245025635,0.07323938372444633,0.3320430818200112
TEG-low,7,0.01869953575804324,0.003989991266280413,0.0051764193922281265,0.008449018932878971,0.0919447980821132,0.424586453437805,0.8571135997772217,0.0717907649359631,0.3326416553556918
TEG-low,8,0.017991824914927665,0.003740231040865183,0.004685582127422094,0.008568990975618362,0.08578862175345418,0.39807804226875304,0.9271950125694275,0.07357878431932934,0.31228942051529884
TEG-low,9,0.01746443993543321,0.0036763406824320555,0.004676348529756069,0.008288824930787086,0.07930247485637663,0.4185856580734253,0.8558339476585388,0.07128232991817313,0.33928318321704865
Stable-Tail GNN,0,0.015658003059526863,0.0015081450110301375,0.0034498588647693396,0.008378436788916588,0.06894284039735787,0.40923160314559937,0.8495379090309143,0.07126465631979978,0.3402887627482415
Stable-Tail GNN,1,0.01639667693500066,0.0014522613491863012,0.003443010151386261,0.008491299115121365,0.05945339426398277,0.42881062626838684,0.8681529760360718,0.07649965564088998,0.36935723200440407
Stable-Tail GNN,2,0.017853251260823114,0.0017067977460101247,0.004010530188679695,0.00848927441984415,0.07138009071350089,0.427132248878479,0.9009861946105957,0.08105220746790967,0.3557521581649781
Stable-Tail GNN,3,0.01451416172768574,0.001603679615072906,0.0032250545918941498,0.008288713172078133,0.05694355517625804,0.373186240792274,0.8571326732635498,0.06849978035844217,0.316242685616016
Stable-Tail GNN,4,0.018122117090016744,0.001874821144156158,0.0036943036830052733,0.008579960092902184,0.07173348218202583,0.43328800797462463,0.901222288608551,0.0824771273310701,0.36155452579259884
Stable-Tail GNN,5,0.013686892303657576,0.0014882860705256462,0.0030424301512539387,0.0073984661139547825,0.0566435500979422,0.3736225664615631,0.8581957817077637,0.06214091562629515,0.3169790163636209
