P_level,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_8
1,0,470,564,172,19,33,40,23
2,0,437,494,182,58,27,51,72
3,0,323,531,290,67,42,37,30
4,0,350,556,208,45,84,31,47
5,0,358,550,229,40,43,73,27
