P_level,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_8
1,0,627,363,135,131,48,17,0
2,2,597,324,137,125,49,87,0
3,0,501,350,184,187,54,44,0
4,0,487,397,157,160,83,37,0
5,2,497,373,186,158,58,44,2
