beta,runs,pyvrp_cost_mean,pyvrp_cost_std,global_risk_mean,global_risk_std,global_cvar90_mean,global_cvar90_std,max_vehicle_risk_mean,max_vehicle_risk_std,max_vehicle_cvar90_mean,max_vehicle_cvar90_std,vehicle_risk_gini_mean,vehicle_risk_gini_std,risk_variance_mean,risk_variance_std,edge_burden_gini_used_mean,edge_burden_gini_used_std,top10_burden_share_mean,top10_burden_share_std,max_edge_burden_mean,max_edge_burden_std,cost_increase_pct,risk_reduction_pct,risk_source,risk_dir,customer_set,run_name
0.0,5,133997.2,0.4472135954999579,7.251120960677508,0.7940659098598849,0.2045714694799276,0.04618592508671847,2.5405066445004194,0.4302481634253709,0.4001737521092097,0.1149925385470327,0.23237350734722578,0.05665396359980338,0.4543059250543255,0.2387274042173033,0.8641169405173834,0.011256514756931887,0.8893211732913648,0.012023994559482628,1.1861578464508056,0.46349594392664184,0.0,0.0,GCN,hazmat_risk_experiments\outputs\risk_matrices\gcn_splitB_seed0_epochs50_floor_0p01,A,model_pyvrp50_floor001_beta1_fixedAB_A_GCN
1.0,5,156975.8,560.6337485382056,2.5070680768461897,0.13400711877243804,0.05261304624901129,0.006232189773317176,0.7905567462032195,0.1436024557957248,0.0857050230615728,0.011106926155952598,0.2188231440410106,0.05521732508604345,0.04330148168077127,0.021710444754732335,0.759431399421902,0.006396369626598423,0.7410497877935122,0.01042259217595453,0.3085480868816376,0.01859821630379359,0.17148567283495458,0.6542509647208263,GCN,hazmat_risk_experiments\outputs\risk_matrices\gcn_splitB_seed0_epochs50_floor_0p01,A,model_pyvrp50_floor001_beta1_fixedAB_A_GCN
0.0,5,146531.2,556.7375503771952,7.712965186475077,0.662690847973204,0.23275383021203327,0.039318276838411506,2.6750413148198278,0.3950513622009067,0.4150253862142563,0.07237068745600113,0.252831902932482,0.021360443061984567,0.5305374562931131,0.15829107644387597,0.8592035896522161,0.005958261105943823,0.8910120498851978,0.007529323494837947,0.9217935562133789,0.3291429693741797,0.0,0.0,GCN,hazmat_risk_experiments\outputs\risk_matrices\gcn_splitB_seed0_epochs50_floor_0p01,B,model_pyvrp50_floor001_beta1_fixedAB_B_GCN
1.0,5,179227.6,635.6400711094291,3.6787924667494374,0.20796468814491817,0.0914618273587253,0.009176342141359638,1.321969128935598,0.011678180012845521,0.14726571013820378,0.027241183911755815,0.3290585378454819,0.03933081103168016,0.19857895000247344,0.04090434247626066,0.8136025312320776,0.007910255368455882,0.8099860519439652,0.010695188205393063,0.6040329575538635,0.010572492286107649,0.22313609661287145,0.5230378488935957,GCN,hazmat_risk_experiments\outputs\risk_matrices\gcn_splitB_seed0_epochs50_floor_0p01,B,model_pyvrp50_floor001_beta1_fixedAB_B_GCN
0.0,5,133997.4,0.5477225575051661,7.176160549535416,0.8509418631403389,0.217662451401926,0.049878114226738074,2.3903486562659966,0.5013027468809921,0.38511822381522504,0.1288791739687568,0.22272769003956044,0.057914540151710915,0.3913885210572556,0.27663390948998795,0.8279597077489363,0.012063109946814454,0.8565655650375719,0.011033806508206555,1.016884994506836,0.3709779471743973,0.0,0.0,Weighted-GCN,hazmat_risk_experiments\outputs\risk_matrices\weighted_gcn_splitB_seed0_epochs50_floor_0p01,A,model_pyvrp50_floor001_beta1_fixedAB_A_Weighted-GCN
1.0,5,157914.4,197.8201203113576,3.040409447203274,0.14321445878804967,0.07229331819909474,0.0027530052449638086,0.9405540335224941,0.06219383321748913,0.10369774148511213,0.018214502455593702,0.21773936406150507,0.020937313988848367,0.05853847633618692,0.01036899161136564,0.6949599773919518,0.009083975408739021,0.6893690311170845,0.01121594188550652,0.38935914635658264,0.0,0.17848853783730134,0.5763180845500054,Weighted-GCN,hazmat_risk_experiments\outputs\risk_matrices\weighted_gcn_splitB_seed0_epochs50_floor_0p01,A,model_pyvrp50_floor001_beta1_fixedAB_A_Weighted-GCN
0.0,5,146531.2,556.7375503771952,7.56192096194718,0.6717366990931629,0.2252418989018754,0.031023205724512774,2.582790049444884,0.4683853311674511,0.42397997826337813,0.08244446643143824,0.22757546757266017,0.024453594133759367,0.4359416056946057,0.16438215378142126,0.82368918083322,0.009723932837949643,0.8578988001055923,0.011290191381500005,1.0211743354797362,0.38056920516847764,0.0,0.0,Weighted-GCN,hazmat_risk_experiments\outputs\risk_matrices\weighted_gcn_splitB_seed0_epochs50_floor_0p01,B,model_pyvrp50_floor001_beta1_fixedAB_B_Weighted-GCN
1.0,5,179360.2,125.84991060783477,3.4900426077307203,0.07195851839331702,0.07890425956697873,0.0027094659322066095,1.07788252630271,0.14170771252642264,0.11151359696273824,0.012114269849368562,0.1998330100889286,0.03809879465364664,0.07110961089285568,0.028370946648122845,0.6992373715824286,0.005634176110596843,0.6997881287185865,0.006361844235994704,0.513384222984314,0.0,0.22404102334519882,0.5384714247485894,Weighted-GCN,hazmat_risk_experiments\outputs\risk_matrices\weighted_gcn_splitB_seed0_epochs50_floor_0p01,B,model_pyvrp50_floor001_beta1_fixedAB_B_Weighted-GCN
0.0,5,133997.2,0.4472135954999579,7.6701759127128755,0.8207439902815868,0.24013168004256608,0.0371500952210869,2.6768509167450247,0.40378335587212216,0.4450313084820906,0.09193777667614779,0.2388958553370614,0.05123428535506392,0.5142423089005772,0.24845241238443375,0.8713965611968527,0.010459436295189889,0.8949149967990888,0.011033294396296812,1.2013974070549012,0.47002318598013254,0.0,0.0,Edge-GAT,hazmat_risk_experiments\outputs\risk_matrices\edge_gat_splitB_seed0_epochs50_floor_0p01,A,model_pyvrp50_floor001_beta1_fixedAB_A_Edge-GAT
1.0,5,157023.6,354.331483218751,2.6425519059164797,0.23465914154603965,0.06298882606471407,0.007050209957819879,0.8589642841296155,0.1515978704685119,0.09890358360617288,0.02048076097583821,0.2177623230366567,0.09946041130583794,0.05078614111449633,0.036519445418970745,0.7734259463133494,0.014448784831502536,0.7518573426702218,0.020946732881125633,0.3502991497516632,0.0,0.1718423967067968,0.6554770143488812,Edge-GAT,hazmat_risk_experiments\outputs\risk_matrices\edge_gat_splitB_seed0_epochs50_floor_0p01,A,model_pyvrp50_floor001_beta1_fixedAB_A_Edge-GAT
