method,runs,hop_mean,hop_std,mean_risk_mean,mean_risk_std,max_risk_mean,max_risk_std,cvar80_mean,cvar80_std,cvar90_mean,cvar90_std,re_mean,re_std,hhi_mean,hhi_std,gini_mean,gini_std,total_risk_mean,total_risk_std,hop_increase_pct_mean,hop_increase_pct_std,risk_reduction_pct_mean,risk_reduction_pct_std,cvar90_reduction_pct_mean,cvar90_reduction_pct_std,total_risk_mean_baseline,total_risk_mean_method,total_risk_aggregate_reduction,total_risk_mean_per_od_reduction,total_risk_median_per_od_reduction,max_risk_mean_baseline,max_risk_mean_method,max_risk_aggregate_reduction,max_risk_mean_per_od_reduction,max_risk_median_per_od_reduction,cvar80_mean_baseline,cvar80_mean_method,cvar80_aggregate_reduction,cvar80_mean_per_od_reduction,cvar80_median_per_od_reduction,cvar90_mean_baseline,cvar90_mean_method,cvar90_aggregate_reduction,cvar90_mean_per_od_reduction,cvar90_median_per_od_reduction,re_mean_baseline,re_mean_method,re_aggregate_reduction,re_mean_per_od_reduction,re_median_per_od_reduction,gini_mean_baseline,gini_mean_method,gini_aggregate_reduction,gini_mean_per_od_reduction,gini_median_per_od_reduction,path_overlap_with_cvar,selected_path_changed_rate
CVaR+Concentration,90,9.733333333333333,2.7835794593906553,0.002632518101497448,0.00861767969785269,0.019366927875671534,0.06489661818440705,0.00920224978743742,0.03333161323389161,0.013284865952812617,0.05089146888798915,0.0019365727788864069,0.007872720411294738,0.18522650900875787,0.21989527146479648,0.16071838337965333,0.22383847915889457,0.02576389730121365,0.07537683029005178,0.1280340030339844,0.15407119928357735,0.44454754693086784,0.5180398210708026,0.5000037389757271,0.4702712864436864,0.25165549388976716,0.02576389730121365,0.8976223530673381,0.44454754693086784,0.460503542940764,0.18817343409011503,0.019366927875671534,0.8970793727062772,0.48306476904327167,0.3036626658979125,0.11016146556186464,0.00920224978743742,0.9164658009820497,0.501480573099517,0.418695613333919,0.1713651869537662,0.013284865952812617,0.9224762847700256,0.5000037389757271,0.38638448161521544,0.029298245022071265,0.0019365727788864069,0.9339014067784118,0.4877597232196279,0.4722222222141166,0.47559598934932823,0.16071838337965333,0.6620695149254786,0.36280287223834307,0.24605207772234633,0.9666666666666667,0.033333333333333326
CVaR-risk,90,9.666666666666666,2.8363610172586844,0.003515419236793434,0.012882712930724956,0.019366927875671534,0.06489661818440705,0.01088463367920162,0.04195571324288067,0.013284865952812617,0.05089146888798915,0.0027563017423393324,0.011854201078002344,0.1799863205219567,0.20632299543163302,0.15764449736592379,0.2150107503386133,0.029098130762213258,0.09069394042965508,0.11708162208160527,0.14621276962783686,0.43863256829867264,0.5199867183217955,0.5000037389757271,0.4702712864436864,0.25165549388976716,0.029098130762213258,0.8843731550885852,0.43863256829867264,0.23663227050245042,0.18817343409011503,0.019366927875671534,0.8970793727062772,0.48306476904327167,0.3036626658979125,0.11016146556186464,0.01088463367920162,0.9011938192308253,0.49548154503897124,0.3744539220020491,0.1713651869537662,0.013284865952812617,0.9224762847700256,0.5000037389757271,0.38638448161521544,0.029298245022071265,0.0027563017423393324,0.9059226332099808,0.4762851866772832,0.07692307691853935,0.47559598934932823,0.15764449736592379,0.6685327443945255,0.367388582956551,0.24605207772234633,1.0,0.0
Hop-shortest,90,8.755555555555556,2.736811525907397,0.03174096250458676,0.04324580652781101,0.18817343409011503,0.22050306851056264,0.11016146556186464,0.1470771536493555,0.1713651869537662,0.2155294198259674,0.029298245022071265,0.04109272087804311,0.47385809701514525,0.3669507153042025,0.47559598934932823,0.3702158587324224,0.25165549388976716,0.30701151111963965,0.0,0.0,0.0,0.0,0.0,0.0,0.25165549388976716,0.25165549388976716,0.0,0.0,0.0,0.18817343409011503,0.18817343409011503,0.0,0.0,0.0,0.11016146556186464,0.11016146556186464,0.0,0.0,0.0,0.1713651869537662,0.1713651869537662,0.0,0.0,0.0,0.029298245022071265,0.029298245022071265,0.0,0.0,0.0,0.47559598934932823,0.47559598934932823,0.0,0.0,0.0,0.3,0.7
Mean-risk-floor,90,9.811111111111112,3.1619025862672774,0.001012451560592757,0.005179464013332534,0.0038842459652288297,0.031064879201380884,0.002226264141898827,0.015534024134222616,0.003882418737986073,0.0310650799813089,0.0005080454420602139,0.004819742255332149,0.13132755571942076,0.10249662467670644,0.11979773769001806,0.1029759787969713,0.007794187483129159,0.030921266861413027,0.12350920684252442,0.13890573483796032,0.5216410694185392,0.47978202500498546,0.541414006791969,0.4785018216238881,0.25165549388976716,0.007794187483129159,0.9690283436152113,0.5216410694185392,0.9517379261565825,0.18817343409011503,0.0038842459652288297,0.9793581597477354,0.5411623377138924,0.9948425374787371,0.11016146556186464,0.002226264141898827,0.9797908993719006,0.5459982046402003,0.9848173816204424,0.1713651869537662,0.003882418737986073,0.9773441805306065,0.541414006791969,0.9891872574001783,0.029298245022071265,0.0005080454420602139,0.9826595264439851,0.5111111110943308,0.999999999855992,0.47559598934932823,0.11979773769001806,0.7481102860966854,0.35859930062795886,0.6765203055082691,0.36666666666666664,0.6333333333333333
Mean-risk-raw,90,9.811111111111112,3.1619025862672774,0.001012451560592757,0.005179464013332534,0.0038842459652288297,0.031064879201380884,0.002226264141898827,0.015534024134222616,0.003882418737986073,0.0310650799813089,0.0005080454420602139,0.004819742255332149,0.13132755571942076,0.10249662467670644,0.11979773769001806,0.1029759787969713,0.007794187483129159,0.030921266861413027,0.12350920684252442,0.13890573483796032,0.5216410694185392,0.47978202500498546,0.541414006791969,0.4785018216238881,0.25165549388976716,0.007794187483129159,0.9690283436152113,0.5216410694185392,0.9517379261565825,0.18817343409011503,0.0038842459652288297,0.9793581597477354,0.5411623377138924,0.9948425374787371,0.11016146556186464,0.002226264141898827,0.9797908993719006,0.5459982046402003,0.9848173816204424,0.1713651869537662,0.003882418737986073,0.9773441805306065,0.541414006791969,0.9891872574001783,0.029298245022071265,0.0005080454420602139,0.9826595264439851,0.5111111110943308,0.999999999855992,0.47559598934932823,0.11979773769001806,0.7481102860966854,0.35859930062795886,0.6765203055082691,0.36666666666666664,0.6333333333333333
