P_level,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_8
1,0,217,562,367,76,30,65,4
2,0,258,513,287,88,42,118,15
3,0,204,458,385,132,59,72,10
4,0,176,499,373,91,84,91,7
5,0,144,486,435,87,75,76,17
