P_level,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_8
1,0,463,496,192,74,19,65,12
2,0,483,387,164,100,55,124,8
3,0,371,428,280,106,61,72,2
4,0,409,438,230,74,81,61,28
5,0,415,469,200,79,53,95,9
