P_level,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_8
1,1,817,427,153,82,10,36,4
2,2,692,360,209,130,52,84,0
3,1,597,440,258,115,59,54,6
4,2,614,367,271,140,87,37,11
5,3,628,442,210,88,90,63,5
