P_level,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_8
1,3,643,542,210,97,11,22,2
2,12,591,501,192,124,45,64,0
3,2,616,515,156,151,41,43,6
4,10,651,444,170,182,49,20,3
5,4,591,499,193,140,48,51,3
