model,customer_set,avg_risk_at_b_mean,avg_risk_at_b_std,common_aubrc_mean,common_aubrc_std,cvar90_aubrc_mean,cvar90_aubrc_std,cvar95_aubrc_mean,cvar95_aubrc_std,load_cvar90_aubrc_mean,load_cvar90_aubrc_std,max_vehicle_cvar90_aubrc_mean,max_vehicle_cvar90_aubrc_std,method,alpha,rho,p_high_mode,p_high_gate_threshold,core_score
GCN,B,4.962290480494849,0.2142253251475955,1.4772002735274699,0.07265685664480875,0.03670562065402953,0.0026533022997235643,0.07161641306554122,0.0055178895005636025,0.020799992175831082,0.0012035419210937703,0.06513662911412592,0.003669384782626235,,,,,,
GraphSAGE,B,4.874581040626172,0.3693390644052738,1.4395263638393714,0.12308886612056924,0.03555076165606057,0.0037160760541522114,0.06895704358817402,0.008364525253849071,0.020952192927021804,0.002529954332336785,0.06265846668336601,0.00709357753785954,,,,,,
GraphSAGE-TEG-Gate,B,4.778952657805394,0.26720940054460235,1.4094528957798518,0.08824070930360665,0.034531004171183335,0.0027582059500700913,0.06572164795593005,0.006883269023761576,0.019815100935203545,0.0017785621908650586,0.06213003731499066,0.006993197681559514,,,,,,
Stable-Tail GNN,B,4.720352449149992,0.21952454900017013,1.3893212017503993,0.07351542460255571,0.03382745060927791,0.0020868922988768832,0.06574420188631153,0.005198321080694878,0.019733393110156556,0.0012014537873924571,0.0598221311600613,0.006172503163436602,,,,,,
Stable-Tail w/o Tail Loss,B,4.892533482936852,0.2421693163304851,1.4509860249854376,0.08079359395474282,0.035967885363348995,0.002305166768929494,0.06996698235762598,0.005577642558970405,0.021210371959019998,0.0018838168695129852,0.06446573511268049,0.00528003154195429,,,,,,
Stable-Tail-Gate,B,4.802904372749246,0.21424003839682781,1.420255602373567,0.0722043738390008,0.034996920450094046,0.002347133573053804,0.06786619831531608,0.004656731324200726,0.019981369816130756,0.001127810848697811,0.06332263303486006,0.0051671952569250215,,,,,,
TEG-only,B,4.879833150005416,0.20362811751436996,1.4473156200124624,0.07140978087690406,0.03548005171588933,0.002444096263737551,0.06842177906941627,0.004871141566850013,0.02092329316605895,0.0015614135873325823,0.06356314897222358,0.0045072156070402655,,,,,,
Stable-Tail-EdgeTailRaw-a005,B,4.6218334260581075,0.20376473620336494,1.3549605513718592,0.06868247042936935,0.03263969306201587,0.0021526053406899664,0.06298899086188757,0.005353702702557467,0.019224961863291486,0.0011864839733626473,0.0575201878978087,0.00488005198965813,edge_tail_correction,0.05,0.2,raw,0.5,2.25
Stable-Tail-EdgeTailRaw-a010,B,4.619036331639746,0.21482149989757465,1.3521141168772028,0.07276964086428298,0.03273708537094892,0.0024798743862736745,0.0630190553980675,0.0052202388338534605,0.019129398592735707,0.0015040767370116577,0.05778475310700964,0.005393091262125105,edge_tail_correction,0.1,0.2,raw,0.5,2.25
Stable-Tail-EdgeTailRaw-a020,B,4.648358507513681,0.24429461295656166,1.3634813780391768,0.08287605703050852,0.033027793655422556,0.0028268000449554504,0.06389192652186634,0.006292561928217344,0.019400380531513908,0.001751933731923161,0.05796008164911941,0.005195723464713659,edge_tail_correction,0.2,0.2,raw,0.5,8.5
