model,customer_set,avg_risk_at_b_mean,avg_risk_at_b_std,common_aubrc_mean,common_aubrc_std,cvar90_aubrc_mean,cvar90_aubrc_std,cvar95_aubrc_mean,cvar95_aubrc_std,load_cvar90_aubrc_mean,load_cvar90_aubrc_std,max_vehicle_cvar90_aubrc_mean,max_vehicle_cvar90_aubrc_std,method,alpha,rho,p_high_mode,p_high_gate_threshold,core_score
Stable-Tail-EdgeTailRaw-a030,B,4.639410038932814,0.19727606205578024,1.3604894467015611,0.06760523077405303,0.03285561151540084,0.0022747958830809925,0.06360363075682866,0.004538187063872942,0.01917211063336626,0.0010545251019202788,0.05680639351295853,0.004468866415191975,edge_tail_correction,0.3,0.2,raw,0.5,5.75
Stable-Tail-MatrixEnsRaw-r005,B,4.655073091111112,0.20863406859028363,1.3674312443129355,0.0708787213768348,0.033373721387055466,0.002400210835989258,0.0644391090168317,0.005698832122656603,0.01930799719748187,0.0010884168169982159,0.05953768565824342,0.0038863576072673814,risk_matrix_ensemble,0.1,0.05,raw,0.5,12.25
Stable-Tail-MatrixEnsRaw-r010,B,4.657696876078042,0.2522427194079075,1.3677188718691664,0.08317978059075648,0.033188683397537236,0.002667030266334972,0.06416364649399182,0.0062335188122488285,0.019275271940738446,0.0012294152334864138,0.059576561160485195,0.0056422213030082055,risk_matrix_ensemble,0.1,0.1,raw,0.5,12.0
Stable-Tail-MatrixEnsRaw-r020,B,4.644958627652379,0.2312799949422343,1.3640342392199194,0.07850532021584138,0.03324934284446547,0.0026068530912194115,0.06412941757757173,0.005624964784950212,0.019201017055751668,0.0016856183885152385,0.05887370971077909,0.005676059675697238,risk_matrix_ensemble,0.1,0.2,raw,0.5,10.5
Stable-Tail-MatrixEnsRaw-r030,B,4.67917488826888,0.23114859438617602,1.374000063641268,0.07773347646117904,0.03333716483324962,0.0026558164182221376,0.06506699259024384,0.005653040709308297,0.019536278372321813,0.001522706775274125,0.0587682211222461,0.005809115583859595,risk_matrix_ensemble,0.1,0.3,raw,0.5,14.5
Stable-Tail-MatrixEnsRaw-r040,B,4.626008650943875,0.2398644101869864,1.3563571160549166,0.07910191653424622,0.032836905356984365,0.0026973230743788826,0.0637086584860016,0.006359084766194173,0.019245147368264968,0.0014389776192552234,0.058500772394371146,0.004752286642417558,risk_matrix_ensemble,0.1,0.4,raw,0.5,4.25
Stable-Tail-NodeCalibRaw-a005,B,4.629179598264837,0.2252627426220778,1.3589936285982918,0.07591285812891306,0.032935140227856555,0.002594527347086111,0.06371637277194497,0.005980604273726483,0.018969485954764585,0.0015412342591272566,0.05890452958127835,0.005157574402363775,node_calibration,0.05,0.2,raw,0.5,5.5
Stable-Tail-NodeCalibRaw-a010,B,4.656431551705899,0.2369647171774123,1.3692368813320264,0.08331274343163923,0.03310662599664487,0.0025889467611196074,0.06411542241369925,0.006078623803638682,0.0192891773030793,0.0018449027917139184,0.059236472964067914,0.005183735536628596,node_calibration,0.1,0.2,raw,0.5,10.75
Stable-Tail-NodeCalibRaw-a020,B,4.694968429993761,0.23480725532664512,1.38143198043846,0.07841881137050274,0.03365491685319981,0.0025741143600943772,0.06485728753357345,0.005603558990405573,0.01943663955842026,0.0015371010042417484,0.05948280605007356,0.004888160928502812,node_calibration,0.2,0.2,raw,0.5,16.25
Stable-Tail-NodeCalibRaw-a030,B,4.691351063675807,0.21657497725740749,1.3773772713990704,0.07237779414303723,0.03371370512685668,0.002371761849411374,0.06526830860779624,0.005318171183118643,0.019224571393715528,0.0011586168723923824,0.05970364139804227,0.005048243909484533,node_calibration,0.3,0.2,raw,0.5,16.5
Stable-Tail-TailOnlyRaw-a005,B,4.673960729608942,0.1918806952197935,1.3745907078757469,0.06349484482364112,0.03341557822501312,0.0021947729332173534,0.06469426656166032,0.004805250271242664,0.019608080763202404,0.0010661987333844677,0.05878251887556226,0.004862074281291067,tail_only_correction,0.05,0.2,raw,0.5,14.5
Stable-Tail-TailOnlyRaw-a010,B,4.644895424475945,0.23933973281651647,1.3632586558641633,0.0801341615141264,0.03310964888960715,0.002844633239876054,0.06412725283610633,0.005696191034262128,0.01926725249875036,0.0015998440896567415,0.05796159425257214,0.005895172295017222,tail_only_correction,0.1,0.2,raw,0.5,9.0
Stable-Tail-TailOnlyRaw-a020,B,4.631677210595334,0.1927792689312562,1.359397589627231,0.06530859273520559,0.03263393090645529,0.0020789848100183327,0.06387017688046229,0.004232732787037976,0.01899892774149917,0.001162211254146995,0.05788585316980955,0.004621465851840718,tail_only_correction,0.2,0.2,raw,0.5,4.75
Stable-Tail-TailOnlyRaw-a030,B,4.6142795829483685,0.2139200982068539,1.3536686820126766,0.07160915782267978,0.032715914114493524,0.0022915403470691346,0.06391319114279856,0.005407135766520027,0.01944038969921444,0.0014487236626118147,0.05790574520190497,0.005109921896745086,tail_only_correction,0.3,0.2,raw,0.5,3.5
