model,customer_set,method,alpha,rho,avg_risk_at_b_mean,avg_risk_at_b_std,common_aubrc_mean,common_aubrc_std,cvar90_aubrc_mean,cvar90_aubrc_std,cvar95_aubrc_mean,cvar95_aubrc_std,load_cvar90_aubrc_mean,load_cvar90_aubrc_std,max_vehicle_cvar90_aubrc_mean,max_vehicle_cvar90_aubrc_std,core_score
Stable-Tail-EdgeTail-a005,A,edge_tail_correction,0.05,0.2,3.408181329566743,0.09073366511878354,0.9923667480606471,0.02605988438319042,0.02392524877921816,0.000627866825416807,0.04001213181694548,0.0013669242607103158,0.014716078350598428,0.0006599083421319707,0.042873184620454995,0.0026208107773932994,8.5
Stable-Tail-EdgeTail-a005,B,edge_tail_correction,0.05,0.2,4.657211514398667,0.19844854630066744,1.3688576333619937,0.06616054394762935,0.03333829667105531,0.0021229305875379817,0.06446989118312971,0.004489252771766802,0.018948747961186063,0.001244277498770482,0.058283390025103896,0.004069538883480329,13.75
Stable-Tail-EdgeTail-a010,A,edge_tail_correction,0.1,0.2,3.4088486006852343,0.10593355242449473,0.9937904265044488,0.030759745642667643,0.023914210444026227,0.0010405950431989167,0.03964992684076743,0.001842694946770875,0.01471118157382605,0.0007242457571991883,0.042761315704816144,0.0015320920546859373,7.0
Stable-Tail-EdgeTail-a010,B,edge_tail_correction,0.1,0.2,4.662170401825415,0.18114949219471216,1.3697169760209955,0.061062232514970456,0.03309439539916227,0.002083386346956741,0.0639792465117108,0.004484138369042158,0.019181972995333363,0.0011392246269172428,0.05801491458246512,0.004148813655519651,10.5
Stable-Tail-EdgeTail-a020,A,edge_tail_correction,0.2,0.2,3.427530005278217,0.06896589421127866,0.9951922746554617,0.023925606021702628,0.02387145933286859,0.0011021891025311617,0.040002629436987736,0.0009044276117819635,0.014651625444155105,0.0006059916875254937,0.044017501716895634,0.003197128007919115,10.5
Stable-Tail-EdgeTail-a020,B,edge_tail_correction,0.2,0.2,4.6334671799917135,0.18705627378635106,1.3589967237782001,0.06165151661461754,0.032810407251409046,0.002102849128483625,0.06415844812240135,0.004725119251483533,0.019502810218060915,0.0011741709369635987,0.05883774864993531,0.0038870024201495524,6.25
Stable-Tail-EdgeTail-a030,A,edge_tail_correction,0.3,0.2,3.4453655863067265,0.10938676835858534,1.000587862511871,0.0286578843015509,0.024125113927686258,0.0009932517188879662,0.039770532359568796,0.0013699619371723287,0.014818941688373945,0.0007356368246112508,0.04432378723091062,0.0030368139524447834,15.25
Stable-Tail-EdgeTail-a030,B,edge_tail_correction,0.3,0.2,4.639840746447354,0.17523866277484426,1.3604857425399464,0.06008309451017374,0.03281979919129008,0.00196415804750179,0.06407590204648579,0.005211114939180915,0.01929776582535916,0.0011520963063014413,0.058866629516173635,0.004439552569561667,6.75
Stable-Tail-MatrixEns-r005,A,risk_matrix_ensemble,0.1,0.05,3.432123256206099,0.06458597189508676,0.996530336106502,0.018243565287248686,0.024156486362362995,0.0006196322848901379,0.03964995786360793,0.001129605344165885,0.014663355671442434,0.000685393532760953,0.04322371597306829,0.0016350782165625883,14.0
Stable-Tail-MatrixEns-r005,B,risk_matrix_ensemble,0.1,0.05,4.648626142723819,0.2438562426992004,1.3640483827781509,0.08286192596605303,0.03325698167961293,0.0025274969235098426,0.06398826985323793,0.00606215978752804,0.019308714248207615,0.0014291772448073072,0.05900983290309939,0.005431225406590938,9.75
Stable-Tail-MatrixEns-r010,A,risk_matrix_ensemble,0.1,0.1,3.3914515729537937,0.09071811061185518,0.9870476172925101,0.025179773677195164,0.02380510377094802,0.0007470243945395444,0.039465178877145644,0.0018656380865924207,0.014524193751699346,0.0009992504383203218,0.04348872308080951,0.0027277230044044525,2.5
