P_level,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_8
1,0,599,412,142,54,38,76,0
2,0,572,301,147,74,90,134,3
3,0,495,354,188,93,80,109,1
4,0,537,331,144,115,70,121,3
5,0,554,357,139,93,50,122,5
