rank,edge_id,src,dst,R_ij,w_norm,severity,P_level,C_level,RiskLevel
1,4170,4485,4620,0.8460670113563538,0.9999998807907104,6.9224700927734375,5,7,35
2,4165,4485,5102,0.8460670113563538,0.9999998807907104,6.9224700927734375,5,7,35
3,2373,3477,4202,0.8433651328086853,0.9999998807907104,6.903556823730469,5,7,35
4,451,3477,3873,0.8433651328086853,0.9999998807907104,6.903556823730469,5,7,35
5,372,3477,3862,0.8433651328086853,0.9999998807907104,6.903556823730469,5,7,35
6,2894,4437,4521,0.8372789025306702,0.9999998807907104,6.860953330993652,5,7,35
7,4861,4437,4819,0.8372789025306702,0.9999998807907104,6.860953330993652,5,7,35
8,5216,4437,5170,0.8372789025306702,0.9999998807907104,6.860953330993652,5,7,35
9,5221,4437,4530,0.8372789025306702,0.9999998807907104,6.860953330993652,5,7,35
10,5218,4437,5169,0.8372789025306702,0.9999998807907104,6.860953330993652,5,7,35
11,4863,4437,5141,0.8372789025306702,0.9999998807907104,6.860953330993652,5,7,35
12,3029,4339,4437,0.8372789025306702,0.9999998807907104,6.860953330993652,5,7,35
13,5219,4437,5171,0.8372789025306702,0.9999998807907104,6.860953330993652,5,7,35
14,3080,3794,4369,0.8278495669364929,0.9999998807907104,6.794947624206543,5,7,35
15,3077,3794,4699,0.8278495669364929,0.9999998807907104,6.794947624206543,5,7,35
16,3079,3794,4113,0.8278495669364929,0.9999998807907104,6.794947624206543,5,7,35
17,3060,5028,5029,0.816286027431488,0.9999998807907104,6.714003086090088,5,7,35
18,3064,4114,5028,0.816286027431488,0.9999998807907104,6.714003086090088,5,7,35
19,3825,4871,5075,0.8012821674346924,0.9999998807907104,6.608975887298584,5,7,35
20,3070,3721,5029,0.7782116532325745,0.9999998807907104,6.447482585906982,5,7,35
