model,customer_set,avg_risk_at_b_mean,avg_risk_at_b_std,common_aubrc_mean,common_aubrc_std,cvar90_aubrc_mean,cvar90_aubrc_std,cvar95_aubrc_mean,cvar95_aubrc_std,load_cvar90_aubrc_mean,load_cvar90_aubrc_std,max_vehicle_cvar90_aubrc_mean,max_vehicle_cvar90_aubrc_std,method,alpha,rho,core_score
GCN,A,3.472480812300124,0.08569384877472083,1.009498128125336,0.03162565611684981,0.024840708071350862,0.000971980332449997,0.041274353803631245,0.0019143713749114808,0.01521636056891481,0.0005377364292758008,0.04545844471487671,0.003839071573326014,,,,
GraphSAGE,A,3.4169975076067716,0.14039284603107102,0.9944118890097291,0.03714409365618076,0.02407224822050989,0.0012484535108458243,0.03996559827780072,0.002596773252658856,0.014857013628824743,0.0009189617427840996,0.043396911049150985,0.003098526413493977,,,,
GraphSAGE-TEG-Gate,A,3.283696599561202,0.13158824035607825,0.9611858786245203,0.04292753445731888,0.023226497361669887,0.0016270246082451447,0.03862375436963883,0.003088924301592205,0.013860279176193362,0.0010203772727149392,0.04156193353781429,0.004502998203805353,,,,
Stable-Tail GNN,A,3.3938803973712854,0.10474261578691937,0.9890710919440241,0.03125329269681186,0.023840759530765226,0.0008806975831555414,0.03919424794952957,0.0016007459859731243,0.014767659480456559,0.0007491592036941769,0.043774547684265884,0.001479515164901182,,,,
Stable-Tail w/o Tail Loss,A,3.5067505793007556,0.12570163965488307,1.0189941389875148,0.03468461685333647,0.024843131322847628,0.0011571795523876902,0.041731097432486784,0.0024162050795062413,0.015459687038648471,0.0009316183891316628,0.04394653038543849,0.0028785931648791616,,,,
Stable-Tail-Gate,A,3.4641054791460864,0.0757477040978025,1.0009513846331661,0.02381008225325074,0.024535240839245975,0.001069291141801371,0.040218729658480154,0.002346132872594633,0.014848919082612313,0.0006080497788969849,0.04353518535439568,0.0033726409146132025,,,,
TEG-only,A,3.50557599338555,0.13317694346639636,1.0234726250654378,0.04326187294669865,0.025098973631326117,0.0016880361765892451,0.04204188930521452,0.0035187953917610463,0.01539797523386132,0.0010685114523252322,0.045676805455158974,0.003618366729612648,,,,
Stable-Tail-EdgeTail-a005,A,3.408181329566743,0.09073366511878354,0.9923667480606471,0.02605988438319042,0.02392524877921816,0.000627866825416807,0.04001213181694548,0.0013669242607103158,0.014716078350598428,0.0006599083421319707,0.042873184620454995,0.0026208107773932994,edge_tail_correction,0.05,0.2,8.5
Stable-Tail-EdgeTail-a010,A,3.4088486006852343,0.10593355242449473,0.9937904265044488,0.030759745642667643,0.023914210444026227,0.0010405950431989167,0.03964992684076743,0.001842694946770875,0.01471118157382605,0.0007242457571991883,0.042761315704816144,0.0015320920546859373,edge_tail_correction,0.1,0.2,7.0
Stable-Tail-EdgeTail-a020,A,3.427530005278217,0.06896589421127866,0.9951922746554617,0.023925606021702628,0.02387145933286859,0.0011021891025311617,0.040002629436987736,0.0009044276117819635,0.014651625444155105,0.0006059916875254937,0.044017501716895634,0.003197128007919115,edge_tail_correction,0.2,0.2,10.5
