model,customer_set,avg_risk_at_b_mean,avg_risk_at_b_std,common_aubrc_mean,common_aubrc_std,cvar90_aubrc_mean,cvar90_aubrc_std,cvar95_aubrc_mean,cvar95_aubrc_std,load_cvar90_aubrc_mean,load_cvar90_aubrc_std,max_vehicle_cvar90_aubrc_mean,max_vehicle_cvar90_aubrc_std,method,alpha,rho,core_score
GCN,B,4.962290480494849,0.2142253251475955,1.4772002735274699,0.07265685664480875,0.03670562065402953,0.0026533022997235643,0.07161641306554122,0.0055178895005636025,0.020799992175831082,0.0012035419210937703,0.06513662911412592,0.003669384782626235,,,,
GraphSAGE,B,4.874581040626172,0.3693390644052738,1.4395263638393714,0.12308886612056924,0.03555076165606057,0.0037160760541522114,0.06895704358817402,0.008364525253849071,0.020952192927021804,0.002529954332336785,0.06265846668336601,0.00709357753785954,,,,
GraphSAGE-TEG-Gate,B,4.778952657805394,0.26720940054460235,1.4094528957798518,0.08824070930360665,0.034531004171183335,0.0027582059500700913,0.06572164795593005,0.006883269023761576,0.019815100935203545,0.0017785621908650586,0.06213003731499066,0.006993197681559514,,,,
Stable-Tail GNN,B,4.720352449149992,0.21952454900017013,1.3893212017503993,0.07351542460255571,0.03382745060927791,0.0020868922988768832,0.06574420188631153,0.005198321080694878,0.019733393110156556,0.0012014537873924571,0.0598221311600613,0.006172503163436602,,,,
Stable-Tail w/o Tail Loss,B,4.892533482936852,0.2421693163304851,1.4509860249854376,0.08079359395474282,0.035967885363348995,0.002305166768929494,0.06996698235762598,0.005577642558970405,0.021210371959019998,0.0018838168695129852,0.06446573511268049,0.00528003154195429,,,,
Stable-Tail-Gate,B,4.802904372749246,0.21424003839682781,1.420255602373567,0.0722043738390008,0.034996920450094046,0.002347133573053804,0.06786619831531608,0.004656731324200726,0.019981369816130756,0.001127810848697811,0.06332263303486006,0.0051671952569250215,,,,
TEG-only,B,4.879833150005416,0.20362811751436996,1.4473156200124624,0.07140978087690406,0.03548005171588933,0.002444096263737551,0.06842177906941627,0.004871141566850013,0.02092329316605895,0.0015614135873325823,0.06356314897222358,0.0045072156070402655,,,,
Stable-Tail-EdgeTail-a005,B,4.657211514398667,0.19844854630066744,1.3688576333619937,0.06616054394762935,0.03333829667105531,0.0021229305875379817,0.06446989118312971,0.004489252771766802,0.018948747961186063,0.001244277498770482,0.058283390025103896,0.004069538883480329,edge_tail_correction,0.05,0.2,13.75
Stable-Tail-EdgeTail-a010,B,4.662170401825415,0.18114949219471216,1.3697169760209955,0.061062232514970456,0.03309439539916227,0.002083386346956741,0.0639792465117108,0.004484138369042158,0.019181972995333363,0.0011392246269172428,0.05801491458246512,0.004148813655519651,edge_tail_correction,0.1,0.2,10.5
Stable-Tail-EdgeTail-a020,B,4.6334671799917135,0.18705627378635106,1.3589967237782001,0.06165151661461754,0.032810407251409046,0.002102849128483625,0.06415844812240135,0.004725119251483533,0.019502810218060915,0.0011741709369635987,0.05883774864993531,0.0038870024201495524,edge_tail_correction,0.2,0.2,6.25
