P_level,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_8
1,0,88,790,558,25,5,61,3
2,0,151,676,465,95,25,72,45
3,0,91,658,532,127,32,69,21
4,0,90,616,486,168,56,92,21
5,0,137,700,444,93,28,108,19
