delta,seed,year,risk_dir,edge_count,risk_min,risk_max,risk_mean,risk_p25,risk_p50,risk_p75,risk_p90,risk_p95,risk_p99,zero_risk_edge_count,zero_risk_edge_ratio,edge_attribute_zero_ratio
0.15,0,data_2020,hazmat_risk_experiments\outputs_10seed\stable_tail_rc_posthoc_stronger\risk_matrices\stable_tail_rc_gnn_splitB_seed0_10seed_floor_0p01_delta0p15,6603,3.406011368565024e-10,0.8920984121107715,0.0191696893112717,0.0005888986468806925,0.0016033919024101761,0.0037305706057070742,0.008760848884157034,0.08605558555761726,0.44284396144844734,0,0.0,0.928365894290474
0.15,0,data_2021,hazmat_risk_experiments\outputs_10seed\stable_tail_rc_posthoc_stronger\risk_matrices\stable_tail_rc_gnn_splitB_seed0_10seed_floor_0p01_delta0p15,7647,6.357516604831669e-17,0.871787364932332,0.016444955648488614,0.000618864699043349,0.001601023531186976,0.003675927582010281,0.008613396079489346,0.07172086058158669,0.43289987098722726,1,0.0001307702366941284,0.9314763959722767
0.15,1,data_2020,hazmat_risk_experiments\outputs_10seed\stable_tail_rc_posthoc_stronger\risk_matrices\stable_tail_rc_gnn_splitB_seed1_10seed_floor_0p01_delta0p15,6603,2.261516574905919e-19,0.9107101648503211,0.020175315934063347,0.0006549204991963068,0.0015549700638419406,0.004074014959572108,0.008780698072192478,0.08306513253193651,0.4471349682075178,4,0.0006057852491291837,0.928365894290474
0.15,1,data_2021,hazmat_risk_experiments\outputs_10seed\stable_tail_rc_posthoc_stronger\risk_matrices\stable_tail_rc_gnn_splitB_seed1_10seed_floor_0p01_delta0p15,7647,1.574709487183986e-20,0.8877184782928691,0.017101573177133934,0.0006668676226729137,0.0015228219009822013,0.003650340122942637,0.008697056677226901,0.06294790165615077,0.4392013678697943,10,0.0013077023669412842,0.9314763959722767
0.15,2,data_2020,hazmat_risk_experiments\outputs_10seed\stable_tail_rc_posthoc_stronger\risk_matrices\stable_tail_rc_gnn_splitB_seed2_10seed_floor_0p01_delta0p15,6603,3.097738530585978e-07,0.9406880181717895,0.020421289922627067,0.0007747766800705444,0.001752858181623259,0.004079034589677774,0.008720640170004968,0.08695875343607047,0.4403923342704614,0,0.0,0.928365894290474
0.15,2,data_2021,hazmat_risk_experiments\outputs_10seed\stable_tail_rc_posthoc_stronger\risk_matrices\stable_tail_rc_gnn_splitB_seed2_10seed_floor_0p01_delta0p15,7647,3.405979777586154e-10,0.9145578619264951,0.018710221324158657,0.0008203012505804631,0.0018421625269365647,0.004297585841601498,0.0087157898460134,0.0759880301333163,0.4404188987019044,0,0.0,0.9314763959722767
0.15,3,data_2020,hazmat_risk_experiments\outputs_10seed\stable_tail_rc_posthoc_stronger\risk_matrices\stable_tail_rc_gnn_splitB_seed3_10seed_floor_0p01_delta0p15,6603,1.989092454165378e-07,0.9257129538097786,0.018568657476470823,0.0007378550090671171,0.0017569430504968903,0.0037155580092432163,0.00878027876430031,0.07499127380522012,0.4434022496310127,0,0.0,0.928365894290474
0.15,3,data_2021,hazmat_risk_experiments\outputs_10seed\stable_tail_rc_posthoc_stronger\risk_matrices\stable_tail_rc_gnn_splitB_seed3_10seed_floor_0p01_delta0p15,7647,6.28632692191475e-08,0.8785627343810876,0.015160139909638088,0.0007387001087450628,0.0017109795881763532,0.0034673636062174645,0.008535093477755485,0.059732118872608174,0.3891087875451579,0,0.0,0.9314763959722767
0.15,4,data_2020,hazmat_risk_experiments\outputs_10seed\stable_tail_rc_posthoc_stronger\risk_matrices\stable_tail_rc_gnn_splitB_seed4_10seed_floor_0p01_delta0p15,6603,5.108969276756634e-09,0.9258662125007959,0.0204384051010689,0.0008930300000182092,0.0019810384737708494,0.004176573151790857,0.008876649810308303,0.09177830167346498,0.4482708212074865,0,0.0,0.928365894290474
0.15,4,data_2021,hazmat_risk_experiments\outputs_10seed\stable_tail_rc_posthoc_stronger\risk_matrices\stable_tail_rc_gnn_splitB_seed4_10seed_floor_0p01_delta0p15,7647,1.1920928697624816e-09,0.9158042658481299,0.01890108450718824,0.0009376781697063909,0.002000862639149905,0.003966013356235799,0.008792961234886692,0.07210857468146567,0.44404454809413635,0,0.0,0.9314763959722767
