P_level,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_8
1,1,99,227,632,216,41,91,14
2,3,108,292,424,246,55,180,13
3,10,107,291,491,217,84,110,10
4,3,98,248,540,240,41,111,40
5,10,178,297,447,180,38,154,16
